City/Town,Ward,Pct,"Dennis P. McManus","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Worcester,7,3,698,31,175,904
Worcester,7,4,"1,053",56,262,"1,371"
Worcester,7,5,698,34,230,962
Worcester,7,5A,239,11,59,309
Worcester,7,6,"1,007",49,262,"1,318"
Worcester,8,1,454,21,127,602
Worcester,8,2,412,16,111,539
Worcester,8,3,280,12,47,339
Worcester,8,4,520,19,158,697
Worcester,8,5,541,29,119,689
Worcester,8,6,494,20,128,642
Worcester,9,1,787,37,226,"1,050"
Worcester,9,2,"1,242",19,424,"1,685"
Worcester,9,3,732,33,198,963
Worcester,9,4,"1,482",38,397,"1,917"
Worcester,9,5,"1,567",49,493,"2,109"
Worcester,9,6,"1,313",39,417,"1,769"
Worcester,10,1,529,16,114,659
Worcester,10,2,664,16,137,817
Worcester,10,3,568,21,165,754
Worcester,10,4,488,30,130,648
Worcester,10,4A,0,0,0,0
Worcester,10,5,519,20,126,665
Worcester,10,6,446,22,142,610
TOTALS,,,"307,589","6,671","111,184","425,444"
