City/Town,Ward,Pct,"Robert Stanton Creedon, Jr","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Abington,-,1,"1,407",11,583,"2,001"
Abington,-,2,"1,237",10,527,"1,774"
Abington,-,3,"1,332",10,567,"1,909"
Abington,-,4,"1,444",15,543,"2,002"
Abington,-,5,"1,450",8,531,"1,989"
Bridgewater,-,1,"1,276",12,677,"1,965"
Bridgewater,-,2,"1,245",8,663,"1,916"
Bridgewater,-,3,"1,528",0,798,"2,326"
Bridgewater,-,4,658,6,398,"1,062"
Bridgewater,-,5,161,1,66,228
Bridgewater,-,6,"1,038",4,433,"1,475"
Bridgewater,-,7,"1,321",10,609,"1,940"
Bridgewater,-,8,"1,173",5,481,"1,659"
Bridgewater,-,9,"1,384",5,697,"2,086"
Brockton,1,A,896,0,142,"1,038"
Brockton,1,B,"1,175",2,318,"1,495"
Brockton,1,C,"1,063",4,251,"1,318"
Brockton,1,D,"1,454",2,431,"1,887"
Brockton,2,A,633,0,145,778
Brockton,2,B,783,0,183,966
Brockton,2,C,535,0,147,682
Brockton,2,D,934,0,198,"1,132"
Brockton,3,A,963,1,263,"1,227"
Brockton,3,B,738,0,198,936
Brockton,3,C,"1,328",0,360,"1,688"
Brockton,3,D,"1,291",1,373,"1,665"
Brockton,4,A,584,1,115,700
Brockton,4,B,970,1,229,"1,200"
Brockton,4,C,"1,139",3,364,"1,506"
Brockton,4,D,"1,084",0,327,"1,411"
Brockton,5,A,763,0,179,942
Brockton,5,B,"1,164",2,287,"1,453"
Brockton,5,C,974,2,204,"1,180"
Brockton,5,D,"1,311",5,303,"1,619"
Brockton,6,A,956,3,231,"1,190"
Brockton,6,B,"1,203",0,349,"1,552"
Brockton,6,C,"1,114",2,266,"1,382"
Brockton,6,D,"1,376",0,440,"1,816"
Brockton,7,A,796,2,161,959
Brockton,7,B,"1,085",1,240,"1,326"
Brockton,7,C,902,2,201,"1,105"
Brockton,7,D,"1,047",1,283,"1,331"
Carver,-,1,"1,586",61,735,"2,382"
Carver,-,2,"1,501",68,722,"2,291"
Carver,-,3,"1,657",43,811,"2,511"
Duxbury,-,1,"1,381",15,610,"2,006"
Duxbury,-,2,"1,224",22,559,"1,805"
Duxbury,-,3,"1,278",12,493,"1,783"
Duxbury,-,4,"1,270",12,497,"1,779"
Duxbury,-,5,"1,230",21,473,"1,724"
Duxbury,-,6,"1,199",15,486,"1,700"
"E. Bridgewater",-,1,"1,423",15,723,"2,161"
"E. Bridgewater",-,2,"1,489",16,698,"2,203"
"E. Bridgewater",-,3,"1,467",15,758,"2,240"
"E. Bridgewater",-,4,"1,365",8,683,"2,056"
Halifax,-,1,"1,714",0,817,"2,531"
Halifax,-,2,"1,547",0,769,"2,316"
Halifax,-,2A,58,0,35,93
Hanover,-,1,"1,691",27,949,"2,667"
Hanover,-,2,"1,571",22,808,"2,401"
Hanover,-,3,"1,461",17,757,"2,235"
Hanover,-,4,"1,642",32,841,"2,515"
Hanson,-,1,"1,539",8,720,"2,267"
Hanson,-,2,"1,663",17,768,"2,448"
Hanson,-,3,"1,428",18,710,"2,156"
Hingham,-,1,"1,567",25,582,"2,174"
Hingham,-,2,"1,693",29,590,"2,312"
Hingham,-,3,"1,520",28,589,"2,137"
Hingham,-,4,"1,608",23,655,"2,286"
Hingham,-,5,"1,527",37,708,"2,272"
Hingham,-,6,"1,516",26,615,"2,157"
Hingham,-,7,869,20,412,"1,301"
Hingham,-,7A,871,5,334,"1,210"
Hull,-,1,"1,633",6,728,"2,367"
Hull,-,2,"1,445",8,694,"2,147"
Hull,-,3,"1,687",15,702,"2,404"
Kingston,-,1,"1,537",48,578,"2,163"
Kingston,-,2,"1,576",40,697,"2,313"
Kingston,-,3,"1,612",57,591,"2,260"
Kingston,-,4,"1,410",38,576,"2,024"
Lakeville,-,1,"1,590",56,899,"2,545"
Lakeville,-,2,"1,737",23,"1,038","2,798"
Lakeville,-,3,"1,571",49,892,"2,512"
Marion,-,1,"2,631",31,"1,018","3,680"
Marshfield,-,1,"1,739",0,807,"2,546"
Marshfield,-,2,"1,510",0,694,"2,204"
Marshfield,-,2A,211,0,78,289
Marshfield,-,3,"1,839",0,766,"2,605"
Marshfield,-,4,"1,533",0,689,"2,222"
Marshfield,-,5,"1,638",0,685,"2,323"
Marshfield,-,6,"1,902",0,902,"2,804"
Marshfield,-,7,"1,790",0,789,"2,579"
Mattapoisett,-,1,"1,699",33,735,"2,467"
Mattapoisett,-,2,"1,714",27,753,"2,494"
Middleborough,-,1,"1,701",15,942,"2,658"
Middleborough,-,2,"1,256",23,496,"1,775"
Middleborough,-,3,"1,346",25,746,"2,117"
Middleborough,-,4,"1,133",17,437,"1,587"
Middleborough,-,5,"1,193",17,661,"1,871"
Middleborough,-,5A,244,3,167,414
Middleborough,-,6,"1,354",14,723,"2,091"
Middleborough,-,7,984,11,485,"1,480"
Middleborough,-,7A,338,5,201,544
Norwell,-,1,"1,550",42,641,"2,233"
Norwell,-,2,"1,689",56,796,"2,541"
Norwell,-,3,"1,659",19,703,"2,381"
Pembroke,-,1,"1,707",51,720,"2,478"
Pembroke,-,2,"1,495",58,644,"2,197"
Pembroke,-,3,"1,620",67,633,"2,320"
Pembroke,-,3A,14,0,4,18
Pembroke,-,4,"1,656",73,678,"2,407"
Pembroke,-,5,"1,513",46,625,"2,184"
Plymouth,-,1,"1,228",15,392,"1,635"
Plymouth,-,2,"1,406",17,523,"1,946"
Plymouth,-,3,"1,439",17,553,"2,009"
Plymouth,-,4,"1,437",8,573,"2,018"
Plymouth,-,5,"1,507",14,505,"2,026"
Plymouth,-,6,"1,713",13,657,"2,383"
Plymouth,-,7,"1,633",27,594,"2,254"
Plymouth,-,8,"1,722",27,715,"2,464"
Plymouth,-,9,"1,456",17,608,"2,081"
Plymouth,-,10,"1,683",20,663,"2,366"
Plymouth,-,11,"1,660",21,665,"2,346"
Plymouth,-,12,"1,418",18,565,"2,001"
Plymouth,-,13,"1,719",18,646,"2,383"
Plymouth,-,14,"1,720",24,713,"2,457"
Plymouth,-,15,"2,412",4,"1,049","3,465"
