City/Town,Ward,Pct,"Colleen Susan Whelden","Charles Gibson","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Nantucket,-,1,"5,300","1,387",29,458,"7,174"
TOTALS,,,"5,300","1,387",29,458,"7,174"
