City/Town,Ward,Pct,"Thomas H. Driscoll, Jr.","Todd R. Angilly","Doris V. Rodriguez","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled,Unenrolled
Amesbury,-,1,"1,162",326,309,0,298,"2,095"
Amesbury,-,2,"1,001",259,251,0,209,"1,720"
Amesbury,-,3,"1,065",270,222,0,245,"1,802"
Amesbury,-,4,772,207,223,0,227,"1,429"
Amesbury,-,5,"1,018",298,303,0,276,"1,895"
Amesbury,-,6,861,194,214,0,211,"1,480"
Andover,-,1,933,142,191,1,183,"1,450"
Andover,-,2,"1,205",230,309,2,358,"2,104"
Andover,-,3,"1,391",235,342,3,349,"2,320"
Andover,-,4,693,146,192,1,228,"1,260"
Andover,-,4A,379,71,123,1,126,700
Andover,-,5,"1,235",211,345,2,360,"2,153"
Andover,-,6,"1,129",240,360,5,297,"2,031"
Andover,-,7,"1,223",291,314,1,360,"2,189"
Andover,-,8,"1,344",287,308,3,353,"2,295"
Andover,-,9,"1,115",224,278,6,352,"1,975"
Andover,-,10,"1,270",265,323,4,340,"2,202"
Beverly,1,1,"1,242",343,213,2,227,"2,027"
Beverly,1,2,"1,354",484,222,1,254,"2,315"
Beverly,2,1,"1,405",254,246,6,214,"2,125"
Beverly,2,2,"1,303",228,231,1,207,"1,970"
Beverly,3,1,962,162,163,0,131,"1,418"
Beverly,3,2,"1,155",299,229,1,186,"1,870"
Beverly,4,1,707,135,94,0,118,"1,054"
Beverly,4,2,"1,720",247,232,0,229,"2,428"
Beverly,5,1,"1,210",297,247,0,255,"2,009"
Beverly,5,2,"1,187",290,230,0,260,"1,967"
Beverly,6,1,"1,481",269,265,0,309,"2,324"
Beverly,6,2,"1,445",394,239,3,320,"2,401"
Boxford,-,1,837,457,248,3,283,"1,828"
Boxford,-,2,"1,016",370,272,7,268,"1,933"
Boxford,-,3,845,369,207,6,275,"1,702"
Danvers,-,1,"1,114",466,234,0,238,"2,052"
Danvers,-,2,"1,111",452,239,2,296,"2,100"
Danvers,-,3,998,421,261,2,225,"1,907"
Danvers,-,4,"1,072",507,231,3,295,"2,108"
Danvers,-,5,"1,116",539,225,4,275,"2,159"
Danvers,-,6,"1,118",635,258,2,320,"2,333"
Danvers,-,7,"1,114",509,231,3,303,"2,160"
Danvers,-,8,857,367,259,2,231,"1,716"
Essex,-,1,"1,404",339,337,8,350,"2,438"
Georgetown,-,1,900,491,256,7,252,"1,906"
Georgetown,-,2,880,418,266,4,228,"1,796"
Georgetown,-,3,934,469,225,4,241,"1,873"
Gloucester,1,1,"1,300",227,236,7,388,"2,158"
Gloucester,1,2,"1,044",214,255,7,214,"1,734"
Gloucester,2,1,877,172,207,5,201,"1,462"
Gloucester,2,2,757,123,196,0,161,"1,237"
Gloucester,3,1,812,177,200,6,173,"1,368"
Gloucester,3,2,887,229,236,7,219,"1,578"
Gloucester,4,1,"1,106",227,246,2,259,"1,840"
Gloucester,4,2,"1,438",237,236,5,282,"2,198"
Gloucester,5,1,"1,194",286,299,5,339,"2,123"
Gloucester,5,2,"1,190",327,322,2,359,"2,200"
Groveland,-,1,"1,059",497,329,0,312,"2,197"
Groveland,-,2,"1,112",533,319,2,306,"2,272"
Hamilton,-,1,"1,459",344,299,0,343,"2,445"
Hamilton,-,2,"1,464",306,291,7,326,"2,394"
Haverhill,1,1,399,45,160,1,90,695
Haverhill,1,2,444,61,157,1,81,744
Haverhill,1,2A,169,35,74,0,46,324
Haverhill,1,3,362,57,149,0,102,670
Haverhill,1,3A,247,55,100,0,66,468
Haverhill,2,1,813,173,285,1,221,"1,493"
Haverhill,2,2,868,178,300,1,221,"1,568"
Haverhill,2,3,475,91,241,1,100,908
Haverhill,3,1,609,89,217,1,156,"1,072"
Haverhill,3,2,571,80,217,1,130,999
Haverhill,3,3,555,99,223,0,132,"1,009"
