election_id,office,district,status,filepath
140751,President,Statewide,ok,President/Statewide_140751.csv
140755,U.S. Senate,Statewide,ok,U.S._Senate/Statewide_140755.csv
140772,U.S. House,1st Congressional,ok,U.S._House/1st_Congressional_140772.csv
140785,U.S. House,2nd Congressional,ok,U.S._House/2nd_Congressional_140785.csv
140759,U.S. House,3rd Congressional,ok,U.S._House/3rd_Congressional_140759.csv
140813,U.S. House,4th Congressional,ok,U.S._House/4th_Congressional_140813.csv
140797,U.S. House,5th Congressional,ok,U.S._House/5th_Congressional_140797.csv
140781,U.S. House,6th Congressional,ok,U.S._House/6th_Congressional_140781.csv
140850,U.S. House,7th Congressional,ok,U.S._House/7th_Congressional_140850.csv
140753,U.S. House,8th Congressional,ok,U.S._House/8th_Congressional_140753.csv
140767,U.S. House,9th Congressional,ok,U.S._House/9th_Congressional_140767.csv
140763,Governor's Council,1st,ok,Governors_Council/1st_140763.csv
140809,Governor's Council,2nd,ok,Governors_Council/2nd_140809.csv
140757,Governor's Council,3rd,ok,Governors_Council/3rd_140757.csv
140748,Governor's Council,4th,ok,Governors_Council/4th_140748.csv
140779,Governor's Council,5th,ok,Governors_Council/5th_140779.csv
140848,Governor's Council,6th,ok,Governors_Council/6th_140848.csv
140801,Governor's Council,7th,ok,Governors_Council/7th_140801.csv
140770,Governor's Council,8th,ok,Governors_Council/8th_140770.csv
140774,State Senate,"Berkshire, Hampshire, Franklin & Hampden",ok,State_Senate/Berkshire_Hampshire_Franklin__Hampden_140774.csv
140816,State Senate,Bristol and Norfolk,ok,State_Senate/Bristol_and_Norfolk_140816.csv
140924,State Senate,1st Bristol and Plymouth,ok,State_Senate/1st_Bristol_and_Plymouth_140924.csv
140769,State Senate,2nd Bristol and Plymouth,ok,State_Senate/2nd_Bristol_and_Plymouth_140769.csv
140796,State Senate,Cape and Islands,ok,State_Senate/Cape_and_Islands_140796.csv
140783,State Senate,1st Essex,ok,State_Senate/1st_Essex_140783.csv
140845,State Senate,2nd Essex,ok,State_Senate/2nd_Essex_140845.csv
140953,State Senate,3rd Essex,ok,State_Senate/3rd_Essex_140953.csv
140876,State Senate,1st Essex and Middlesex,ok,State_Senate/1st_Essex_and_Middlesex_140876.csv
140790,State Senate,2nd Essex and Middlesex,ok,State_Senate/2nd_Essex_and_Middlesex_140790.csv
140901,State Senate,Hampden,ok,State_Senate/Hampden_140901.csv
140835,State Senate,1st Hampden and Hampshire,ok,State_Senate/1st_Hampden_and_Hampshire_140835.csv
140742,State Senate,2nd Hampden and Hampshire,ok,State_Senate/2nd_Hampden_and_Hampshire_140742.csv
140777,State Senate,2nd Hampden and Hampshire,ok,State_Senate/2nd_Hampden_and_Hampshire_140777.csv
140787,State Senate,"Hampshire, Franklin and Worcester",ok,State_Senate/Hampshire_Franklin_and_Worcester_140787.csv
140911,State Senate,1st Middlesex,ok,State_Senate/1st_Middlesex_140911.csv
140891,State Senate,2nd Middlesex,ok,State_Senate/2nd_Middlesex_140891.csv
140833,State Senate,3rd Middlesex,ok,State_Senate/3rd_Middlesex_140833.csv
140800,State Senate,4th Middlesex,ok,State_Senate/4th_Middlesex_140800.csv
140958,State Senate,5th Middlesex,ok,State_Senate/5th_Middlesex_140958.csv
140887,State Senate,1st Middlesex and Norfolk,ok,State_Senate/1st_Middlesex_and_Norfolk_140887.csv
140811,State Senate,2nd Middlesex and Norfolk,ok,State_Senate/2nd_Middlesex_and_Norfolk_140811.csv
140762,State Senate,Middlesex and Worcester,ok,State_Senate/Middlesex_and_Worcester_140762.csv
140870,State Senate,Middlesex and Suffolk,ok,State_Senate/Middlesex_and_Suffolk_140870.csv
140817,State Senate,"Norfolk, Bristol and Middlesex",ok,State_Senate/Norfolk_Bristol_and_Middlesex_140817.csv
