City/Town,Ward,Pct,"Terrence W. Kennedy","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lynnfield,-,1,"1,428",27,657,"2,112"
Lynnfield,-,2,"1,550",16,612,"2,178"
Lynnfield,-,3,"1,328",12,586,"1,926"
Lynnfield,-,4,"1,417",18,749,"2,184"
Malden,1,1,"1,067",14,262,"1,343"
Malden,1,2,"1,197",26,418,"1,641"
Malden,2,1,"1,012",16,314,"1,342"
Malden,2,2,"1,126",28,396,"1,550"
Malden,3,1,"1,330",28,444,"1,802"
Malden,3,2,"1,435",23,548,"2,006"
Malden,4,1,"1,038",13,288,"1,339"
Malden,4,2,928,28,256,"1,212"
Malden,5,1,"1,224",32,352,"1,608"
Malden,5,2,"1,533",34,588,"2,155"
Malden,6,1,"1,357",31,431,"1,819"
Malden,6,2,"1,235",34,370,"1,639"
Malden,7,1,"1,016",27,266,"1,309"
Malden,7,2,"1,100",29,328,"1,457"
Malden,8,1,"1,358",25,420,"1,803"
Malden,8,2,"1,321",30,381,"1,732"
Marblehead,-,1,"1,777",24,687,"2,488"
Marblehead,-,2,"1,788",25,643,"2,456"
Marblehead,-,3,"1,644",16,552,"2,212"
Marblehead,-,4,"1,711",27,713,"2,451"
Marblehead,-,5,"1,709",25,609,"2,343"
Marblehead,-,6,"1,709",22,662,"2,393"
Medford,1,1,"1,445",36,432,"1,913"
Medford,1,2,"1,569",41,415,"2,025"
Medford,2,1,"1,479",14,561,"2,054"
Medford,2,2,"1,607",31,629,"2,267"
Medford,3,1,"1,484",34,621,"2,139"
Medford,3,2,"1,665",32,672,"2,369"
Medford,4,1,854,16,189,"1,059"
Medford,4,2,"1,649",28,501,"2,178"
Medford,5,1,"1,685",17,387,"2,089"
Medford,5,2,"1,391",25,269,"1,685"
Medford,6,1,"1,908",32,503,"2,443"
Medford,6,2,"1,629",23,503,"2,155"
Medford,7,1,"1,058",15,227,"1,300"
Medford,7,2,"1,771",26,402,"2,199"
Medford,8,1,"1,711",32,538,"2,281"
Medford,8,2,"1,470",29,422,"1,921"
Melrose,1,1,882,15,415,"1,312"
Melrose,1,2,885,13,368,"1,266"
Melrose,2,1,924,11,468,"1,403"
Melrose,2,2,816,9,412,"1,237"
Melrose,3,1,889,16,359,"1,264"
Melrose,3,2,796,15,389,"1,200"
Melrose,4,1,881,10,339,"1,230"
Melrose,4,2,918,23,535,"1,476"
Melrose,5,1,"1,088",15,344,"1,447"
Melrose,5,2,895,12,338,"1,245"
Melrose,6,1,922,18,384,"1,324"
Melrose,6,2,881,16,440,"1,337"
Melrose,7,1,873,20,365,"1,258"
Melrose,7,2,853,28,458,"1,339"
Nahant,-,1,"1,753",43,737,"2,533"
Reading,-,1,"1,436",27,856,"2,319"
Reading,-,2,"1,376",72,604,"2,052"
Reading,-,3,"1,603",25,917,"2,545"
Reading,-,4,"1,352",24,738,"2,114"
Reading,-,5,"1,387",25,704,"2,116"
Reading,-,6,"1,074",18,637,"1,729"
Reading,-,7,"1,321",18,809,"2,148"
Reading,-,8,"1,295",19,792,"2,106"
Revere,1,1,874,28,351,"1,253"
Revere,1,2,753,22,297,"1,072"
Revere,1,3,755,18,291,"1,064"
Revere,2,1,713,18,173,904
Revere,2,2,908,24,282,"1,214"
Revere,2,3,309,11,72,392
Revere,2,3A,117,5,39,161
Revere,3,1,850,25,354,"1,229"
Revere,3,2,754,13,319,"1,086"
Revere,3,3,792,23,329,"1,144"
Revere,4,1,833,22,376,"1,231"
Revere,4,2,685,20,332,"1,037"
Revere,4,3,839,21,414,"1,274"
Revere,5,1,608,14,356,978
Revere,5,1A,474,6,242,722
Revere,5,2,395,12,184,591
Revere,5,2A,433,8,120,561
Revere,5,3,772,18,310,"1,100"
Revere,6,1,884,38,521,"1,443"
Revere,6,2,946,21,567,"1,534"
Revere,6,3,715,18,272,"1,005"
Saugus,-,1,929,9,574,"1,512"
