City/Town,Ward,Pct,"Joseph C. Ferreira","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acushnet,-,1,"1,243",9,539,"1,791"
Acushnet,-,2,"1,497",18,650,"2,165"
Acushnet,-,3,"1,480",17,673,"2,170"
Aquinnah,-,1,288,0,67,355
Barnstable,-,1,"1,892",2,908,"2,802"
Barnstable,-,2,"1,679",5,723,"2,407"
Barnstable,-,3,"1,335",0,489,"1,824"
Barnstable,-,4,"1,499",1,688,"2,188"
Barnstable,-,5,"1,627",4,891,"2,522"
Barnstable,-,6,"1,709",1,695,"2,405"
Barnstable,-,7,"1,828",6,845,"2,679"
Barnstable,-,8,"1,213",5,457,"1,675"
Barnstable,-,9,881,1,269,"1,151"
Barnstable,-,10,"1,543",5,698,"2,246"
Barnstable,-,11,"1,704",0,878,"2,582"
Barnstable,-,12,"1,746",2,802,"2,550"
Barnstable,-,13,"1,156",2,495,"1,653"
Berkley,-,1,"1,365",44,812,"2,221"
Berkley,-,2,"1,094",38,790,"1,922"
Bourne,-,1,"1,199",27,540,"1,766"
Bourne,-,2,"1,310",20,758,"2,088"
Bourne,-,3,782,20,417,"1,219"
Bourne,-,4,"1,360",35,667,"2,062"
Bourne,-,5,"1,259",3,641,"1,903"
Bourne,-,6,839,18,484,"1,341"
Bourne,-,7,"1,248",8,611,"1,867"
Brewster,-,1,"1,816",9,721,"2,546"
Brewster,-,2,"1,804",7,680,"2,491"
Brewster,-,3,"1,773",20,664,"2,457"
Bridgewater,-,1,"1,927",38,967,"2,932"
Bridgewater,-,2,"1,523",18,877,"2,418"
Bridgewater,-,3,"1,955",27,"1,149","3,131"
Bridgewater,-,4,822,22,443,"1,287"
Bridgewater,-,5,490,4,229,723
Bridgewater,-,6,"1,388",10,524,"1,922"
Bridgewater,-,7,"1,544",18,728,"2,290"
Carver,-,1,"1,471",70,717,"2,258"
Carver,-,2,"1,427",50,725,"2,202"
Carver,-,3,"1,638",61,842,"2,541"
Chatham,-,1,"3,382",52,"1,688","5,122"
Chilmark,-,1,761,0,163,924
Dartmouth,-,1,"1,521",43,869,"2,433"
Dartmouth,-,2,"1,035",13,441,"1,489"
Dartmouth,-,3,45,0,2,47
Dartmouth,-,4,"1,528",20,629,"2,177"
Dartmouth,-,5,"1,607",16,744,"2,367"
Dartmouth,-,6,"1,316",24,494,"1,834"
Dartmouth,-,7,"1,493",19,755,"2,267"
Dartmouth,-,8,"1,844",20,768,"2,632"
Dartmouth,-,9,"1,809",32,892,"2,733"
Dennis,-,1,"1,434",27,730,"2,191"
Dennis,-,2,"1,494",17,720,"2,231"
Dennis,-,3,"1,300",35,492,"1,827"
Dennis,-,4,"1,446",27,639,"2,112"
Dennis,-,5,"1,436",25,552,"2,013"
Dighton,-,1,"1,376",45,792,"2,213"
Dighton,-,2,"1,599",50,881,"2,530"
Eastham,-,1,"3,049",42,"1,026","4,117"
Edgartown,-,1,"2,265",6,855,"3,126"
Fairhaven,-,1,"1,124",18,508,"1,650"
Fairhaven,-,2,"1,161",25,462,"1,648"
Fairhaven,-,3,930,21,364,"1,315"
Fairhaven,-,4,"1,138",20,479,"1,637"
Fairhaven,-,5,"1,057",26,669,"1,752"
Fairhaven,-,6,"1,068",29,530,"1,627"
"Fall River",1,A,"1,111",7,481,"1,599"
"Fall River",1,B,819,0,327,"1,146"
"Fall River",1,C,911,3,375,"1,289"
"Fall River",2,A,823,3,106,932
"Fall River",2,B,645,5,213,863
"Fall River",2,C,749,3,257,"1,009"
"Fall River",3,A,889,2,328,"1,219"
"Fall River",3,B,875,2,329,"1,206"
"Fall River",3,C,990,8,371,"1,369"
"Fall River",4,A,688,0,218,906
"Fall River",4,B,680,6,177,863
"Fall River",4,C,703,3,204,910
"Fall River",5,A,541,3,160,704
"Fall River",5,B,429,7,131,567
"Fall River",5,B1,97,0,28,125
"Fall River",5,C,644,0,198,842
"Fall River",6,A,969,7,440,"1,416"
"Fall River",6,B,702,12,230,944
"Fall River",6,C,853,4,328,"1,185"
"Fall River",6,C1,23,0,8,31
"Fall River",7,A,896,10,339,"1,245"
"Fall River",7,B,729,5,263,997
"Fall River",7,C,939,3,288,"1,230"
"Fall River",8,A,826,0,284,"1,110"
"Fall River",8,B,"1,047",0,548,"1,595"
"Fall River",8,C,"1,219",8,551,"1,778"
"Fall River",9,A,"1,353",7,748,"2,108"
"Fall River",9,B,932,7,425,"1,364"
"Fall River",9,C,"1,197",0,451,"1,648"
Falmouth,-,1,"1,931",15,743,"2,689"
Falmouth,-,2,"1,702",13,677,"2,392"
Falmouth,-,3,"1,623",28,690,"2,341"
Falmouth,-,4,"1,728",23,772,"2,523"
Falmouth,-,5,"1,831",21,833,"2,685"
Falmouth,-,6,"1,700",26,799,"2,525"
Falmouth,-,7,"1,622",20,707,"2,349"
Falmouth,-,8,"1,595",28,734,"2,357"
Falmouth,-,9,"1,540",20,633,"2,193"
Freetown,-,1,"1,194",59,581,"1,834"
Freetown,-,2,"1,181",51,624,"1,856"
Freetown,-,3,"1,180",35,628,"1,843"
Gosnold,-,1,57,0,25,82
Harwich,-,1,"1,673",43,766,"2,482"
Harwich,-,2,"1,660",27,716,"2,403"
Harwich,-,3,"1,701",42,680,"2,423"
Harwich,-,4,"1,625",43,541,"2,209"
Kingston,-,1,"1,373",17,620,"2,010"
Kingston,-,2,"1,555",31,734,"2,320"
Kingston,-,3,"1,582",40,720,"2,342"
Kingston,-,4,"1,290",24,583,"1,897"
Lakeville,-,1,"1,423",18,852,"2,293"
Lakeville,-,2,"1,425",39,905,"2,369"
Lakeville,-,3,"1,677",33,"1,005","2,715"
Marion,-,1,"2,537",33,"1,147","3,717"
Mashpee,-,1,"1,631",24,682,"2,337"
Mashpee,-,2,"1,393",5,580,"1,978"
Mashpee,-,3,"1,211",13,450,"1,674"
Mashpee,-,4,"1,329",11,578,"1,918"
Mashpee,-,5,"1,584",11,855,"2,450"
Mattapoisett,-,1,"3,178",9,"1,554","4,741"
Middleborough,-,1,"1,656",19,"1,190","2,865"
Middleborough,-,2,"1,487",16,661,"2,164"
Middleborough,-,3,"1,409",30,895,"2,334"
Middleborough,-,4,"1,273",28,610,"1,911"
Middleborough,-,5,"1,526",20,980,"2,526"
Middleborough,-,6,"1,350",22,751,"2,123"
Nantucket,-,1,"5,686",86,"1,566","7,338"
"New Bedford",1,A,"1,104",33,379,"1,516"
"New Bedford",1,B,910,19,371,"1,300"
"New Bedford",1,C,845,25,344,"1,214"
"New Bedford",1,D,987,23,385,"1,395"
"New Bedford",1,E,939,14,292,"1,245"
"New Bedford",1,F,698,18,321,"1,037"
"New Bedford",2,A,274,4,66,344
"New Bedford",2,B,641,11,163,815
"New Bedford",2,C,537,13,135,685
"New Bedford",2,D,575,19,209,803
