City/Town,Ward,Pct,"Christopher A. Iannella, Jr.","All Others",Blanks,"Total Votes Cast"
"E. Bridgewater",-,1,"1,374",23,805,"2,202"
"E. Bridgewater",-,2,"1,384",18,766,"2,168"
"E. Bridgewater",-,3,"1,420",22,883,"2,325"
Easton,-,1,949,9,423,"1,381"
Easton,-,2,"1,786",18,933,"2,737"
Halifax,-,1,"1,657",49,840,"2,546"
Halifax,-,2,"1,595",40,712,"2,347"
Hanover,-,1,"1,619",20,869,"2,508"
Hanover,-,2,"1,663",21,806,"2,490"
Hanover,-,3,"1,550",15,734,"2,299"
Hanover,-,4,"1,621",26,775,"2,422"
Hanson,-,1,"1,509",15,776,"2,300"
Hanson,-,2,"1,592",32,688,"2,312"
Hanson,-,3,"1,453",23,711,"2,187"
Hingham,-,1,"2,008",37,711,"2,756"
Hingham,-,2,"2,028",37,777,"2,842"
Hingham,-,3,"1,971",46,765,"2,782"
Hingham,-,4,"1,736",26,749,"2,511"
Hingham,-,5,"1,220",34,622,"1,876"
Hingham,-,5A,792,4,343,"1,139"
Hingham,-,6,"1,735",37,708,"2,480"
Holbrook,-,1,"1,136",18,405,"1,559"
Holbrook,-,2,"1,110",7,514,"1,631"
Holbrook,-,3,"1,113",11,436,"1,560"
Holbrook,-,4,"1,056",12,440,"1,508"
Hull,-,1,"1,709",6,674,"2,389"
Hull,-,2,"1,492",10,678,"2,180"
Hull,-,3,"1,798",12,756,"2,566"
Marshfield,-,1,"1,813",0,729,"2,542"
Marshfield,-,2,"1,703",0,792,"2,495"
Marshfield,-,3,"1,719",0,707,"2,426"
Marshfield,-,4,"1,765",0,708,"2,473"
Marshfield,-,5,"1,601",0,671,"2,272"
Marshfield,-,6,"1,927",0,888,"2,815"
Marshfield,-,7,"1,794",0,843,"2,637"
Norwell,-,1,"1,667",40,705,"2,412"
Norwell,-,2,"1,727",46,814,"2,587"
Norwell,-,3,"1,695",33,719,"2,447"
Plympton,-,1,"1,253",5,676,"1,934"
Quincy,1,1,"1,124",24,375,"1,523"
Quincy,1,2,921,16,314,"1,251"
Quincy,1,3,"1,220",33,361,"1,614"
Quincy,1,4,"1,359",31,552,"1,942"
Quincy,1,5,"1,429",36,554,"2,019"
Quincy,2,1,"1,227",24,337,"1,588"
Quincy,2,2,"1,154",24,243,"1,421"
Quincy,2,3,543,11,140,694
Quincy,2,3A,180,1,63,244
Quincy,2,4,990,29,293,"1,312"
Quincy,2,5,"1,221",24,388,"1,633"
Quincy,3,1,"1,487",33,415,"1,935"
Quincy,3,2,"1,107",20,349,"1,476"
Quincy,3,3,850,8,219,"1,077"
Quincy,3,4,"1,152",17,420,"1,589"
Quincy,3,5,574,0,119,693
Quincy,4,1,"1,428",30,384,"1,842"
Quincy,4,2,"1,324",18,455,"1,797"
Quincy,4,3,"1,558",28,503,"2,089"
Quincy,4,4,"1,034",18,249,"1,301"
Quincy,4,5,"1,216",23,287,"1,526"
Quincy,5,1,"1,294",15,395,"1,704"
Quincy,5,2,"1,078",20,302,"1,400"
Quincy,5,3,"1,239",16,421,"1,676"
Quincy,5,4,932,23,354,"1,309"
Quincy,5,5,"1,137",24,382,"1,543"
Quincy,6,1,"1,084",21,297,"1,402"
Quincy,6,2,807,27,248,"1,082"
Quincy,6,3,"1,497",15,557,"2,069"
Quincy,6,4,993,16,287,"1,296"
Quincy,6,5,"1,486",50,606,"2,142"
Rockland,-,1,"1,334",31,491,"1,856"
Rockland,-,2,"1,316",31,518,"1,865"
Rockland,-,3,969,26,357,"1,352"
Rockland,-,4,"1,114",28,389,"1,531"
Rockland,-,5,"1,141",35,469,"1,645"
Rockland,-,6,"1,268",22,503,"1,793"
Scituate,-,1,"1,681",13,672,"2,366"
Scituate,-,2,"1,564",17,674,"2,255"
Scituate,-,3,"1,681",10,600,"2,291"
Scituate,-,4,"1,610",14,682,"2,306"
Scituate,-,5,"1,608",8,578,"2,194"
Scituate,-,6,"1,599",18,636,"2,253"
Weymouth,-,1,"1,295",24,436,"1,755"
Weymouth,-,2,"1,380",34,558,"1,972"
Weymouth,-,3,"1,379",31,542,"1,952"
Weymouth,-,4,"1,194",18,544,"1,756"
Weymouth,-,5,"1,107",12,337,"1,456"
Weymouth,-,6,"1,390",27,506,"1,923"
Weymouth,-,7,"1,312",20,404,"1,736"
Weymouth,-,8,"1,270",24,465,"1,759"
Weymouth,-,9,"1,409",24,534,"1,967"
Weymouth,-,10,"1,034",19,342,"1,395"
Weymouth,-,11,"1,317",26,459,"1,802"
Weymouth,-,12,"1,357",24,519,"1,900"
Weymouth,-,13,"1,131",13,337,"1,481"
Weymouth,-,14,"1,220",20,389,"1,629"
Weymouth,-,15,"1,518",30,489,"2,037"
Weymouth,-,16,"1,415",32,568,"2,015"
Weymouth,-,17,"1,120",25,393,"1,538"
Weymouth,-,18,"2,170",28,774,"2,972"
Whitman,-,1,"1,776",20,643,"2,439"
Whitman,-,2,"1,463",45,623,"2,131"
Whitman,-,3,"1,483",25,568,"2,076"
Whitman,-,4,"1,443",18,572,"2,033"
TOTALS,,,"330,732","4,774","102,095","437,601"
