City/Town,Ward,Pct,"Marilyn Petitto Devaney","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acton,-,1,"1,735",6,526,"2,267"
Acton,-,2,"1,815",21,593,"2,429"
Acton,-,3,"1,718",34,549,"2,301"
Acton,-,4,"1,972",13,559,"2,544"
Acton,-,5,"1,870",20,498,"2,388"
Acton,-,6,"1,592",18,479,"2,089"
Arlington,-,1,854,8,207,"1,069"
Arlington,-,2,"1,105",0,339,"1,444"
Arlington,-,3,"1,130",5,263,"1,398"
Arlington,-,4,"1,027",13,278,"1,318"
Arlington,-,5,"1,037",9,286,"1,332"
Arlington,-,6,"1,005",4,280,"1,289"
Arlington,-,7,996,5,276,"1,277"
Arlington,-,8,"1,103",6,372,"1,481"
Arlington,-,9,978,11,291,"1,280"
Arlington,-,10,"1,084",4,369,"1,457"
Arlington,-,11,"1,143",12,320,"1,475"
Arlington,-,12,"1,162",5,395,"1,562"
Arlington,-,13,982,15,403,"1,400"
Arlington,-,14,998,11,323,"1,332"
Arlington,-,15,"1,138",12,353,"1,503"
Arlington,-,16,990,7,324,"1,321"
Arlington,-,17,"1,018",11,243,"1,272"
Arlington,-,18,"1,069",11,380,"1,460"
Arlington,-,19,"1,099",8,302,"1,409"
Arlington,-,20,"1,008",10,314,"1,332"
Arlington,-,21,"1,048",11,289,"1,348"
Ayer,-,1,"1,563",43,582,"2,188"
Ayer,-,2,"1,771",19,675,"2,465"
Bedford,-,1,"1,787",45,556,"2,388"
Bedford,-,2,"1,584",27,567,"2,178"
Bedford,-,3,"1,669",20,597,"2,286"
Bedford,-,4,"1,491",33,526,"2,050"
Belmont,-,1,"1,383",17,559,"1,959"
Belmont,-,2,"1,438",11,672,"2,121"
Belmont,-,3,"1,339",17,519,"1,875"
Belmont,-,4,"1,238",8,412,"1,658"
Belmont,-,5,"1,369",8,470,"1,847"
Belmont,-,6,"1,385",14,515,"1,914"
Belmont,-,7,"1,505",12,442,"1,959"
Belmont,-,8,"1,482",10,667,"2,159"
Billerica,-,1,"1,613",29,669,"2,311"
Billerica,-,2,"1,562",40,662,"2,264"
Billerica,-,3,"1,555",59,656,"2,270"
Billerica,-,4,"1,289",44,594,"1,927"
Billerica,-,5,"1,535",42,815,"2,392"
Billerica,-,6,"1,553",47,699,"2,299"
Billerica,-,7,"1,468",30,620,"2,118"
Billerica,-,8,"1,581",50,772,"2,403"
Billerica,-,9,"1,503",55,680,"2,238"
Billerica,-,10,"1,554",35,750,"2,339"
Billerica,-,11,"1,514",34,669,"2,217"
Boston,4,2,"1,658",32,638,"2,328"
Boston,4,5,787,18,191,996
Boston,4,6,692,13,182,887
Boston,4,7,691,8,178,877
Boston,4,8,576,11,159,746
Boston,4,9,368,8,60,436
Boston,4,10,200,0,22,222
Boston,5,2,903,13,164,"1,080"
Boston,5,2A,635,17,107,759
Boston,5,6,942,27,412,"1,381"
Boston,5,7,"1,267",30,408,"1,705"
Boston,5,8,"1,154",19,384,"1,557"
Boston,5,9,"1,584",26,448,"2,058"
Boston,5,10,915,23,222,"1,160"
Boston,21,1,"1,173",15,183,"1,371"
Boston,21,2,278,3,49,330
Boston,21,3,702,9,109,820
Boston,21,5,892,12,154,"1,058"
Boston,21,8,"1,148",18,156,"1,322"
Boston,21,9,"1,097",25,223,"1,345"
Boston,21,10,793,17,188,998
Boston,21,11,"1,105",11,197,"1,313"
Boston,21,12,908,30,231,"1,169"
Boston,21,13,"1,095",27,431,"1,553"
Boston,21,14,647,11,122,780
Boston,21,15,805,7,122,934
Boston,21,16,958,25,273,"1,256"
Boston,22,3,"1,151",27,302,"1,480"
Boston,22,4,852,16,244,"1,112"
Boston,22,6,741,14,152,907
Boston,22,7,994,20,229,"1,243"
Boston,22,8,693,23,224,940
Boston,22,9,766,19,272,"1,057"
Boston,22,10,927,18,255,"1,200"
Boston,22,11,684,13,193,890
Boston,22,12,635,9,203,847
Boston,22,13,581,9,157,747
Boxborough,-,1,"2,534",18,888,"3,440"
Brookline,-,1,"1,413",16,428,"1,857"
Brookline,-,2,963,9,305,"1,277"
Brookline,-,3,"1,468",14,463,"1,945"
Brookline,-,4,"1,348",11,417,"1,776"
Brookline,-,5,"1,577",8,531,"2,116"
Brookline,-,6,"1,548",10,484,"2,042"
Brookline,-,7,"1,380",3,437,"1,820"
Brookline,-,8,"1,430",0,453,"1,883"
Brookline,-,9,"1,439",10,517,"1,966"
Brookline,-,10,"1,483",8,500,"1,991"
Brookline,-,11,"1,534",17,547,"2,098"
Brookline,-,12,"1,740",25,614,"2,379"
Brookline,-,13,"1,507",16,547,"2,070"
Brookline,-,14,"1,510",18,612,"2,140"
Brookline,-,15,"1,450",9,699,"2,158"
Brookline,-,16,"1,279",9,499,"1,787"
Burlington,-,1,"1,616",46,792,"2,454"
Burlington,-,2,"1,178",36,421,"1,635"
Burlington,-,3,"1,542",56,663,"2,261"
Burlington,-,4,"1,403",31,582,"2,016"
Burlington,-,5,"1,583",42,715,"2,340"
Burlington,-,6,"1,536",44,716,"2,296"
Burlington,-,7,"1,715",47,667,"2,429"
Carlisle,-,1,"2,728",15,927,"3,670"
Chelmsford,-,1,"1,703",19,781,"2,503"
Chelmsford,-,2,"1,652",15,638,"2,305"
Chelmsford,-,3,"1,610",16,807,"2,433"
Chelmsford,-,4,"1,579",22,829,"2,430"
Chelmsford,-,5,"1,671",14,838,"2,523"
Chelmsford,-,6,"1,669",17,864,"2,550"
Chelmsford,-,7,"1,723",27,870,"2,620"
Chelmsford,-,8,"1,700",11,752,"2,463"
Chelmsford,-,9,"1,738",18,903,"2,659"
Concord,-,1,"1,776",17,572,"2,365"
Concord,-,2,"2,119",28,638,"2,785"
Concord,-,3,"1,848",23,704,"2,575"
Concord,-,4,"2,152",23,734,"2,909"
Concord,-,5,"1,354",10,393,"1,757"
Harvard,-,1,"3,040",26,"1,091","4,157"
Hudson,-,1,"1,250",12,495,"1,757"
Hudson,-,2,"1,059",8,369,"1,436"
Hudson,-,3,"1,257",12,518,"1,787"
Hudson,-,4,"1,230",19,573,"1,822"
Hudson,-,5,"1,567",2,562,"2,131"
Hudson,-,6,973,11,357,"1,341"
Hudson,-,7,"1,007",22,350,"1,379"
Lexington,-,1,"1,423",5,529,"1,957"
Lexington,-,2,"1,816",20,561,"2,397"
Lexington,-,3,"1,508",11,495,"2,014"
Lexington,-,4,"1,671",14,620,"2,305"
Lexington,-,5,"1,791",13,637,"2,441"
Lexington,-,6,"1,675",16,592,"2,283"
Lexington,-,7,"1,674",9,607,"2,290"
Lexington,-,8,"1,613",12,550,"2,175"
Lexington,-,9,"1,733",13,560,"2,306"
Lincoln,-,1,"1,944",13,619,"2,576"
Lincoln,-,2,"1,252",15,457,"1,724"
Littleton,-,1,"1,729",51,655,"2,435"
Littleton,-,2,"1,541",32,626,"2,199"
Littleton,-,3,"1,488",33,567,"2,088"
Marlborough,1,1,892,5,379,"1,276"
Marlborough,1,2,"1,262",13,586,"1,861"
Marlborough,2,1,"1,028",10,476,"1,514"
Marlborough,2,2,952,15,325,"1,292"
Marlborough,3,1,763,9,287,"1,059"
Marlborough,3,2,"1,414",18,499,"1,931"
Marlborough,4,1,633,6,256,895
Marlborough,4,2,"1,142",11,504,"1,657"
Marlborough,5,1,721,7,225,953
Marlborough,5,2,"1,104",14,422,"1,540"
Marlborough,6,1,784,11,281,"1,076"
Marlborough,6,2,"1,162",15,548,"1,725"
Marlborough,7,1,902,21,379,"1,302"
Marlborough,7,2,869,12,331,"1,212"
Maynard,-,1,"1,314",25,402,"1,741"
Maynard,-,2,"1,223",21,392,"1,636"
Maynard,-,3,"1,406",28,412,"1,846"
Maynard,-,4,"1,178",23,379,"1,580"
Newton,1,1,"1,136",21,354,"1,511"
