City/Town,Ward,Pct,"Eileen R. Duff","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lowell,3,1,766,5,344,"1,115"
Lowell,3,2,661,0,273,934
Lowell,3,3,680,1,266,947
Lowell,4,1,859,4,353,"1,216"
Lowell,4,2,540,1,212,753
Lowell,4,3,698,1,242,941
Lowell,5,1,775,6,316,"1,097"
Lowell,5,2,691,2,209,902
Lowell,5,3,864,2,395,"1,261"
Lowell,6,1,"1,097",6,493,"1,596"
Lowell,6,2,"1,193",7,456,"1,656"
Lowell,6,3,"1,049",0,458,"1,507"
Lowell,7,1,612,1,200,813
Lowell,7,2,731,1,242,974
Lowell,7,3,465,1,205,671
Lowell,8,1,837,2,299,"1,138"
Lowell,8,2,888,2,465,"1,355"
Lowell,8,3,"1,132",6,638,"1,776"
Lowell,9,1,837,0,294,"1,131"
Lowell,9,2,"1,005",4,396,"1,405"
Lowell,9,3,887,7,352,"1,246"
Lowell,10,1,777,0,307,"1,084"
Lowell,10,2,593,5,194,792
Lowell,10,3,480,0,159,639
Lowell,11,1,947,16,313,"1,276"
Lowell,11,2,926,6,475,"1,407"
Lowell,11,3,911,4,385,"1,300"
Manchester-by-the-Sea,-,1,"2,763",44,"1,034","3,841"
Merrimac,-,1,"1,548",25,621,"2,194"
Merrimac,-,2,"1,539",32,656,"2,227"
Methuen,-,1,"1,331",49,635,"2,015"
Methuen,-,2,"1,013",22,218,"1,253"
Methuen,-,3,"1,469",48,587,"2,104"
Methuen,-,4,"1,441",29,520,"1,990"
Methuen,-,5,"1,347",30,478,"1,855"
Methuen,-,6,"1,432",41,544,"2,017"
Methuen,-,7,"1,583",43,769,"2,395"
Methuen,-,8,"1,615",62,"1,024","2,701"
Methuen,-,9,"1,491",57,904,"2,452"
Methuen,-,10,"1,480",43,583,"2,106"
Methuen,-,11,"1,641",74,916,"2,631"
Methuen,-,12,"1,587",58,932,"2,577"
Middleton,-,1,"1,836",25,"1,030","2,891"
Middleton,-,2,"1,878",35,"1,101","3,014"
Newbury,-,1,"1,734",36,750,"2,520"
Newbury,-,2,"1,706",36,779,"2,521"
Newburyport,1,1,"1,205",0,430,"1,635"
Newburyport,2,1,"1,656",0,470,"2,126"
Newburyport,3,1,"1,594",0,592,"2,186"
Newburyport,4,1,"1,737",0,644,"2,381"
Newburyport,5,1,"1,341",0,611,"1,952"
Newburyport,6,1,"1,471",0,623,"2,094"
Newburyport,1,P,358,0,165,523
"N. Andover",-,1,"1,487",44,538,"2,069"
"N. Andover",-,2,"1,651",40,607,"2,298"
"N. Andover",-,3,"1,563",30,558,"2,151"
"N. Andover",-,4,"1,837",45,783,"2,665"
"N. Andover",-,5,"1,109",29,425,"1,563"
"N. Andover",-,6,"1,598",54,829,"2,481"
"N. Andover",-,7,"1,724",45,648,"2,417"
"N. Andover",-,8,"1,652",69,757,"2,478"
"N. Reading",-,1,"1,555",22,"1,035","2,612"
"N. Reading",-,2,"1,498",29,884,"2,411"
"N. Reading",-,3,"1,526",21,908,"2,455"
"N. Reading",-,4,"1,573",15,941,"2,529"
Peabody,1,1,"1,262",37,435,"1,734"
Peabody,1,2,"1,283",30,563,"1,876"
Peabody,1,3,"1,492",53,561,"2,106"
Peabody,2,1,"1,028",26,241,"1,295"
Peabody,2,2,983,26,224,"1,233"
Peabody,2,3,"1,127",30,363,"1,520"
Peabody,3,1,834,22,205,"1,061"
Peabody,3,2,"1,021",31,303,"1,355"
Peabody,3,3,"1,170",39,348,"1,557"
Peabody,4,1,"1,230",37,394,"1,661"
Peabody,4,2,"1,156",45,396,"1,597"
Peabody,4,3,628,14,285,927
Peabody,4,3A,"1,024",12,399,"1,435"
Peabody,5,1,"1,292",31,577,"1,900"
Peabody,5,2,"1,000",32,483,"1,515"
Peabody,5,3,"1,208",44,506,"1,758"
Peabody,6,1,"1,187",60,687,"1,934"
Peabody,6,2,"1,236",47,633,"1,916"
Peabody,6,3,"1,190",39,652,"1,881"
Pepperell,-,1,"1,637",58,796,"2,491"
Pepperell,-,2,"1,633",67,843,"2,543"
Pepperell,-,3,"1,583",64,671,"2,318"
Rockport,-,1,958,11,335,"1,304"
Rockport,-,2,"1,406",21,415,"1,842"
Rockport,-,3,"1,584",20,559,"2,163"
Rowley,-,1,"2,794",83,"1,360","4,237"
Salem,1,1,"1,507",3,492,"2,002"
Salem,1,2,756,1,137,894
Salem,2,1,"1,592",11,397,"2,000"
Salem,2,2,"1,731",23,386,"2,140"
Salem,3,1,"1,250",8,312,"1,570"
Salem,3,2,"1,206",13,389,"1,608"
Salem,4,1,"1,354",32,401,"1,787"
Salem,4,2,"1,399",14,457,"1,870"
Salem,5,1,"1,481",25,359,"1,865"
Salem,5,2,"1,304",26,271,"1,601"
Salem,6,1,"1,452",6,436,"1,894"
Salem,6,2,"1,456",10,320,"1,786"
Salem,7,1,"1,036",6,330,"1,372"
Salem,7,2,"1,303",13,434,"1,750"
Salisbury,-,1,"1,392",7,617,"2,016"
Salisbury,-,2,"1,276",15,606,"1,897"
Salisbury,-,3,"1,103",4,576,"1,683"
Tewksbury,-,1,"1,442",59,667,"2,168"
Tewksbury,-,1A,"1,652",51,740,"2,443"
Tewksbury,-,2,"1,491",57,674,"2,222"
Tewksbury,-,2A,"1,385",55,675,"2,115"
Tewksbury,-,3,"1,742",75,803,"2,620"
Tewksbury,-,3A,"1,830",67,847,"2,744"
Tewksbury,-,4,"1,688",47,786,"2,521"
Tewksbury,-,4A,"1,668",43,699,"2,410"
Topsfield,-,1,"2,827",2,"1,658","4,487"
Tyngsborough,-,1,"1,153",0,613,"1,766"
Tyngsborough,-,2,"1,231",0,652,"1,883"
Tyngsborough,-,3,"1,319",0,656,"1,975"
Tyngsborough,-,4,"1,301",0,679,"1,980"
Wenham,-,1,"1,909",13,725,"2,647"
"W. Newbury",-,1,"2,289",9,"1,000","3,298"
Westford,-,1,"1,831",30,786,"2,647"
Westford,-,2,"1,940",49,686,"2,675"
Westford,-,3,"1,817",46,656,"2,519"
Westford,-,4,"1,982",39,658,"2,679"
Westford,-,5,"1,785",22,671,"2,478"
Westford,-,6,"1,718",44,623,"2,385"
Wilmington,-,1,"1,664",15,748,"2,427"
Wilmington,-,2,"1,585",13,752,"2,350"
Wilmington,-,3,"1,645",30,767,"2,442"
Wilmington,-,4,"1,698",32,820,"2,550"
Wilmington,-,5,"1,753",27,797,"2,577"
Wilmington,-,6,"1,723",28,819,"2,570"
TOTALS,,,"336,188","6,452","136,158","478,798"
