City/Town,Ward,Pct,"Mary E. Hurley","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Adams,-,1,622,4,179,805
Adams,-,2,716,4,179,899
Adams,-,3,729,0,228,957
Adams,-,4,630,4,171,805
Adams,-,5,789,0,213,"1,002"
Agawam,-,1,"1,174",62,548,"1,784"
Agawam,-,2,"1,395",49,771,"2,215"
Agawam,-,3,"1,395",67,650,"2,112"
Agawam,-,4,"1,159",44,525,"1,728"
Agawam,-,5,"1,476",42,732,"2,250"
Agawam,-,6,"1,268",50,625,"1,943"
Agawam,-,7,"1,313",45,684,"2,042"
Agawam,-,8,"1,431",54,703,"2,188"
Alford,-,1,273,0,57,330
Amherst,-,1,894,7,138,"1,039"
Amherst,-,2,"1,171",9,246,"1,426"
Amherst,-,3,456,2,76,534
Amherst,-,4,424,4,67,495
Amherst,-,5,955,3,191,"1,149"
Amherst,-,6,"1,493",13,260,"1,766"
Amherst,-,7,"1,468",8,264,"1,740"
Amherst,-,8,"1,623",11,299,"1,933"
Amherst,-,9,"1,023",7,228,"1,258"
Amherst,-,10,492,5,76,573
Ashfield,-,1,997,1,232,"1,230"
Becket,-,1,821,13,364,"1,198"
Belchertown,-,A,"1,704",14,651,"2,369"
Belchertown,-,B,"1,713",22,712,"2,447"
Belchertown,-,C,"1,840",17,649,"2,506"
Belchertown,-,D,"1,795",19,555,"2,369"
Bernardston,-,1,"1,029",0,356,"1,385"
Blandford,-,1,471,5,305,781
Buckland,-,1,966,11,226,"1,203"
Charlemont,-,1,563,0,186,749
Cheshire,-,1,"1,383",30,553,"1,966"
Chester,-,1,458,11,280,749
Chesterfield,-,1,605,1,227,833
Chicopee,1,A,"1,167",39,317,"1,523"
Chicopee,1,B,"1,422",38,389,"1,849"
Chicopee,2,A,805,33,164,"1,002"
Chicopee,2,B,"1,283",38,390,"1,711"
Chicopee,3,A,"1,077",32,292,"1,401"
Chicopee,3,B,901,29,222,"1,152"
Chicopee,4,A,"1,029",36,261,"1,326"
Chicopee,4,B,"1,006",31,244,"1,281"
Chicopee,5,A,"1,161",29,293,"1,483"
Chicopee,5,B,"1,041",28,278,"1,347"
Chicopee,6,AN,322,8,66,396
Chicopee,6,AS,643,19,235,897
Chicopee,6,BE,"1,096",44,402,"1,542"
Chicopee,6,BW,246,9,91,346
Chicopee,7,A,858,28,200,"1,086"
Chicopee,7,B,"1,033",24,225,"1,282"
Chicopee,8,A,"1,176",37,338,"1,551"
Chicopee,8,B,"1,056",29,295,"1,380"
Chicopee,9,A,"1,153",36,340,"1,529"
Chicopee,9,B,"1,373",58,411,"1,842"
Clarksburg,-,1,726,4,272,"1,002"
Colrain,-,1,778,4,230,"1,012"
Conway,-,1,"1,038",5,265,"1,308"
Cummington,-,1,448,2,146,596
Dalton,-,1,"1,393",5,523,"1,921"
Dalton,-,2,"1,443",11,457,"1,911"
Deerfield,-,1,"2,708",6,656,"3,370"
"E. Longmeadow",-,1,"1,879",64,657,"2,600"
"E. Longmeadow",-,2,"1,717",50,587,"2,354"
"E. Longmeadow",-,3,"1,825",56,695,"2,576"
"E. Longmeadow",-,4,"1,766",57,818,"2,641"
Easthampton,-,1,"1,527",11,428,"1,966"
Easthampton,-,2,"1,756",8,411,"2,175"
Easthampton,-,3,"1,580",8,421,"2,009"
Easthampton,-,4,"1,834",15,434,"2,283"
Easthampton,-,5,"1,651",8,556,"2,215"
Egremont,-,1,757,1,218,976
Erving,-,1,709,9,218,936
Florida,-,1,292,0,128,420
Gill,-,1,764,7,218,989
Goshen,-,1,494,0,179,673
Granby,-,1,"1,413",1,653,"2,067"
Granby,-,2,"1,181",0,729,"1,910"
Granville,-,1,648,0,354,"1,002"
"Great Barrington",-,A,866,4,226,"1,096"
"Great Barrington",-,B,889,5,201,"1,095"
"Great Barrington",-,C,673,11,129,813
"Great Barrington",-,D,858,5,260,"1,123"
Greenfield,-,1,793,6,291,"1,090"
Greenfield,-,2,975,3,317,"1,295"
Greenfield,-,3,862,4,269,"1,135"
Greenfield,-,4,935,13,261,"1,209"
Greenfield,-,5,876,7,215,"1,098"
Greenfield,-,6,892,7,304,"1,203"
Greenfield,-,7,695,0,211,906
Greenfield,-,8,739,6,206,951
Greenfield,-,9,635,2,183,820
Hadley,-,1,"2,799",10,706,"3,515"
Hampden,-,1,"2,309",20,"1,046","3,375"
Hancock,-,1,345,0,137,482
Hatfield,-,1,"1,839",18,466,"2,323"
Hawley,-,1,169,0,62,231
Heath,-,1,346,0,124,470
Hinsdale,-,1,920,1,295,"1,216"
Holyoke,1,A,510,0,141,651
Holyoke,1,B,642,0,161,803
Holyoke,2,A,622,0,153,775
Holyoke,2,B,558,0,141,699
Holyoke,3,A,"1,002",1,237,"1,240"
Holyoke,3,B,"1,109",1,373,"1,483"
Holyoke,4,A,529,1,130,660
Holyoke,4,B,825,1,216,"1,042"
Holyoke,5,A,"1,358",0,593,"1,951"
Holyoke,5,B,992,334,0,"1,326"
Holyoke,6,A,854,1,239,"1,094"
Holyoke,6,B,"1,070",1,300,"1,371"
Holyoke,7,A,"1,308",3,524,"1,835"
Holyoke,7,B,"1,204",7,342,"1,553"
Huntington,-,1,819,12,392,"1,223"
Lanesborough,-,1,"1,324",35,537,"1,896"
Lee,-,1,"2,634",6,866,"3,506"
Lenox,-,1,"2,627",34,721,"3,382"
Leverett,-,1,"1,167",8,215,"1,390"
Leyden,-,1,378,1,124,503
Longmeadow,-,A,"1,625",50,451,"2,126"
Longmeadow,-,B,"1,466",33,429,"1,928"
Longmeadow,-,C,"1,629",41,578,"2,248"
Longmeadow,-,D,"1,509",35,482,"2,026"
Longmeadow,-,E,"1,624",44,460,"2,128"
Ludlow,-,1,"1,399",41,580,"2,020"
Ludlow,-,2,"1,072",21,377,"1,470"
Ludlow,-,3,"1,475",47,749,"2,271"
Ludlow,-,4,"1,293",38,567,"1,898"
Ludlow,-,5,"1,029",25,449,"1,503"
Ludlow,-,6,"1,563",38,690,"2,291"
Middlefield,-,1,253,0,82,335
Monroe,-,1,42,0,18,60
Montague,-,1,889,2,165,"1,056"
Montague,-,2,641,8,191,840
Montague,-,3,642,5,143,790
Montague,-,4,687,9,156,852
Montague,-,5,531,10,93,634
Montague,-,6,603,6,144,753
Monterey,-,1,479,1,116,596
Montgomery,-,1,360,1,204,565
"Mount Washington",-,1,109,0,19,128
"New Ashford",-,1,121,0,34,155
