City/Town,Ward,Pct,"Sal N. DiDomenico","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,2,1,"1,366",20,369,"1,755"
Boston,2,2,"1,722",34,453,"2,209"
Boston,2,3,"1,028",20,258,"1,306"
Boston,2,4,"1,006",19,195,"1,220"
Boston,2,5,"1,110",24,247,"1,381"
Boston,2,6,"1,340",21,314,"1,675"
Boston,2,7,"1,265",19,272,"1,556"
Boston,3,5,"2,171",34,597,"2,802"
Boston,21,4,599,13,107,719
Boston,21,6,668,20,125,813
Boston,21,7,878,19,174,"1,071"
Boston,22,1,"1,183",23,292,"1,498"
Boston,22,2,"1,371",19,335,"1,725"
Boston,22,5,750,12,173,935
Cambridge,1,1,"1,846",15,313,"2,174"
Cambridge,1,2,"1,406",7,277,"1,690"
Cambridge,1,3,"1,561",6,288,"1,855"
Cambridge,2,1,"1,388",9,243,"1,640"
Cambridge,3,1,"1,480",14,297,"1,791"
Cambridge,3,2,873,3,138,"1,014"
Cambridge,3,2A,651,3,134,788
Cambridge,3,3,"1,323",8,247,"1,578"
Cambridge,4,2,"1,676",6,345,"2,027"
Cambridge,6,1,"1,664",5,302,"1,971"
Cambridge,6,2,"1,505",10,279,"1,794"
Cambridge,6,3,"1,635",10,328,"1,973"
Cambridge,7,1,"1,540",10,295,"1,845"
Cambridge,7,2,737,9,180,926
Cambridge,7,3,478,0,75,553
Cambridge,8,1,"1,091",11,197,"1,299"
Cambridge,8,2,"1,063",8,218,"1,289"
Cambridge,8,3,255,4,36,295
Chelsea,1,1,451,0,139,590
Chelsea,1,2,295,0,83,378
Chelsea,1,3,375,0,103,478
Chelsea,1,4,358,0,98,456
Chelsea,2,1,"1,042",0,348,"1,390"
Chelsea,2,2,661,0,147,808
Chelsea,2,3,267,0,89,356
Chelsea,2,4,408,0,125,533
Chelsea,3,1,483,0,120,603
Chelsea,3,2,637,0,146,783
Chelsea,3,3,471,0,145,616
Chelsea,3,4,488,0,154,642
Chelsea,4,1,573,0,170,743
Chelsea,4,2,628,0,222,850
Chelsea,4,3,585,0,200,785
Chelsea,4,4,482,0,154,636
Everett,1,1,913,11,212,"1,136"
Everett,1,2,841,20,209,"1,070"
Everett,2,1,"1,036",28,207,"1,271"
Everett,2,2,843,30,164,"1,037"
Everett,3,1,"1,187",17,224,"1,428"
Everett,3,2,"1,012",17,209,"1,238"
Everett,4,1,"1,091",21,246,"1,358"
Everett,4,2,922,16,185,"1,123"
Everett,5,1,"1,070",17,183,"1,270"
Everett,5,2,958,18,173,"1,149"
Everett,6,1,"1,167",21,206,"1,394"
Everett,6,2,"1,174",18,227,"1,419"
TOTALS,,,"59,047",669,"12,991","72,707"
