City/Town,Ward,Pct,"Adam G. Hinds","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Adams,-,1,634,4,167,805
Adams,-,2,735,5,159,899
Adams,-,3,757,1,199,957
Adams,-,4,641,2,162,805
Adams,-,5,818,3,181,"1,002"
Alford,-,1,293,0,37,330
Ashfield,-,1,"1,072",0,158,"1,230"
Becket,-,1,835,19,344,"1,198"
Blandford,-,1,456,5,320,781
Buckland,-,1,"1,031",11,161,"1,203"
Charlemont,-,1,591,0,158,749
Cheshire,-,1,"1,445",22,499,"1,966"
Chester,-,1,459,10,280,749
Chesterfield,-,1,625,1,207,833
Clarksburg,-,1,753,6,243,"1,002"
Conway,-,1,"1,065",3,240,"1,308"
Cummington,-,1,461,2,133,596
Dalton,-,1,"1,450",4,467,"1,921"
Dalton,-,2,"1,510",4,397,"1,911"
Egremont,-,1,799,4,173,976
Florida,-,1,303,0,117,420
Goshen,-,1,499,0,174,673
"Great Barrington",-,A,903,6,187,"1,096"
"Great Barrington",-,B,919,5,171,"1,095"
"Great Barrington",-,C,710,12,91,813
"Great Barrington",-,D,898,7,218,"1,123"
Hancock,-,1,348,0,134,482
Hawley,-,1,187,0,44,231
Heath,-,1,360,1,109,470
Hinsdale,-,1,939,2,275,"1,216"
Huntington,-,1,810,15,398,"1,223"
Lanesborough,-,1,"1,422",31,443,"1,896"
Lee,-,1,"2,735",11,760,"3,506"
Lenox,-,1,"2,747",27,608,"3,382"
Middlefield,-,1,244,0,91,335
Monroe,-,1,41,0,19,60
Monterey,-,1,501,1,94,596
"Mount Washington",-,1,108,0,20,128
"New Ashford",-,1,126,0,29,155
"New Marlborough",-,1,728,0,238,966
"N. Adams",1,1,"1,083",0,266,"1,349"
"N. Adams",2,2,959,0,207,"1,166"
"N. Adams",3,3,765,0,163,928
"N. Adams",4,4,"1,071",0,313,"1,384"
"N. Adams",5,5,913,0,246,"1,159"
Otis,-,1,682,9,326,"1,017"
Peru,-,1,385,2,148,535
Pittsfield,1,A,"1,028",8,249,"1,285"
Pittsfield,1,B,"1,242",3,354,"1,599"
Pittsfield,2,A,755,5,160,920
Pittsfield,2,B,"1,318",8,357,"1,683"
Pittsfield,3,A,"1,445",13,372,"1,830"
Pittsfield,3,B,"1,489",8,420,"1,917"
Pittsfield,4,A,"1,473",9,374,"1,856"
Pittsfield,4,B,"1,644",8,487,"2,139"
Pittsfield,5,A,"1,239",5,302,"1,546"
Pittsfield,5,B,"1,323",13,382,"1,718"
Pittsfield,6,A,"1,337",3,304,"1,644"
Pittsfield,6,B,941,4,211,"1,156"
Pittsfield,7,A,826,7,222,"1,055"
Pittsfield,7,B,"1,296",11,371,"1,678"
Plainfield,-,1,357,5,84,446
Richmond,-,1,865,9,190,"1,064"
Rowe,-,1,191,1,77,269
Sandisfield,-,1,355,0,168,523
Savoy,-,1,300,0,127,427
Sheffield,-,1,"1,669",11,494,"2,174"
Shelburne,-,1,"1,003",11,228,"1,242"
Stockbridge,-,1,"1,083",7,280,"1,370"
Tyringham,-,1,254,1,62,317
Washington,-,1,265,1,87,353
"W. Stockbridge",-,1,785,4,186,975
Westhampton,-,1,889,3,307,"1,199"
Williamsburg,-,1,"1,487",4,344,"1,835"
Williamstown,-,1,"1,312",10,229,"1,551"
Williamstown,-,2,535,2,105,642
Williamstown,-,3,"1,353",10,221,"1,584"
Windsor,-,1,431,0,150,581
Worthington,-,1,667,0,209,876
TOTALS,,,"68,973",419,"18,687","88,079"
