City/Town,Ward,Pct,"William N. Brownsberger","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Belmont,-,1,"1,544",14,401,"1,959"
Belmont,-,2,"1,593",12,516,"2,121"
Belmont,-,3,"1,451",12,412,"1,875"
Belmont,-,4,"1,304",8,346,"1,658"
Belmont,-,5,"1,468",9,370,"1,847"
Belmont,-,6,"1,545",12,357,"1,914"
Belmont,-,7,"1,595",9,355,"1,959"
Belmont,-,8,"1,604",15,540,"2,159"
Boston,4,2,"1,702",26,600,"2,328"
Boston,4,5,788,18,190,996
Boston,4,6,711,11,165,887
Boston,4,7,721,8,148,877
Boston,4,8,586,11,149,746
Boston,4,9,360,8,68,436
Boston,4,10,203,0,19,222
Boston,5,2,929,10,141,"1,080"
Boston,5,2A,639,16,104,759
Boston,5,6,"1,000",22,359,"1,381"
Boston,5,7,"1,315",26,364,"1,705"
Boston,5,8,"1,195",16,346,"1,557"
Boston,5,9,"1,627",25,406,"2,058"
Boston,5,10,932,23,205,"1,160"
Boston,21,1,"1,187",11,173,"1,371"
Boston,21,2,278,3,49,330
Boston,21,3,703,11,106,820
Boston,21,5,905,9,144,"1,058"
Boston,21,8,"1,155",18,149,"1,322"
Boston,21,9,"1,129",21,195,"1,345"
Boston,21,10,807,19,172,998
Boston,21,11,"1,115",8,190,"1,313"
Boston,21,12,926,25,218,"1,169"
Boston,21,13,"1,108",27,418,"1,553"
Boston,21,14,663,7,110,780
Boston,21,15,808,8,118,934
Boston,21,16,994,23,239,"1,256"
Boston,22,3,"1,166",23,291,"1,480"
Boston,22,4,882,14,216,"1,112"
Boston,22,6,762,11,134,907
Boston,22,7,"1,023",19,201,"1,243"
Boston,22,8,710,21,209,940
Boston,22,9,791,23,243,"1,057"
Boston,22,10,952,15,233,"1,200"
Boston,22,11,692,8,190,890
Boston,22,12,664,9,174,847
Boston,22,13,604,8,135,747
Watertown,-,1,"1,027",20,263,"1,310"
Watertown,-,2,"1,175",17,266,"1,458"
Watertown,-,3,"1,329",21,261,"1,611"
Watertown,-,4,"1,424",12,309,"1,745"
Watertown,-,5,"1,510",18,301,"1,829"
Watertown,-,6,"1,221",17,268,"1,506"
Watertown,-,7,"1,383",28,359,"1,770"
Watertown,-,8,"1,369",21,315,"1,705"
Watertown,-,9,"1,065",11,258,"1,334"
Watertown,-,10,"1,665",43,421,"2,129"
Watertown,-,11,"1,147",22,319,"1,488"
Watertown,-,12,"1,131",17,285,"1,433"
TOTALS,,,"60,282",899,"14,493","75,674"
