City/Town,Ward,Pct,"Susan Lynn Moran","James R. McMahon, III","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Bourne,-,1,194,158,0,0,352
Bourne,-,2,308,196,0,0,504
Bourne,-,3,202,106,0,0,308
Bourne,-,4,245,288,0,1,534
Bourne,-,5,218,273,3,0,494
Bourne,-,6,141,205,2,0,348
Bourne,-,7,179,186,1,0,366
Falmouth,-,1,908,202,0,0,"1,110"
Falmouth,-,2,571,223,3,1,798
Falmouth,-,3,395,218,0,1,614
Falmouth,-,4,403,284,2,0,689
Falmouth,-,5,586,249,0,4,839
Falmouth,-,6,571,240,0,0,811
Falmouth,-,7,328,259,2,0,589
Falmouth,-,8,371,248,4,1,624
Falmouth,-,9,317,241,1,0,559
Kingston,-,1,151,177,0,1,329
Kingston,-,2,147,175,0,0,322
Kingston,-,3,148,132,0,0,280
Kingston,-,4,138,152,0,1,291
Pembroke,-,1,101,151,0,0,252
Pembroke,-,2,92,132,1,0,225
Pembroke,-,3,100,162,0,0,262
Pembroke,-,4,75,162,0,0,237
Pembroke,-,5,76,124,1,0,201
Plymouth,-,1,154,89,0,0,243
Plymouth,-,2,217,181,0,1,399
Plymouth,-,3,227,99,2,1,329
Plymouth,-,4,226,136,4,0,366
Plymouth,-,5,187,196,1,0,384
Plymouth,-,6,231,190,1,0,422
Plymouth,-,7,147,209,2,0,358
Plymouth,-,8,163,214,0,0,377
Plymouth,-,9,83,118,0,0,201
Plymouth,-,10,121,102,0,0,223
Plymouth,-,11,171,212,0,0,383
Plymouth,-,12,181,184,0,0,365
Plymouth,-,13,155,146,2,0,303
Plymouth,-,14,116,211,0,0,327
Plymouth,-,15,564,357,1,0,922
Sandwich,-,1,454,331,1,4,790
Sandwich,-,2,417,247,1,0,665
Sandwich,-,3,248,230,0,1,479
Sandwich,-,4,193,196,0,0,389
Sandwich,-,5,179,179,0,0,358
Sandwich,-,6,188,240,0,2,430
TOTALS,,,"11,587","9,010",35,19,"20,651"
