City/Town,Ward,Pct,"Michael O. Moore","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Auburn,-,1,"1,609",11,551,"2,171"
Auburn,-,2,"1,582",38,503,"2,123"
Auburn,-,3,"1,542",20,575,"2,137"
Auburn,-,4,"1,424",26,441,"1,891"
Auburn,-,5,"1,420",16,503,"1,939"
Grafton,-,1,"1,691",16,519,"2,226"
Grafton,-,2,"1,783",19,539,"2,341"
Grafton,-,3,"1,824",9,568,"2,401"
Grafton,-,4,"1,664",19,449,"2,132"
Grafton,-,5,"1,801",12,618,"2,431"
Leicester,-,1,"1,199",36,449,"1,684"
Leicester,-,2,"1,173",42,378,"1,593"
Leicester,-,3,"1,098",37,459,"1,594"
Leicester,-,4,"1,158",40,384,"1,582"
Millbury,-,1,"1,561",8,446,"2,015"
Millbury,-,2,"1,688",14,557,"2,259"
Millbury,-,3,"1,503",19,463,"1,985"
Millbury,-,4,"1,521",14,419,"1,954"
Northbridge,-,2,"1,628",18,698,"2,344"
Northbridge,-,4,"1,781",18,888,"2,687"
Shrewsbury,-,1,"1,843",25,621,"2,489"
Shrewsbury,-,2,"1,641",10,499,"2,150"
Shrewsbury,-,3,"1,323",6,392,"1,721"
Shrewsbury,-,4,"1,661",10,490,"2,161"
Shrewsbury,-,5,"1,412",10,390,"1,812"
Shrewsbury,-,6,"1,624",13,556,"2,193"
Shrewsbury,-,7,"1,942",14,675,"2,631"
Shrewsbury,-,8,"1,870",13,606,"2,489"
Shrewsbury,-,9,"1,192",10,335,"1,537"
Shrewsbury,-,10,"1,626",6,505,"2,137"
Upton,-,1,"1,988",0,763,"2,751"
Upton,-,2,"1,831",4,742,"2,577"
Worcester,5,1,994,28,196,"1,218"
Worcester,5,2,"1,330",44,360,"1,734"
Worcester,5,3,"1,570",54,492,"2,116"
Worcester,5,4,"1,402",43,362,"1,807"
Worcester,5,5,"1,322",60,398,"1,780"
Worcester,6,1,705,21,115,841
Worcester,6,2,954,38,188,"1,180"
Worcester,6,3,992,34,172,"1,198"
Worcester,6,4,458,13,107,578
Worcester,6,5,"1,199",37,339,"1,575"
Worcester,7,1,"1,293",32,369,"1,694"
Worcester,7,2,901,33,260,"1,194"
Worcester,7,3,"1,295",44,364,"1,703"
Worcester,7,4,"1,230",47,323,"1,600"
Worcester,7,5,"1,347",51,347,"1,745"
Worcester,8,1,704,16,134,854
Worcester,8,5,827,37,163,"1,027"
TOTALS,,,"69,126","1,185","21,670","91,981"
