City/Town,Ward,Pct,"Jason M. Lewis","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Malden,1,1,"1,057",14,272,"1,343"
Malden,1,2,"1,192",33,416,"1,641"
Malden,2,1,"1,011",13,318,"1,342"
Malden,2,2,"1,102",28,420,"1,550"
Malden,3,1,"1,357",20,425,"1,802"
Malden,3,2,"1,472",20,514,"2,006"
Malden,4,1,"1,033",15,291,"1,339"
Malden,4,2,931,23,258,"1,212"
Malden,5,1,"1,238",29,341,"1,608"
Malden,5,2,"1,548",29,578,"2,155"
Malden,6,1,"1,365",33,421,"1,819"
Malden,6,2,"1,218",32,389,"1,639"
Malden,7,1,"1,032",23,254,"1,309"
Malden,7,2,"1,101",27,329,"1,457"
Malden,8,1,"1,345",23,435,"1,803"
Malden,8,2,"1,312",25,395,"1,732"
Melrose,1,1,928,13,371,"1,312"
Melrose,1,2,906,15,345,"1,266"
Melrose,2,1,958,9,436,"1,403"
Melrose,2,2,834,12,391,"1,237"
Melrose,3,1,905,14,345,"1,264"
Melrose,3,2,817,17,366,"1,200"
Melrose,4,1,909,12,309,"1,230"
Melrose,4,2,936,24,516,"1,476"
Melrose,5,1,"1,092",16,339,"1,447"
Melrose,5,2,930,12,303,"1,245"
Melrose,6,1,940,22,362,"1,324"
Melrose,6,2,892,17,428,"1,337"
Melrose,7,1,899,18,341,"1,258"
Melrose,7,2,885,30,424,"1,339"
Reading,-,1,"1,433",31,855,"2,319"
Reading,-,2,"1,391",5,656,"2,052"
Reading,-,3,"1,619",31,895,"2,545"
Reading,-,4,"1,383",21,710,"2,114"
Reading,-,5,"1,413",32,671,"2,116"
Reading,-,6,"1,085",22,622,"1,729"
Reading,-,7,"1,334",19,795,"2,148"
Reading,-,8,"1,311",23,772,"2,106"
Stoneham,-,1,"1,312",32,607,"1,951"
Stoneham,-,2,"1,579",32,653,"2,264"
Stoneham,-,3,"1,457",29,784,"2,270"
Stoneham,-,4,"1,204",38,605,"1,847"
Stoneham,-,5,"1,321",40,713,"2,074"
Stoneham,-,6,"1,368",34,682,"2,084"
Stoneham,-,7,"1,275",26,645,"1,946"
Wakefield,-,1,"1,597",27,954,"2,578"
Wakefield,-,2,"1,395",21,787,"2,203"
Wakefield,-,3,"1,516",30,833,"2,379"
Wakefield,-,4,"1,457",40,737,"2,234"
Wakefield,-,5,"1,584",42,832,"2,458"
Wakefield,-,6,"1,663",37,821,"2,521"
Wakefield,-,7,"1,431",28,877,"2,336"
Winchester,-,1,"1,323",18,447,"1,788"
Winchester,-,2,"1,107",31,433,"1,571"
Winchester,-,3,"1,406",26,469,"1,901"
Winchester,-,8,946,22,407,"1,375"
TOTALS,,,"68,055","1,355","29,594","99,004"
