City/Town,Ward,Pct,"Michael J. Barrett","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Bedford,-,1,"1,829",45,514,"2,388"
Bedford,-,2,"1,613",24,541,"2,178"
Bedford,-,3,"1,726",18,542,"2,286"
Bedford,-,4,"1,523",34,493,"2,050"
Carlisle,-,1,"2,780",12,878,"3,670"
Chelmsford,-,1,"1,715",18,770,"2,503"
Chelmsford,-,2,"1,657",16,632,"2,305"
Chelmsford,-,3,"1,620",15,798,"2,433"
Chelmsford,-,4,"1,601",21,808,"2,430"
Chelmsford,-,5,"1,704",16,803,"2,523"
Chelmsford,-,6,"1,691",19,840,"2,550"
Chelmsford,-,7,"1,753",27,840,"2,620"
Chelmsford,-,8,"1,712",10,741,"2,463"
Chelmsford,-,9,"1,751",18,890,"2,659"
Concord,-,1,"1,859",19,487,"2,365"
Concord,-,2,"2,203",24,558,"2,785"
Concord,-,3,"1,934",21,620,"2,575"
Concord,-,4,"2,259",13,637,"2,909"
Concord,-,5,"1,403",6,348,"1,757"
Lexington,-,3,"1,632",9,373,"2,014"
Lexington,-,8,"1,704",14,457,"2,175"
Lexington,-,9,"1,827",6,473,"2,306"
Lincoln,-,1,"2,042",10,524,"2,576"
Lincoln,-,2,"1,301",15,408,"1,724"
Sudbury,-,1,"1,342",22,476,"1,840"
Sudbury,-,1A,493,9,170,672
Sudbury,-,4,"1,916",19,636,"2,571"
Sudbury,-,5,"1,697",29,587,"2,313"
Waltham,1,1,"1,457",32,594,"2,083"
Waltham,1,2,"1,507",35,668,"2,210"
Waltham,2,1,"1,505",33,550,"2,088"
Waltham,2,2,"1,272",14,288,"1,574"
Waltham,3,1,"1,419",21,747,"2,187"
Waltham,3,2,"1,459",19,552,"2,030"
Waltham,4,1,"1,500",22,590,"2,112"
Waltham,4,2,362,11,118,491
Waltham,5,1,"1,342",27,451,"1,820"
Waltham,5,2,"1,317",15,327,"1,659"
Waltham,6,1,"1,249",21,346,"1,616"
Waltham,6,2,772,9,228,"1,009"
Waltham,7,1,"1,275",11,526,"1,812"
Waltham,7,2,469,7,148,624
Waltham,8,1,"1,272",22,271,"1,565"
Waltham,8,2,"1,276",19,341,"1,636"
Waltham,9,1,"1,099",18,227,"1,344"
Waltham,9,2,982,19,214,"1,215"
Weston,-,1,"1,356",32,513,"1,901"
Weston,-,2,"1,196",33,488,"1,717"
Weston,-,3,"1,210",18,466,"1,694"
Weston,-,4,"1,267",43,518,"1,828"
TOTALS,,,"74,850",990,"26,015","101,855"
