City/Town,Ward,Pct,"Suzanne M. Bump","Helen Brady","Daniel Fishman","Edward J. Stamas","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Libertarian,Green-rainbow
Lexington,-,3,"1,095",239,52,28,0,83,"1,497"
Lexington,-,4,"1,290",341,93,40,0,154,"1,918"
Lexington,-,5,"1,244",424,74,36,0,116,"1,894"
Lexington,-,6,"1,192",347,99,30,0,118,"1,786"
Lexington,-,7,"1,192",411,109,30,0,103,"1,845"
Lexington,-,8,"1,177",353,73,32,0,128,"1,763"
Lexington,-,9,"1,166",368,76,55,0,116,"1,781"
Leyden,-,1,282,94,17,18,0,22,433
Lincoln,-,1,"1,520",394,103,66,0,121,"2,204"
Lincoln,-,2,868,274,86,40,1,83,"1,352"
Littleton,-,1,"1,065",628,64,32,0,109,"1,898"
Littleton,-,2,972,580,79,29,0,91,"1,751"
Littleton,-,3,925,507,67,37,0,87,"1,623"
Longmeadow,-,A,967,505,38,49,0,130,"1,689"
Longmeadow,-,B,942,401,46,56,0,93,"1,538"
Longmeadow,-,C,941,546,65,65,1,117,"1,735"
Longmeadow,-,D,938,581,40,39,0,94,"1,692"
Longmeadow,-,E,883,459,41,29,1,104,"1,517"
Lowell,1,1,379,158,23,23,0,42,625
Lowell,1,2,876,667,64,60,0,160,"1,827"
Lowell,1,3,798,476,68,59,0,114,"1,515"
Lowell,2,1,325,55,20,17,0,38,455
Lowell,2,2,417,95,18,37,0,73,640
Lowell,2,3,922,176,62,65,0,70,"1,295"
Lowell,3,1,455,173,26,24,0,54,732
Lowell,3,2,347,109,20,27,0,74,577
Lowell,3,3,348,131,22,26,0,56,583
Lowell,4,1,476,222,42,30,0,97,867
Lowell,4,2,298,110,21,21,0,73,523
Lowell,4,3,325,113,25,30,0,62,555
Lowell,5,1,456,235,48,21,0,54,814
Lowell,5,2,348,146,27,27,0,36,584
Lowell,5,3,420,286,44,42,0,52,844
Lowell,6,1,525,377,47,25,0,68,"1,042"
Lowell,6,2,619,370,42,47,0,86,"1,164"
Lowell,6,3,501,314,38,31,0,73,957
Lowell,7,1,349,122,23,24,0,52,570
Lowell,7,2,419,91,38,30,0,60,638
Lowell,7,3,221,84,16,21,0,59,401
Lowell,8,1,443,170,30,24,0,73,740
Lowell,8,2,402,207,30,36,0,84,759
Lowell,8,3,705,426,49,61,0,113,"1,354"
Lowell,9,1,432,178,23,21,0,49,703
Lowell,9,2,592,288,41,45,0,57,"1,023"
Lowell,9,3,453,243,33,22,0,42,793
Lowell,10,1,420,217,39,27,0,58,761
Lowell,10,2,285,108,26,20,0,39,478
Lowell,10,3,218,97,15,24,0,32,386
Lowell,11,1,518,226,34,36,0,46,860
Lowell,11,2,473,345,59,47,0,62,986
Lowell,11,3,550,282,48,38,0,55,973
Ludlow,-,1,739,546,41,43,1,77,"1,447"
Ludlow,-,2,514,315,32,26,1,69,957
Ludlow,-,3,739,677,58,45,2,89,"1,610"
Ludlow,-,4,725,500,30,48,0,105,"1,408"
Ludlow,-,5,542,420,35,39,1,71,"1,108"
Ludlow,-,6,823,656,45,43,0,95,"1,662"
Lunenburg,-,A,671,570,70,35,0,73,"1,419"
Lunenburg,-,B,610,478,49,26,1,56,"1,220"
Lunenburg,-,C,624,620,67,25,1,78,"1,415"
Lunenburg,-,D,614,499,63,34,1,69,"1,280"
Lynn,1,1,744,589,67,20,3,146,"1,569"
Lynn,1,2,806,563,114,28,1,136,"1,648"
Lynn,1,3,731,414,73,26,1,84,"1,329"
Lynn,1,4,700,347,74,22,2,84,"1,229"
Lynn,2,1,812,513,85,30,4,116,"1,560"
Lynn,2,2,563,175,49,17,0,34,838
Lynn,2,3,423,98,27,12,0,23,583
Lynn,2,4,397,93,29,3,0,31,553
Lynn,3,1,619,271,67,21,1,71,"1,050"
Lynn,3,2,586,174,37,22,0,33,852
Lynn,3,3,581,225,58,26,4,40,934
Lynn,3,4,701,202,66,25,3,55,"1,052"
Lynn,4,1,273,39,19,12,0,11,354
Lynn,4,2,368,62,15,5,0,21,471
Lynn,4,3,479,121,28,17,2,39,686
Lynn,4,4,603,192,54,23,0,46,918
Lynn,5,1,590,217,43,16,0,69,935
Lynn,5,2,278,45,17,8,0,23,371
Lynn,5,3,370,67,14,9,2,22,484
Lynn,5,4,668,195,45,22,1,69,"1,000"
Lynn,6,1,433,126,31,20,0,34,644
Lynn,6,2,275,88,22,7,0,21,413
Lynn,6,3,450,115,24,6,1,34,630
Lynn,6,4,343,92,30,11,0,45,521
Lynn,7,1,789,366,66,32,3,83,"1,339"
Lynn,7,2,699,279,61,20,2,83,"1,144"
Lynn,7,3,477,185,33,12,0,35,742
Lynn,7,4,506,215,48,28,3,56,856
Lynnfield,-,1,706,737,77,21,0,91,"1,632"
Lynnfield,-,2,747,689,82,21,0,103,"1,642"
Lynnfield,-,3,634,619,64,21,0,101,"1,439"
Lynnfield,-,4,698,822,69,8,0,111,"1,708"
Malden,1,1,605,144,36,19,1,39,844
Malden,1,2,740,235,60,35,3,68,"1,141"
Malden,2,1,619,197,46,27,0,48,937
Malden,2,2,680,267,49,30,2,59,"1,087"
Malden,3,1,891,242,68,49,1,82,"1,333"
Malden,3,2,966,337,85,51,1,81,"1,521"
Malden,4,1,632,165,42,24,2,46,911
Malden,4,2,549,117,43,28,1,42,780
Malden,5,1,724,205,53,33,2,51,"1,068"
Malden,5,2,974,369,73,45,0,103,"1,564"
Malden,6,1,804,323,53,36,3,58,"1,277"
Malden,6,2,741,290,53,26,2,62,"1,174"
Malden,7,1,686,121,27,15,2,46,897
Malden,7,2,656,202,33,21,0,58,970
Malden,8,1,731,291,54,28,1,72,"1,177"
Malden,8,2,710,251,48,21,0,61,"1,091"
Manchester-by-the-Sea,-,1,"1,760",947,198,53,1,217,"3,176"
Mansfield,-,1,959,691,69,24,0,115,"1,858"
Mansfield,-,2,"1,056",646,63,27,0,108,"1,900"
Mansfield,-,3,"1,145",692,82,31,0,129,"2,079"
Mansfield,-,4,"1,008",597,57,18,0,104,"1,784"
Mansfield,-,5,"1,006",463,68,33,0,93,"1,663"
Mansfield,-,6,"1,011",454,64,36,0,68,"1,633"
Marblehead,-,1,"1,128",588,127,38,0,131,"2,012"
Marblehead,-,2,"1,223",501,109,40,0,132,"2,005"
Marblehead,-,3,"1,057",484,102,37,0,100,"1,780"
Marblehead,-,4,"1,101",594,122,25,0,121,"1,963"
Marblehead,-,5,"1,119",533,132,21,0,111,"1,916"
Marblehead,-,6,"1,093",564,125,33,0,130,"1,945"
Marion,-,1,"1,490",990,116,54,1,161,"2,812"
Marlborough,1,1,563,263,38,14,0,55,933
Marlborough,1,2,803,508,64,27,0,89,"1,491"
Marlborough,2,1,640,380,48,23,0,57,"1,148"
Marlborough,2,2,571,272,33,19,0,39,934
Marlborough,3,1,410,210,51,27,0,34,732
Marlborough,3,2,886,453,61,41,1,66,"1,508"
Marlborough,4,1,358,184,27,11,0,30,610
Marlborough,4,2,732,430,56,35,0,57,"1,310"
Marlborough,5,1,422,172,35,22,1,22,674
Marlborough,5,2,645,336,47,25,1,53,"1,107"
Marlborough,6,1,488,232,36,15,0,32,803
Marlborough,6,2,707,485,51,30,1,76,"1,350"
Marlborough,7,1,550,289,37,24,1,50,951
Marlborough,7,2,550,325,40,18,0,42,975
Marshfield,-,1,"1,015",740,54,28,0,76,"1,913"
Marshfield,-,2,"1,007",782,68,31,0,113,"2,001"
Marshfield,-,3,994,707,64,28,0,82,"1,875"
Marshfield,-,4,909,713,61,30,0,90,"1,803"
Marshfield,-,5,857,636,57,26,0,92,"1,668"
Marshfield,-,6,"1,092",844,72,24,0,135,"2,167"
Marshfield,-,7,982,842,73,25,0,83,"2,005"
Mashpee,-,1,"1,050",675,54,13,0,97,"1,889"
Mashpee,-,2,711,579,63,23,0,77,"1,453"
Mashpee,-,3,630,469,54,27,1,39,"1,220"
Mashpee,-,4,735,497,53,25,0,74,"1,384"
Mashpee,-,5,845,810,59,22,0,116,"1,852"
Mattapoisett,-,1,"1,948","1,466",122,58,1,202,"3,797"
Maynard,-,1,855,411,48,44,0,54,"1,412"
Maynard,-,2,828,341,69,40,0,66,"1,344"
Maynard,-,3,836,401,46,58,1,67,"1,409"
Maynard,-,4,780,381,52,37,0,60,"1,310"
Medfield,-,1,963,523,67,29,0,112,"1,694"
Medfield,-,2,892,563,60,20,1,94,"1,630"
Medfield,-,3,907,594,61,26,0,96,"1,684"
Medfield,-,4,859,589,77,24,0,103,"1,652"
Medford,1,1,988,320,45,37,0,91,"1,481"
Medford,1,2,"1,015",341,74,38,1,91,"1,560"
Medford,2,1,977,434,59,37,1,104,"1,612"
Medford,2,2,"1,090",534,55,40,1,110,"1,830"
Medford,3,1,"1,103",452,58,50,2,156,"1,821"
Medford,3,2,"1,130",558,84,44,1,141,"1,958"
Medford,4,1,745,121,41,31,1,38,977
Medford,4,2,"1,235",330,79,69,0,104,"1,817"
Medford,5,1,"1,264",231,70,61,1,78,"1,705"
Medford,5,2,963,173,55,37,1,55,"1,284"
Medford,6,1,"1,447",275,75,103,3,130,"2,033"
Medford,6,2,"1,146",367,84,55,1,107,"1,760"
Medford,7,1,694,186,42,15,1,46,984
Medford,7,2,"1,020",300,35,36,0,94,"1,485"
Medford,8,1,"1,146",390,71,71,2,100,"1,780"
Medford,8,2,993,316,77,39,1,78,"1,504"
Medway,-,1,743,600,64,21,0,79,"1,507"
Medway,-,2,841,564,57,51,0,89,"1,602"
Medway,-,3,876,581,65,35,1,86,"1,644"
Medway,-,4,871,597,81,28,1,93,"1,671"
Melrose,1,1,681,264,51,34,0,78,"1,108"
Melrose,1,2,688,243,53,27,0,51,"1,062"
Melrose,2,1,683,340,52,16,1,84,"1,176"
Melrose,2,2,625,284,37,12,0,64,"1,022"
Melrose,3,1,649,224,54,37,4,64,"1,032"
Melrose,3,2,608,224,47,15,1,73,968
Melrose,4,1,587,242,52,19,1,69,970
Melrose,4,2,607,410,59,20,0,90,"1,186"
Melrose,5,1,721,252,33,33,1,43,"1,083"
Melrose,5,2,605,227,55,16,1,58,962
Melrose,6,1,605,222,47,16,1,44,935
Melrose,6,2,615,343,37,11,1,93,"1,100"
Melrose,7,1,614,256,47,18,0,70,"1,005"
Melrose,7,2,640,313,49,24,0,62,"1,088"
Mendon,-,1,"1,353","1,230",125,41,0,184,"2,933"
Merrimac,-,1,867,606,86,31,0,123,"1,713"
Merrimac,-,2,833,699,69,34,0,80,"1,715"
Methuen,-,1,792,536,45,31,1,75,"1,480"
Methuen,-,2,545,109,18,11,2,31,716
Methuen,-,3,734,530,40,19,2,47,"1,372"
Methuen,-,4,769,492,46,20,1,70,"1,398"
Methuen,-,5,678,376,31,17,4,68,"1,174"
Methuen,-,6,793,469,57,22,2,63,"1,406"
Methuen,-,7,814,623,47,20,0,86,"1,590"
Methuen,-,8,904,923,73,25,2,119,"2,046"
Methuen,-,9,756,739,49,22,3,99,"1,668"
Methuen,-,10,828,479,51,27,0,62,"1,447"
Methuen,-,11,893,813,76,26,0,113,"1,921"
Methuen,-,12,716,710,60,30,1,82,"1,599"
Middleborough,-,1,"1,064","1,151",58,23,2,119,"2,417"
Middleborough,-,2,724,602,64,42,0,88,"1,520"
Middleborough,-,3,767,867,73,28,0,82,"1,817"
Middleborough,-,4,614,541,61,28,1,69,"1,314"
Middleborough,-,5,756,898,61,24,0,115,"1,854"
Middleborough,-,6,630,719,57,26,0,95,"1,527"
Middlefield,-,1,157,71,8,4,0,21,261
Middleton,-,1,890,942,118,18,0,136,"2,104"
Middleton,-,2,919,"1,008",111,27,0,138,"2,203"
Milford,-,1,437,264,33,26,0,61,821
Milford,-,2,683,399,47,30,1,96,"1,256"
Milford,-,3,645,468,45,22,2,93,"1,275"
Milford,-,4,530,289,34,28,1,75,957
Milford,-,5,930,614,66,29,1,152,"1,792"
Milford,-,6,735,430,45,20,0,99,"1,329"
Milford,-,7,860,620,75,29,0,113,"1,697"
Milford,-,8,800,457,56,25,2,133,"1,473"
Millbury,-,1,685,549,55,26,0,86,"1,401"
Millbury,-,2,787,736,53,27,0,138,"1,741"
Millbury,-,3,652,559,63,26,2,100,"1,402"
Millbury,-,4,664,532,52,32,1,79,"1,360"
Millis,-,1,777,485,65,26,0,64,"1,417"
Millis,-,2,759,515,59,31,0,95,"1,459"
Millis,-,3,782,527,67,23,0,72,"1,471"
Millville,-,1,573,584,55,28,0,57,"1,297"
Milton,-,1,"1,123",168,33,33,0,67,"1,424"
Milton,-,2,"1,053",248,67,35,1,105,"1,509"
Milton,-,3,982,363,54,36,1,144,"1,580"
Milton,-,4,"1,002",261,56,31,0,85,"1,435"
Milton,-,5,743,270,49,30,0,113,"1,205"
Milton,-,6,897,446,56,20,0,124,"1,543"
Milton,-,7,825,360,46,18,1,129,"1,379"
Milton,-,8,898,409,42,20,2,127,"1,498"
Milton,-,9,806,508,41,15,1,131,"1,502"
Milton,-,10,769,140,30,16,1,56,"1,012"
Monroe,-,1,22,19,1,4,0,2,48
Monson,-,A,569,519,40,25,0,63,"1,216"
Monson,-,B,561,527,37,54,1,78,"1,258"
Monson,-,C,631,486,64,42,0,83,"1,306"
Montague,-,1,618,112,24,87,0,41,882
Montague,-,2,381,139,31,44,0,25,620
Montague,-,3,387,144,8,24,0,26,589
Montague,-,4,409,145,23,41,0,35,653
Montague,-,5,296,51,23,42,0,21,433
Montague,-,6,342,113,14,38,0,32,539
Monterey,-,1,331,77,12,24,0,25,469
Montgomery,-,1,198,205,14,19,0,20,456
"Mount Washington",-,1,65,18,3,5,0,6,97
Nahant,-,1,"1,204",612,104,49,1,131,"2,101"
Nantucket,-,1,"2,635","1,163",151,95,4,157,"4,205"
Natick,-,1,748,199,47,19,0,51,"1,064"
Natick,-,2,"1,157",458,85,40,0,101,"1,841"
Natick,-,3,"1,127",443,70,27,0,139,"1,806"
Natick,-,4,"1,062",369,71,45,1,84,"1,632"
Natick,-,5,"1,053",481,61,46,0,122,"1,763"
Natick,-,6,"1,073",420,60,29,0,105,"1,687"
Natick,-,7,"1,208",390,63,35,0,129,"1,825"
Natick,-,8,"1,137",437,76,36,0,138,"1,824"
Natick,-,9,"1,139",381,64,42,1,128,"1,755"
Natick,-,10,"1,297",541,101,43,0,170,"2,152"
Needham,-,A,879,338,64,19,1,96,"1,397"
Needham,-,B,"1,057",436,75,23,0,95,"1,686"
Needham,-,C,"1,007",416,73,15,1,103,"1,615"
Needham,-,D,"1,058",362,67,18,0,92,"1,597"
Needham,-,E,"1,100",419,85,17,0,102,"1,723"
Needham,-,F,"1,058",339,66,31,1,118,"1,613"
Needham,-,G,"1,060",399,79,32,2,134,"1,706"
Needham,-,H,"1,043",430,72,29,3,126,"1,703"
Needham,-,I,"1,149",338,77,29,0,127,"1,720"
Needham,-,J,"1,111",374,61,30,4,105,"1,685"
"New Ashford",-,1,83,36,0,2,0,4,125
"New Bedford",1,A,553,331,36,17,0,50,987
"New Bedford",1,B,485,284,32,15,0,48,864
"New Bedford",1,C,488,282,26,20,0,58,874
"New Bedford",1,D,529,319,24,17,1,67,957
"New Bedford",1,E,515,230,25,18,0,35,823
"New Bedford",1,F,539,323,28,13,1,54,958
"New Bedford",2,A,135,41,5,4,0,2,187
"New Bedford",2,B,309,114,16,11,1,22,473
"New Bedford",2,C,239,93,21,13,0,13,379
"New Bedford",2,D,304,173,16,17,0,47,557
"New Bedford",2,E,463,203,28,13,1,50,758
"New Bedford",2,F,400,192,25,8,1,37,663
"New Bedford",3,A,236,62,7,10,0,15,330
"New Bedford",3,B,273,79,12,7,0,13,384
"New Bedford",3,C,268,87,14,8,1,20,398
"New Bedford",3,D,365,128,14,8,0,32,547
"New Bedford",3,E,574,232,32,18,3,39,898
"New Bedford",3,F,533,218,30,19,0,42,842
"New Bedford",4,A,315,36,12,8,0,30,401
"New Bedford",4,B,534,117,32,12,0,35,730
"New Bedford",4,C,513,107,38,27,2,48,735
"New Bedford",4,D,438,108,17,17,0,30,610
"New Bedford",4,E,384,141,21,20,1,30,597
"New Bedford",4,F,444,97,15,13,1,31,601
"New Bedford",5,A,318,110,15,9,0,26,478
"New Bedford",5,B,562,148,27,33,2,52,824
"New Bedford",5,C,414,193,26,17,1,48,699
"New Bedford",5,D,647,193,36,31,1,45,953
"New Bedford",5,E,696,297,28,26,0,77,"1,124"
"New Bedford",5,F,713,255,41,33,0,56,"1,098"
"New Bedford",6,A,462,248,22,18,0,66,816
"New Bedford",6,B,439,194,19,15,1,53,721
"New Bedford",6,C,205,61,8,12,0,15,301
"New Bedford",6,D,164,45,5,11,0,21,246
"New Bedford",6,E,243,95,15,9,1,39,402
"New Bedford",6,F,368,99,15,16,0,28,526
"New Braintree",-,1,237,228,18,17,0,24,524
"New Marlborough",-,1,514,191,13,34,0,27,779
"New Salem",-,1,312,160,19,27,0,17,535
Newbury,-,1,"1,144",668,97,42,1,111,"2,063"
Newbury,-,2,"1,057",747,115,30,0,132,"2,081"
Newburyport,1,1,877,304,70,32,0,81,"1,364"
Newburyport,2,1,"1,204",341,79,42,0,65,"1,731"
Newburyport,3,1,"1,082",395,64,33,0,109,"1,683"
Newburyport,4,1,"1,233",486,69,32,0,117,"1,937"
Newburyport,5,1,801,505,72,33,0,107,"1,518"
Newburyport,6,1,903,546,43,31,0,102,"1,625"
Newburyport,1,P,231,147,30,12,0,19,439
Newton,1,1,717,265,46,27,0,81,"1,136"
Newton,1,2,956,172,61,58,3,67,"1,317"
Newton,1,3,960,154,80,36,0,63,"1,293"
Newton,1,4,764,300,50,31,2,114,"1,261"
Newton,2,1,947,233,49,42,4,83,"1,358"
Newton,2,2,670,145,61,20,3,55,954
Newton,2,3,"1,121",195,74,38,1,99,"1,528"
Newton,2,4,"1,099",188,76,39,2,109,"1,513"
Newton,3,1,979,258,60,32,2,89,"1,420"
Newton,3,2,"1,031",214,72,27,0,106,"1,450"
Newton,3,3,913,306,61,28,0,96,"1,404"
Newton,3,4,905,278,59,33,1,72,"1,348"
Newton,4,1,859,243,71,30,2,75,"1,280"
Newton,4,2,916,167,56,24,4,98,"1,265"
Newton,4,3,607,154,47,20,0,77,905
Newton,4,4,792,253,56,37,1,91,"1,230"
Newton,5,1,863,250,62,34,1,84,"1,294"
Newton,5,2,"1,003",164,67,37,0,104,"1,375"
Newton,5,3,"1,197",214,74,26,0,132,"1,643"
Newton,5,4,"1,135",227,79,32,1,111,"1,585"
Newton,6,1,844,231,67,16,0,98,"1,256"
Newton,6,2,"1,021",181,99,45,1,88,"1,435"
Newton,6,3,"1,139",172,83,43,0,108,"1,545"
Newton,6,4,"1,139",180,110,41,0,112,"1,582"
Newton,7,1,756,246,72,31,0,93,"1,198"
Newton,7,2,"1,138",223,99,21,2,114,"1,597"
Newton,7,3,317,59,19,10,1,22,428
Newton,7,4,439,128,39,13,0,59,678
Newton,8,1,974,367,89,22,1,123,"1,576"
Newton,8,2,841,328,73,21,0,114,"1,377"
Newton,8,3,943,307,73,33,0,116,"1,472"
Newton,8,4,594,174,41,17,0,71,897
Norfolk,-,1,538,482,47,15,0,61,"1,143"
Norfolk,-,2,"1,096",894,99,25,3,134,"2,251"
Norfolk,-,3,945,777,63,23,2,111,"1,921"
"N. Adams",1,1,630,208,34,34,0,58,964
"N. Adams",2,2,551,147,28,38,0,44,808
"N. Adams",3,3,512,95,19,35,0,39,700
"N. Adams",4,4,686,214,23,28,0,62,"1,013"
"N. Adams",5,5,600,147,24,29,0,64,864
"N. Andover",-,1,829,482,50,40,0,90,"1,491"
"N. Andover",-,2,941,551,91,36,0,112,"1,731"
"N. Andover",-,3,818,548,64,22,0,90,"1,542"
"N. Andover",-,4,"1,031",704,70,28,0,113,"1,946"
"N. Andover",-,5,653,418,47,11,0,72,"1,201"
"N. Andover",-,6,866,817,64,24,0,103,"1,874"
"N. Andover",-,7,951,632,55,23,0,81,"1,742"
"N. Andover",-,8,886,761,92,19,0,103,"1,861"
"N. Attleborough",-,1,608,334,43,21,1,45,"1,052"
"N. Attleborough",-,2,692,488,56,35,0,104,"1,375"
"N. Attleborough",-,3,653,640,67,24,0,101,"1,485"
"N. Attleborough",-,4,568,338,46,20,1,57,"1,030"
"N. Attleborough",-,5,639,421,41,20,0,57,"1,178"
"N. Attleborough",-,6,759,555,56,12,0,87,"1,469"
"N. Attleborough",-,7,800,633,45,31,1,110,"1,620"
"N. Attleborough",-,8,743,571,50,17,0,86,"1,467"
"N. Attleborough",-,9,693,488,56,21,0,97,"1,355"
"N. Brookfield",-,1,837,995,69,65,2,94,"2,062"
"N. Reading",-,1,855,814,81,21,2,148,"1,921"
"N. Reading",-,2,829,658,74,28,1,116,"1,706"
"N. Reading",-,3,902,769,82,20,1,128,"1,902"
"N. Reading",-,4,"1,004",740,87,31,0,122,"1,984"
Northampton,1,A,617,66,34,96,0,35,848
Northampton,1,B,928,119,14,155,2,60,"1,278"
Northampton,2,A,943,48,16,115,0,65,"1,187"
Northampton,2,B,563,31,15,76,0,31,716
Northampton,3,A,916,71,21,159,0,48,"1,215"
Northampton,3,B,815,72,28,152,1,51,"1,119"
Northampton,4,A,652,33,23,110,0,35,853
Northampton,4,B,804,59,21,137,0,50,"1,071"
Northampton,5,A,734,100,24,93,0,43,994
Northampton,5,B,837,93,15,117,0,53,"1,115"
Northampton,6,A,732,193,21,84,0,60,"1,090"
Northampton,6,B,937,172,25,86,0,56,"1,276"
Northampton,7,A,908,128,15,115,1,57,"1,224"
Northampton,7,B,885,162,36,100,0,70,"1,253"
Northborough,-,1,"1,086",652,70,39,1,102,"1,950"
Northborough,-,2,"1,021",624,94,27,0,101,"1,867"
Northborough,-,3,"1,096",628,93,41,1,89,"1,948"
Northborough,-,4,"1,042",717,93,34,0,101,"1,987"
Northbridge,-,1,795,669,78,33,1,121,"1,697"
Northbridge,-,2,789,719,72,26,0,112,"1,718"
Northbridge,-,3,668,623,78,28,0,86,"1,483"
Northbridge,-,4,907,976,71,38,0,159,"2,151"
Northfield,-,1,924,393,53,70,0,68,"1,508"
Norton,-,1,911,647,57,19,0,94,"1,728"
Norton,-,2,855,666,60,25,1,93,"1,700"
Norton,-,3,854,567,68,25,1,83,"1,598"
Norton,-,4,959,676,55,26,1,103,"1,820"
Norton,-,5,523,375,40,15,4,70,"1,027"
Norwell,-,1,947,741,66,16,2,133,"1,905"
Norwell,-,2,954,879,60,35,3,124,"2,055"
Norwell,-,3,988,803,71,25,1,95,"1,983"
Norwood,-,1,979,479,54,23,0,106,"1,641"
Norwood,-,2,850,421,58,19,0,110,"1,458"
Norwood,-,3,908,424,72,36,0,98,"1,538"
Norwood,-,4,908,566,68,29,2,145,"1,718"
Norwood,-,5,740,288,29,26,0,72,"1,155"
Norwood,-,6,614,344,41,11,0,70,"1,080"
Norwood,-,7,764,435,38,21,1,77,"1,336"
Norwood,-,8,963,460,69,36,1,78,"1,607"
Norwood,-,9,864,575,61,18,2,102,"1,622"
"Oak Bluffs",-,1,"1,703",553,76,90,0,148,"2,570"
Oakham,-,1,365,480,36,35,0,47,963
Orange,-,1,595,532,62,74,1,65,"1,329"
Orange,-,2,670,495,54,58,0,59,"1,336"
Orleans,-,1,"2,338","1,373",122,84,0,188,"4,105"
Otis,-,1,392,240,25,33,0,47,737
Oxford,-,1,632,613,69,33,1,69,"1,417"
Oxford,-,2,586,621,52,28,1,46,"1,334"
Oxford,-,3,656,636,66,30,1,73,"1,462"
Oxford,-,4,538,604,62,31,2,65,"1,302"
Palmer,-,1,522,470,55,56,0,43,"1,146"
Palmer,-,1A,79,56,8,5,0,7,155
Palmer,-,2,596,528,41,47,0,79,"1,291"
Palmer,-,3,553,323,50,46,1,44,"1,017"
Palmer,-,4,506,450,30,53,0,65,"1,104"
Paxton,-,1,"1,171",909,83,42,0,103,"2,308"
Peabody,1,1,691,422,82,19,3,79,"1,296"
Peabody,1,2,716,557,69,19,0,102,"1,463"
Peabody,1,3,774,554,93,22,2,115,"1,560"
Peabody,2,1,531,200,52,22,2,36,843
Peabody,2,2,523,229,43,15,1,28,839
Peabody,2,3,585,387,78,17,1,49,"1,117"
Peabody,3,1,407,169,29,15,1,39,660
Peabody,3,2,566,281,52,17,0,58,974
Peabody,3,3,646,371,66,28,1,66,"1,178"
Peabody,4,1,638,407,74,21,0,102,"1,242"
Peabody,4,2,638,415,56,14,0,52,"1,175"
Peabody,4,3,408,258,30,9,0,50,755
Peabody,4,3A,713,429,53,14,1,66,"1,276"
Peabody,5,1,681,568,86,17,1,96,"1,449"
Peabody,5,2,518,452,54,10,0,66,"1,100"
Peabody,5,3,692,488,58,23,1,67,"1,329"
Peabody,6,1,664,673,77,22,1,88,"1,525"
Peabody,6,2,650,587,68,22,0,94,"1,421"
Peabody,6,3,667,621,71,15,1,86,"1,461"
Pelham,-,1,603,79,20,58,0,42,802
Pembroke,-,1,938,775,55,21,0,100,"1,889"
Pembroke,-,2,819,673,58,27,4,92,"1,673"
Pembroke,-,3,883,715,62,25,2,85,"1,772"
Pembroke,-,4,889,732,66,32,1,82,"1,802"
Pembroke,-,5,828,713,51,20,0,84,"1,696"
Pepperell,-,1,749,773,85,35,1,93,"1,736"
Pepperell,-,2,902,824,88,28,3,88,"1,933"
Pepperell,-,3,851,795,72,42,0,90,"1,850"
Peru,-,1,231,144,12,11,0,33,431
Petersham,-,1,394,245,22,38,0,35,734
Phillipston,-,1,370,389,27,24,0,34,844
Pittsfield,1,A,606,178,38,34,0,44,900
Pittsfield,1,B,853,225,24,33,0,89,"1,224"
Pittsfield,2,A,427,71,24,18,0,29,569
Pittsfield,2,B,880,241,31,40,0,92,"1,284"
Pittsfield,3,A,"1,024",204,51,55,0,120,"1,454"
Pittsfield,3,B,"1,058",237,42,43,1,160,"1,541"
Pittsfield,4,A,"1,028",268,38,48,0,117,"1,499"
Pittsfield,4,B,"1,158",358,49,51,1,166,"1,783"
Pittsfield,5,A,801,173,35,55,0,87,"1,151"
Pittsfield,5,B,853,239,43,33,1,102,"1,271"
Pittsfield,6,A,893,207,29,43,1,110,"1,283"
Pittsfield,6,B,559,153,20,36,0,62,830
Pittsfield,7,A,501,121,27,33,0,36,718
Pittsfield,7,B,885,240,42,49,0,101,"1,317"
Plainfield,-,1,241,82,7,32,0,16,378
Plainville,-,1,733,559,61,19,1,81,"1,454"
Plainville,-,2,720,512,48,15,0,83,"1,378"
Plainville,-,3,647,535,57,19,0,62,"1,320"
Plymouth,-,1,781,453,50,31,0,71,"1,386"
Plymouth,-,2,"1,006",685,85,29,1,100,"1,906"
Plymouth,-,3,800,465,64,22,0,76,"1,427"
Plymouth,-,4,860,618,50,27,1,72,"1,628"
Plymouth,-,5,904,876,70,26,0,78,"1,954"
Plymouth,-,6,951,786,53,26,0,82,"1,898"
Plymouth,-,7,863,747,60,23,1,73,"1,767"
Plymouth,-,8,913,868,74,32,0,87,"1,974"
Plymouth,-,9,742,592,63,26,0,59,"1,482"
Plymouth,-,10,622,484,40,16,0,62,"1,224"
Plymouth,-,11,961,902,62,28,0,85,"2,038"
Plymouth,-,12,919,815,70,24,0,84,"1,912"
Plymouth,-,13,920,742,40,28,1,93,"1,824"
Plymouth,-,14,797,902,56,32,4,67,"1,858"
Plymouth,-,15,"1,962","1,587",118,27,1,164,"3,859"
Plympton,-,1,711,666,62,28,0,74,"1,541"
Princeton,-,1,"1,016",773,90,71,1,109,"2,060"
Provincetown,-,1,"1,822",149,41,68,0,60,"2,140"
Quincy,1,1,614,302,55,38,0,77,"1,086"
Quincy,1,2,467,198,33,26,0,104,828
Quincy,1,3,792,251,68,35,2,59,"1,207"
Quincy,1,4,835,509,66,27,1,120,"1,558"
Quincy,1,5,903,497,63,38,2,128,"1,631"
Quincy,2,1,616,342,48,31,1,67,"1,105"
Quincy,2,2,594,243,40,24,2,49,952
Quincy,2,3,267,127,20,4,0,32,450
