City/Town,Ward,Pct,"Suzanne M. Bump","Helen Brady","Daniel Fishman","Edward J. Stamas","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Libertarian,Green-rainbow
Concord,-,4,"1,337",664,90,63,1,86,"2,241"
Concord,-,5,871,453,37,16,0,51,"1,428"
Conway,-,1,769,203,24,79,0,41,"1,116"
Cummington,-,1,327,92,15,32,0,19,485
Dalton,-,1,947,344,49,45,0,92,"1,477"
Dalton,-,2,982,307,25,56,2,87,"1,459"
Danvers,-,1,887,529,95,23,2,96,"1,632"
Danvers,-,2,860,556,80,31,0,101,"1,628"
Danvers,-,3,673,498,84,23,0,78,"1,356"
Danvers,-,4,837,547,106,29,1,112,"1,632"
Danvers,-,5,799,601,117,19,0,116,"1,652"
Danvers,-,6,820,667,110,16,1,124,"1,738"
Danvers,-,7,826,555,129,26,1,100,"1,637"
Danvers,-,8,707,558,87,16,2,59,"1,429"
Dartmouth,-,1,732,697,78,6,0,99,"1,612"
Dartmouth,-,2,537,363,41,21,0,61,"1,023"
Dartmouth,-,3,138,13,7,2,0,8,168
Dartmouth,-,4,830,484,57,24,1,90,"1,486"
Dartmouth,-,5,932,562,60,33,0,105,"1,692"
Dartmouth,-,6,693,393,32,22,1,64,"1,205"
Dartmouth,-,7,821,563,72,22,0,132,"1,610"
Dartmouth,-,8,"1,178",604,81,48,0,131,"2,042"
Dartmouth,-,9,"1,197",707,70,29,0,125,"2,128"
Dedham,-,1,"1,085",431,93,29,0,147,"1,785"
Dedham,-,2,"1,044",518,74,38,1,133,"1,808"
Dedham,-,3,945,370,53,39,1,110,"1,518"
Dedham,-,4,"1,012",482,82,30,1,137,"1,744"
Dedham,-,5,"1,078",556,58,23,0,141,"1,856"
Dedham,-,6,"1,118",517,78,41,3,137,"1,894"
Dedham,-,7,"1,008",573,65,25,1,162,"1,834"
Deerfield,-,1,"1,737",583,63,155,0,115,"2,653"
Dennis,-,1,955,760,48,16,0,74,"1,853"
Dennis,-,2,960,728,35,28,0,104,"1,855"
Dennis,-,3,785,495,54,38,0,59,"1,431"
Dennis,-,4,846,669,38,41,0,81,"1,675"
Dennis,-,5,903,519,47,21,0,71,"1,561"
Dighton,-,1,693,656,57,19,0,102,"1,527"
Dighton,-,2,820,719,64,33,1,106,"1,743"
Douglas,-,1,520,703,63,29,0,81,"1,396"
Douglas,-,2,546,660,56,26,0,85,"1,373"
Douglas,-,3,474,607,42,29,0,50,"1,202"
Dover,-,1,"1,585","1,154",151,46,2,195,"3,133"
Dracut,-,1,624,525,43,21,0,51,"1,264"
Dracut,-,2,544,471,43,34,0,58,"1,150"
Dracut,-,3,674,631,43,29,0,90,"1,467"
Dracut,-,4,719,849,67,29,0,98,"1,762"
Dracut,-,5,638,654,51,29,0,78,"1,450"
Dracut,-,6,634,556,49,24,0,83,"1,346"
Dracut,-,6A,25,26,0,3,0,8,62
Dracut,-,7,634,513,54,27,0,68,"1,296"
Dracut,-,8,828,968,53,29,0,109,"1,987"
Dracut,-,9,714,613,46,31,0,88,"1,492"
Dudley,-,1,784,744,71,35,0,65,"1,699"
Dudley,-,2,561,652,70,27,0,52,"1,362"
Dudley,-,3,521,599,50,17,1,65,"1,253"
Dunstable,-,1,832,695,69,38,0,103,"1,737"
Duxbury,-,1,783,635,70,22,1,86,"1,597"
Duxbury,-,2,695,636,61,14,0,86,"1,492"
Duxbury,-,3,706,535,49,25,1,64,"1,380"
Duxbury,-,4,729,503,50,21,0,77,"1,380"
Duxbury,-,5,755,508,74,23,0,71,"1,431"
Duxbury,-,6,626,505,40,18,1,73,"1,263"
"E. Bridgewater",-,1,772,648,49,21,0,114,"1,604"
"E. Bridgewater",-,2,750,682,51,20,0,84,"1,587"
"E. Bridgewater",-,3,852,734,51,34,0,132,"1,803"
"E. Bridgewater",-,4,739,605,60,21,0,92,"1,517"
"E. Brookfield",-,1,429,519,30,19,0,36,"1,033"
"E. Longmeadow",-,1,988,671,67,61,2,100,"1,889"
"E. Longmeadow",-,2,913,638,47,54,0,112,"1,764"
"E. Longmeadow",-,3,911,735,74,54,0,136,"1,910"
"E. Longmeadow",-,4,916,880,45,38,0,135,"2,014"
Eastham,-,1,"2,002",979,78,106,138,4,"3,307"
Easthampton,-,1,"1,017",343,33,101,1,79,"1,574"
Easthampton,-,2,"1,179",254,47,192,0,79,"1,751"
Easthampton,-,3,"1,047",280,51,131,0,78,"1,587"
Easthampton,-,4,"1,306",290,56,156,1,82,"1,891"
Easthampton,-,5,"1,050",536,48,71,1,98,"1,804"
Easton,-,1,549,348,30,11,2,69,"1,009"
Easton,-,2,"1,135",667,66,23,0,130,"2,021"
Easton,-,3,932,541,48,22,0,87,"1,630"
Easton,-,4,"1,082",657,68,21,3,128,"1,959"
Easton,-,5,"1,258",661,75,23,1,130,"2,148"
Easton,-,6,"1,010",661,66,28,2,115,"1,882"
Edgartown,-,1,"1,488",632,81,60,1,152,"2,414"
Egremont,-,1,594,108,17,42,0,32,793
Erving,-,1,368,200,22,29,1,31,651
Essex,-,1,"1,064",666,134,52,0,126,"2,042"
Everett,1,1,488,168,27,25,2,66,776
Everett,1,2,389,159,15,15,1,56,635
Everett,2,1,580,179,21,12,3,49,844
Everett,2,2,481,157,21,11,0,58,728
Everett,3,1,640,226,34,19,2,85,"1,006"
Everett,3,2,601,185,22,16,1,66,891
Everett,4,1,648,271,34,16,2,56,"1,027"
Everett,4,2,574,156,23,18,1,62,834
Everett,5,1,580,190,30,11,1,57,869
Everett,5,2,578,158,32,21,1,77,867
Everett,6,1,625,208,40,19,2,58,952
Everett,6,2,643,183,33,10,0,65,934
Fairhaven,-,1,712,396,62,38,2,80,"1,290"
Fairhaven,-,2,677,386,34,16,0,67,"1,180"
Fairhaven,-,3,501,324,31,16,1,56,929
Fairhaven,-,4,647,387,28,22,0,81,"1,165"
Fairhaven,-,5,650,514,37,32,1,85,"1,319"
Fairhaven,-,6,598,466,48,24,1,97,"1,234"
"Fall River",1,A,585,349,41,25,0,85,"1,085"
"Fall River",1,B,382,231,33,12,1,70,729
"Fall River",1,C,407,249,22,9,0,75,762
"Fall River",2,A,331,119,20,10,0,46,526
"Fall River",2,B,292,132,18,17,1,30,490
"Fall River",2,C,343,158,16,17,0,70,604
"Fall River",3,A,496,212,30,17,0,63,818
"Fall River",3,B,422,199,27,14,0,56,718
"Fall River",3,C,456,232,34,18,0,61,801
"Fall River",4,A,311,155,20,12,0,44,542
"Fall River",4,B,274,100,19,15,1,45,454
"Fall River",4,C,357,94,16,8,0,69,544
"Fall River",5,A,221,73,21,3,0,33,351
"Fall River",5,B,178,68,11,11,0,29,297
"Fall River",5,B1,33,15,6,7,0,7,68
"Fall River",5,C,276,124,20,12,0,43,475
"Fall River",6,A,492,298,29,17,0,87,923
"Fall River",6,B,379,143,22,10,0,63,617
"Fall River",6,C,432,207,22,25,0,61,747
"Fall River",6,C1,7,4,0,0,0,1,12
"Fall River",7,A,482,240,48,12,1,68,851
"Fall River",7,B,334,153,31,19,1,36,574
"Fall River",7,C,426,189,29,15,0,75,734
"Fall River",8,A,428,165,18,23,0,67,701
"Fall River",8,B,658,308,47,24,1,110,"1,148"
"Fall River",8,C,710,367,35,17,1,129,"1,259"
"Fall River",9,A,861,442,38,21,0,152,"1,514"
"Fall River",9,B,540,302,25,20,0,107,994
"Fall River",9,C,565,278,42,22,0,103,"1,010"
Falmouth,-,1,"1,508",463,113,45,0,99,"2,228"
Falmouth,-,2,"1,148",554,67,47,0,97,"1,913"
Falmouth,-,3,"1,020",653,47,24,1,78,"1,823"
Falmouth,-,4,"1,065",713,57,25,0,73,"1,933"
Falmouth,-,5,"1,223",785,98,32,1,105,"2,244"
Falmouth,-,6,"1,115",679,80,47,0,116,"2,037"
Falmouth,-,7,938,735,49,26,0,99,"1,847"
Falmouth,-,8,996,711,69,35,0,90,"1,901"
Falmouth,-,9,933,610,71,31,1,74,"1,720"
Fitchburg,1,A,420,250,39,14,1,31,755
Fitchburg,1,B,552,315,41,28,1,49,986
Fitchburg,2,A,438,178,17,18,0,23,674
Fitchburg,2,B,589,408,35,39,0,58,"1,129"
Fitchburg,3,A,796,615,44,33,1,89,"1,578"
Fitchburg,3,B,586,418,45,58,0,62,"1,169"
Fitchburg,4,A,260,164,30,17,0,37,508
Fitchburg,4,B,436,221,35,21,0,31,744
Fitchburg,5,A,685,610,55,31,1,89,"1,471"
Fitchburg,5,B,381,140,24,18,0,19,582
Fitchburg,6,A,668,490,38,20,1,66,"1,283"
Fitchburg,6,B,487,222,32,22,0,39,802
Florida,-,1,169,117,10,9,0,20,325
Foxborough,-,1,851,523,57,17,1,101,"1,550"
Foxborough,-,2,965,617,62,25,0,147,"1,816"
Foxborough,-,3,934,670,65,23,0,123,"1,815"
Foxborough,-,4,902,644,68,29,0,112,"1,755"
Foxborough,-,5,864,616,58,35,0,92,"1,665"
Framingham,-,1,"1,218",522,82,27,3,111,"1,963"
Framingham,-,2,"1,473",595,92,36,1,137,"2,334"
Framingham,-,3,"1,113",361,63,25,1,86,"1,649"
Framingham,-,4,"1,254",504,100,39,3,115,"2,015"
Framingham,-,5,"1,135",507,75,38,1,91,"1,847"
Framingham,-,6,"1,163",499,68,38,1,103,"1,872"
Framingham,-,7,"1,117",377,77,31,2,81,"1,685"
