City/Town,Ward,Pct,"Robert L. Jubinville","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Randolph,-,6,724,9,173,906
Randolph,-,7,794,10,178,982
Randolph,-,8,870,11,165,"1,046"
Randolph,-,9,813,11,160,984
Randolph,-,10,836,11,185,"1,032"
Randolph,-,11,809,16,244,"1,069"
Randolph,-,12,874,15,235,"1,124"
Rehoboth,-,1,"1,072",0,668,"1,740"
Rehoboth,-,2,"1,077",0,628,"1,705"
Rehoboth,-,3,"1,158",0,670,"1,828"
Seekonk,-,1,952,43,395,"1,390"
Seekonk,-,2,"1,166",47,535,"1,748"
Seekonk,-,3,"1,083",35,421,"1,539"
Seekonk,-,4,973,37,420,"1,430"
Sharon,-,1,"1,338",27,468,"1,833"
Sharon,-,2,"1,237",20,428,"1,685"
Sharon,-,3,"1,355",32,479,"1,866"
Sharon,-,4,"1,372",17,393,"1,782"
Sharon,-,5,"1,183",18,426,"1,627"
Sherborn,-,1,"1,754",19,639,"2,412"
Stoughton,-,1,"1,191",1,434,"1,626"
Stoughton,-,2,994,13,398,"1,405"
Stoughton,-,3,"1,070",6,419,"1,495"
Stoughton,-,4,"1,158",4,602,"1,764"
Stoughton,-,5,881,3,362,"1,246"
Stoughton,-,6,954,1,396,"1,351"
Stoughton,-,7,931,6,304,"1,241"
Stoughton,-,8,800,19,269,"1,088"
Walpole,-,1,"1,042",10,427,"1,479"
Walpole,-,2,"1,050",19,552,"1,621"
Walpole,-,3,"1,100",6,544,"1,650"
Walpole,-,4,"1,006",13,444,"1,463"
Walpole,-,5,873,7,460,"1,340"
Walpole,-,6,"1,043",10,541,"1,594"
Walpole,-,7,"1,037",6,568,"1,611"
Walpole,-,8,958,8,592,"1,558"
Wayland,-,1,"1,403",14,509,"1,926"
Wayland,-,2,"1,367",6,446,"1,819"
Wayland,-,3,"1,326",8,436,"1,770"
Wayland,-,4,"1,483",9,543,"2,035"
Wellesley,-,B,"1,449",22,519,"1,990"
Wellesley,-,F,794,9,325,"1,128"
Wellesley,-,G,731,2,236,969
"W. Bridgewater",-,1,"1,085",4,699,"1,788"
"W. Bridgewater",-,2,"1,077",9,602,"1,688"
Westwood,-,1,"1,457",10,641,"2,108"
Westwood,-,2,"1,432",12,701,"2,145"
Westwood,-,3,"1,348",1,755,"2,104"
Westwood,-,4,"1,216",7,711,"1,934"
Wrentham,-,1,"1,183",41,558,"1,782"
Wrentham,-,2,"1,222",70,644,"1,936"
Wrentham,-,3,"1,276",42,555,"1,873"
TOTALS,,,"261,499","3,794","104,085","369,378"
