City/Town,Ward,Pct,"Eileen R. Duff","Richard A. Baker, Jr.","Marc C. Mercier","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Libertarian
Amesbury,-,1,804,541,46,0,90,"1,481"
Amesbury,-,2,792,395,48,0,67,"1,302"
Amesbury,-,3,824,415,38,0,77,"1,354"
Amesbury,-,4,624,352,29,2,71,"1,078"
Amesbury,-,5,724,567,42,2,94,"1,429"
Amesbury,-,6,731,364,34,0,53,"1,182"
Andover,-,1,969,416,39,0,91,"1,515"
Andover,-,2,"1,074",686,52,0,133,"1,945"
Andover,-,3,"1,173",528,69,2,125,"1,897"
Andover,-,4,983,691,53,1,136,"1,864"
Andover,-,5,"1,093",684,65,0,103,"1,945"
Andover,-,6,966,660,68,0,122,"1,816"
Andover,-,7,810,512,38,1,103,"1,464"
Andover,-,7A,203,133,18,1,21,376
Andover,-,8,"1,030",600,73,2,137,"1,842"
Andover,-,9,991,681,54,1,142,"1,869"
Beverly,1,1,879,430,52,0,91,"1,452"
Beverly,1,2,"1,032",452,45,0,120,"1,649"
Beverly,2,1,"1,071",294,50,0,75,"1,490"
Beverly,2,2,"1,197",354,56,0,93,"1,700"
Beverly,3,1,862,277,45,0,61,"1,245"
Beverly,3,2,918,386,47,0,83,"1,434"
Beverly,4,1,700,277,23,0,66,"1,066"
Beverly,4,2,"1,433",417,45,0,99,"1,994"
Beverly,5,1,978,504,36,0,99,"1,617"
Beverly,5,2,983,506,47,0,105,"1,641"
Beverly,6,1,"1,094",539,52,0,120,"1,805"
Beverly,6,2,"1,046",664,41,0,129,"1,880"
Boxford,-,1,643,562,134,0,78,"1,417"
Boxford,-,2,712,632,171,1,81,"1,597"
Boxford,-,3,637,604,124,1,90,"1,456"
Danvers,-,1,912,553,63,1,103,"1,632"
Danvers,-,2,885,600,48,2,93,"1,628"
Danvers,-,3,691,530,45,0,90,"1,356"
Danvers,-,4,887,571,52,1,121,"1,632"
Danvers,-,5,831,647,55,1,118,"1,652"
Danvers,-,6,865,706,57,2,108,"1,738"
Danvers,-,7,883,601,61,2,90,"1,637"
Danvers,-,8,737,572,49,3,68,"1,429"
Dracut,-,1,629,521,51,0,63,"1,264"
Dracut,-,2,550,469,58,0,73,"1,150"
Dracut,-,3,671,632,69,0,95,"1,467"
Dracut,-,4,722,839,74,0,127,"1,762"
Dracut,-,5,655,648,53,0,94,"1,450"
Dracut,-,6,637,555,60,0,94,"1,346"
Dracut,-,6A,28,23,4,0,7,62
Dracut,-,7,642,523,53,0,78,"1,296"
Dracut,-,8,838,944,70,0,135,"1,987"
Dracut,-,9,715,601,58,0,118,"1,492"
Dunstable,-,1,886,658,68,0,125,"1,737"
Essex,-,1,"1,204",658,64,0,116,"2,042"
Georgetown,-,1,698,718,44,0,88,"1,548"
Georgetown,-,2,642,590,62,2,76,"1,372"
Georgetown,-,3,615,537,50,0,89,"1,291"
Gloucester,1,1,"1,113",410,29,1,106,"1,659"
Gloucester,1,2,855,343,40,0,69,"1,307"
Gloucester,2,1,652,238,25,1,43,959
Gloucester,2,2,701,202,23,1,62,989
Gloucester,3,1,741,302,33,1,59,"1,136"
Gloucester,3,2,811,341,28,0,64,"1,244"
Gloucester,4,1,928,389,37,1,74,"1,429"
Gloucester,4,2,"1,285",395,45,0,82,"1,807"
Gloucester,5,1,"1,084",504,41,1,91,"1,721"
Gloucester,5,2,"1,022",502,40,0,87,"1,651"
Groton,-,1,"1,231",607,73,0,107,"2,018"
Groton,-,2,"1,087",622,77,0,123,"1,909"
Groton,-,3,"1,090",618,64,0,138,"1,910"
Groveland,-,1,781,792,50,2,98,"1,723"
Groveland,-,2,765,837,58,2,107,"1,769"
Hamilton,-,1,877,526,54,0,80,"1,537"
Hamilton,-,2,797,541,43,1,94,"1,476"
Hamilton,-,3,629,363,37,1,76,"1,106"
Haverhill,1,1,412,182,18,0,29,641
Haverhill,1,2,650,284,34,0,52,"1,020"
Haverhill,1,3,485,292,26,2,49,854
Haverhill,2,1,571,303,43,0,46,963
Haverhill,2,2,531,433,47,0,57,"1,068"
Haverhill,2,3,419,167,27,1,35,649
Haverhill,3,1,395,88,17,0,17,517
Haverhill,3,2,476,208,34,0,39,757
Haverhill,3,3,510,263,32,0,46,851
Haverhill,4,1,615,538,44,1,86,"1,284"
Haverhill,4,2,718,704,39,0,86,"1,547"
Haverhill,4,3,668,538,47,2,79,"1,334"
Haverhill,5,1,709,410,45,0,86,"1,250"
Haverhill,5,2,687,597,43,0,78,"1,405"
Haverhill,5,3,725,751,42,1,81,"1,600"
Haverhill,6,1,583,399,40,0,60,"1,082"
Haverhill,6,2,607,442,34,2,71,"1,156"
Haverhill,6,3,743,506,32,0,70,"1,351"
Haverhill,7,1,703,479,59,0,102,"1,343"
Haverhill,7,2,607,424,49,1,59,"1,140"
Haverhill,7,3,703,637,67,1,96,"1,504"
Ipswich,-,1,"1,189",522,45,0,137,"1,893"
Ipswich,-,2,"1,178",682,58,0,173,"2,091"
Ipswich,-,3,938,717,66,0,147,"1,868"
Ipswich,-,4,"1,082",691,49,0,144,"1,966"
Lawrence,A,1,522,145,22,2,27,718
Lawrence,A,2,341,81,18,0,41,481
Lawrence,A,3,450,151,19,2,32,654
Lawrence,A,4,503,109,18,0,24,654
Lawrence,B,1,547,120,22,0,46,735
Lawrence,B,2,403,68,13,2,23,509
Lawrence,B,3,418,121,11,0,30,580
Lawrence,B,4,579,101,27,2,93,802
Lawrence,C,1,362,88,16,0,27,493
Lawrence,C,2,561,162,28,1,37,789
Lawrence,C,3,389,45,8,0,35,477
Lawrence,C,4,473,89,17,3,48,630
Lawrence,D,1,475,142,23,0,39,679
Lawrence,D,2,466,64,6,2,30,568
Lawrence,D,3,338,72,20,2,41,473
Lawrence,D,4,338,70,14,0,34,456
Lawrence,E,1,668,342,30,0,69,"1,109"
Lawrence,E,2,586,342,44,3,42,"1,017"
Lawrence,E,3,405,132,20,0,27,584
Lawrence,E,4,464,126,24,1,56,671
Lawrence,F,1,539,241,36,0,50,866
Lawrence,F,2,387,76,22,0,37,522
Lawrence,F,3,400,90,18,0,31,539
Lawrence,F,4,395,102,18,0,28,543
Lowell,1,1,395,135,45,0,50,625
Lowell,1,2,889,579,98,0,261,"1,827"
Lowell,1,3,830,438,78,0,169,"1,515"
Lowell,2,1,341,56,25,0,33,455
Lowell,2,2,408,112,44,0,76,640
Lowell,2,3,981,186,50,0,78,"1,295"
Lowell,3,1,451,177,35,0,69,732
Lowell,3,2,344,133,27,0,73,577
Lowell,3,3,349,140,38,0,56,583
Lowell,4,1,484,238,48,0,97,867
Lowell,4,2,322,113,29,0,59,523
Lowell,4,3,320,118,54,0,63,555
Lowell,5,1,464,244,51,0,55,814
Lowell,5,2,339,159,44,0,42,584
Lowell,5,3,429,281,78,0,56,844
Lowell,6,1,536,350,75,0,81,"1,042"
Lowell,6,2,633,365,74,0,92,"1,164"
Lowell,6,3,524,295,59,0,79,957
Lowell,7,1,363,117,43,0,47,570
Lowell,7,2,437,113,34,0,54,638
Lowell,7,3,238,92,22,0,49,401
Lowell,8,1,454,182,36,0,68,740
Lowell,8,2,420,210,47,0,82,759
Lowell,8,3,733,385,67,0,169,"1,354"
Lowell,9,1,422,192,42,0,47,703
Lowell,9,2,605,299,61,0,58,"1,023"
Lowell,9,3,465,237,44,0,47,793
Lowell,10,1,447,202,51,0,61,761
Lowell,10,2,306,108,32,0,32,478
Lowell,10,3,232,95,35,0,24,386
Lowell,11,1,531,225,60,0,44,860
Lowell,11,2,510,328,68,0,80,986
Lowell,11,3,558,276,60,0,79,973
Manchester-by-the-Sea,-,1,"1,931",955,65,1,224,"3,176"
Merrimac,-,1,844,696,63,0,110,"1,713"
Merrimac,-,2,817,760,46,1,91,"1,715"
Methuen,-,1,816,532,45,0,87,"1,480"
Methuen,-,2,536,133,15,1,31,716
Methuen,-,3,754,516,42,1,59,"1,372"
Methuen,-,4,788,491,43,2,74,"1,398"
Methuen,-,5,684,390,39,2,59,"1,174"
Methuen,-,6,815,470,45,3,73,"1,406"
Methuen,-,7,796,650,41,1,102,"1,590"
Methuen,-,8,908,927,56,3,152,"2,046"
Methuen,-,9,758,760,49,0,101,"1,668"
Methuen,-,10,846,490,43,1,67,"1,447"
Methuen,-,11,873,839,63,0,146,"1,921"
Methuen,-,12,727,742,45,1,84,"1,599"
Middleton,-,1,917,953,90,0,144,"2,104"
Middleton,-,2,934,"1,053",83,0,133,"2,203"
Newbury,-,1,"1,162",746,46,0,109,"2,063"
Newbury,-,2,"1,039",854,59,1,128,"2,081"
Newburyport,1,1,904,335,25,0,100,"1,364"
Newburyport,2,1,"1,242",371,36,0,82,"1,731"
Newburyport,3,1,"1,106",448,30,0,99,"1,683"
Newburyport,4,1,"1,236",543,44,0,114,"1,937"
Newburyport,5,1,783,588,27,0,120,"1,518"
Newburyport,6,1,896,598,18,0,113,"1,625"
Newburyport,1,P,241,158,14,0,26,439
"N. Andover",-,1,869,485,51,0,86,"1,491"
"N. Andover",-,2,939,573,84,0,135,"1,731"
"N. Andover",-,3,865,535,49,0,93,"1,542"
"N. Andover",-,4,"1,047",726,53,0,120,"1,946"
"N. Andover",-,5,667,415,42,0,77,"1,201"
"N. Andover",-,6,844,824,75,0,131,"1,874"
"N. Andover",-,7,965,641,40,0,96,"1,742"
"N. Andover",-,8,893,778,82,0,108,"1,861"
"N. Reading",-,1,887,831,36,0,167,"1,921"
"N. Reading",-,2,881,664,46,0,115,"1,706"
"N. Reading",-,3,943,751,64,0,144,"1,902"
"N. Reading",-,4,"1,034",733,62,0,155,"1,984"
Peabody,1,1,765,411,41,3,76,"1,296"
Peabody,1,2,805,520,34,0,104,"1,463"
Peabody,1,3,868,553,36,3,100,"1,560"
Peabody,2,1,577,200,32,1,33,843
Peabody,2,2,563,214,20,2,40,839
Peabody,2,3,647,376,36,0,58,"1,117"
Peabody,3,1,441,164,14,2,39,660
Peabody,3,2,611,294,21,0,48,974
Peabody,3,3,723,356,39,3,57,"1,178"
Peabody,4,1,735,396,34,0,77,"1,242"
Peabody,4,2,689,404,29,0,53,"1,175"
Peabody,4,3,443,255,15,0,42,755
Peabody,4,3A,781,401,11,2,81,"1,276"
Peabody,5,1,726,605,40,1,77,"1,449"
Peabody,5,2,556,441,38,0,65,"1,100"
Peabody,5,3,738,481,34,0,76,"1,329"
Peabody,6,1,719,660,41,2,103,"1,525"
Peabody,6,2,686,597,34,0,104,"1,421"
Peabody,6,3,702,638,34,1,86,"1,461"
Pepperell,-,1,790,769,85,0,92,"1,736"
Pepperell,-,2,963,803,66,4,97,"1,933"
Pepperell,-,3,904,790,63,0,93,"1,850"
Rockport,-,1,714,283,20,0,53,"1,070"
Rockport,-,2,"1,045",350,32,1,67,"1,495"
Rockport,-,3,"1,197",461,35,0,102,"1,795"
Rowley,-,1,"1,491","1,502",88,1,189,"3,271"
Salem,1,1,"1,169",314,49,2,122,"1,656"
Salem,1,2,598,58,16,0,34,706
Salem,2,1,"1,182",234,63,1,82,"1,562"
Salem,2,2,"1,343",225,54,2,104,"1,728"
Salem,3,1,843,225,28,0,82,"1,178"
Salem,3,2,812,335,23,1,48,"1,219"
Salem,4,1,856,333,48,1,73,"1,311"
Salem,4,2,847,442,26,0,70,"1,385"
Salem,5,1,"1,023",265,35,0,71,"1,394"
Salem,5,2,933,158,34,0,47,"1,172"
Salem,6,1,"1,033",314,56,1,89,"1,493"
Salem,6,2,968,272,37,2,77,"1,356"
Salem,7,1,"1,044",298,44,1,87,"1,474"
Salem,7,2,849,360,27,2,89,"1,327"
Salisbury,-,1,764,594,41,1,68,"1,468"
Salisbury,-,2,640,586,36,0,75,"1,337"
Salisbury,-,3,493,617,29,0,48,"1,187"
Tewksbury,-,1,784,655,55,1,118,"1,613"
Tewksbury,-,1A,816,763,70,1,160,"1,810"
Tewksbury,-,2,850,677,57,2,101,"1,687"
Tewksbury,-,2A,739,614,56,3,98,"1,510"
Tewksbury,-,3,949,836,62,1,135,"1,983"
Tewksbury,-,3A,998,860,53,0,156,"2,067"
Tewksbury,-,4,899,751,64,3,127,"1,844"
Tewksbury,-,4A,943,671,69,2,138,"1,823"
Topsfield,-,1,"1,749","1,389",177,0,299,"3,614"
Tyngsborough,-,1,604,576,40,0,83,"1,303"
Tyngsborough,-,2,622,581,41,0,87,"1,331"
Tyngsborough,-,3,693,526,53,0,97,"1,369"
Tyngsborough,-,4,695,621,44,0,126,"1,486"
Wenham,-,1,"1,135",782,73,0,142,"2,132"
"W. Newbury",-,1,"1,314","1,123",63,0,145,"2,645"
Westford,-,1,"1,177",729,65,2,139,"2,112"
Westford,-,2,"1,218",628,66,2,127,"2,041"
Westford,-,3,"1,141",701,61,1,132,"2,036"
Westford,-,4,"1,190",596,60,1,134,"1,981"
Westford,-,5,"1,113",613,61,1,125,"1,913"
Westford,-,6,979,620,67,1,114,"1,781"
Wilmington,-,1,955,686,54,1,150,"1,846"
Wilmington,-,2,887,703,53,1,176,"1,820"
Wilmington,-,3,861,750,50,1,123,"1,785"
Wilmington,-,4,966,817,53,3,144,"1,983"
Wilmington,-,5,"1,023",731,57,4,143,"1,958"
Wilmington,-,6,943,770,47,1,141,"1,902"
TOTALS,,,"200,627","121,144","12,129",161,"22,979","357,040"
