City/Town,Ward,Pct,"Christopher A. Iannella, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Braintree,-,5B,"1,113",18,468,"1,599"
Braintree,-,6A,"1,123",20,516,"1,659"
Braintree,-,6B,"1,123",19,445,"1,587"
Brockton,1,A,661,1,87,749
Brockton,1,B,891,4,245,"1,140"
Brockton,1,C,781,0,193,974
Brockton,1,D,"1,108",0,381,"1,489"
Brockton,2,A,504,0,72,576
Brockton,2,B,497,0,68,565
Brockton,2,C,456,0,69,525
Brockton,2,D,694,2,136,832
Brockton,3,A,722,1,140,863
Brockton,3,B,631,1,106,738
Brockton,3,C,"1,045",0,282,"1,327"
Brockton,3,D,976,2,302,"1,280"
Brockton,4,A,429,1,73,503
Brockton,4,B,817,4,144,965
Brockton,4,C,842,4,216,"1,062"
Brockton,4,D,814,6,239,"1,059"
Brockton,5,A,633,2,108,743
Brockton,5,B,904,7,210,"1,121"
Brockton,5,C,823,2,147,972
Brockton,5,D,928,5,235,"1,168"
Brockton,6,A,669,5,125,799
Brockton,6,B,"1,010",1,258,"1,269"
Brockton,6,C,860,7,185,"1,052"
Brockton,6,D,955,3,288,"1,246"
Brockton,7,A,601,1,92,694
Brockton,7,B,887,0,153,"1,040"
Brockton,7,C,750,2,143,895
Brockton,7,D,835,0,209,"1,044"
Cohasset,-,1,"1,439",10,668,"2,117"
Cohasset,-,2,"1,632",11,706,"2,349"
Duxbury,-,1,"1,080",26,491,"1,597"
Duxbury,-,2,989,24,479,"1,492"
Duxbury,-,3,958,18,404,"1,380"
Duxbury,-,4,938,20,422,"1,380"
Duxbury,-,5,"1,008",23,400,"1,431"
Duxbury,-,6,851,26,386,"1,263"
"E. Bridgewater",-,1,"1,029",0,575,"1,604"
"E. Bridgewater",-,2,"1,060",7,520,"1,587"
"E. Bridgewater",-,3,"1,169",4,630,"1,803"
Easton,-,1,661,9,339,"1,009"
Easton,-,2,"1,337",17,667,"2,021"
Halifax,-,1,"1,269",45,606,"1,920"
Halifax,-,2,"1,216",28,531,"1,775"
Hanover,-,1,"1,217",16,676,"1,909"
Hanover,-,2,"1,264",9,661,"1,934"
Hanover,-,3,"1,237",13,623,"1,873"
Hanover,-,4,"1,229",15,639,"1,883"
Hanson,-,1,"1,197",5,570,"1,772"
Hanson,-,2,"1,254",8,562,"1,824"
Hanson,-,3,"1,097",5,506,"1,608"
Hingham,-,1,"1,350",32,525,"1,907"
Hingham,-,2,"1,532",23,592,"2,147"
Hingham,-,3,"1,471",32,587,"2,090"
Hingham,-,4,"1,377",28,602,"2,007"
Hingham,-,5,985,25,447,"1,457"
Hingham,-,5A,715,3,289,"1,007"
Hingham,-,6,"1,363",30,589,"1,982"
Holbrook,-,1,814,9,276,"1,099"
Holbrook,-,2,839,21,345,"1,205"
Holbrook,-,3,807,10,312,"1,129"
Holbrook,-,4,823,16,243,"1,082"
Hull,-,1,"1,358",7,493,"1,858"
Hull,-,2,"1,122",5,468,"1,595"
Hull,-,3,"1,474",8,547,"2,029"
Marshfield,-,1,"1,333",0,580,"1,913"
Marshfield,-,2,"1,377",0,624,"2,001"
Marshfield,-,3,"1,333",0,542,"1,875"
Marshfield,-,4,"1,219",0,584,"1,803"
Marshfield,-,5,"1,164",0,504,"1,668"
Marshfield,-,6,"1,463",0,704,"2,167"
Marshfield,-,7,"1,353",0,652,"2,005"
Norwell,-,1,"1,294",22,589,"1,905"
Norwell,-,2,"1,347",36,672,"2,055"
Norwell,-,3,"1,365",22,596,"1,983"
Plympton,-,1,"1,039",8,494,"1,541"
Quincy,1,1,816,21,249,"1,086"
Quincy,1,2,590,8,230,828
Quincy,1,3,933,17,257,"1,207"
Quincy,1,4,"1,141",28,389,"1,558"
Quincy,1,5,"1,186",45,400,"1,631"
Quincy,2,1,836,20,249,"1,105"
Quincy,2,2,766,18,168,952
Quincy,2,3,354,7,89,450
Quincy,2,3A,198,2,71,271
Quincy,2,4,714,14,177,905
Quincy,2,5,921,20,251,"1,192"
Quincy,3,1,"1,124",17,280,"1,421"
Quincy,3,2,892,19,241,"1,152"
Quincy,3,3,601,13,125,739
Quincy,3,4,"1,006",16,299,"1,321"
Quincy,3,5,583,7,137,727
Quincy,4,1,924,18,205,"1,147"
Quincy,4,2,"1,051",21,305,"1,377"
Quincy,4,3,"1,050",21,335,"1,406"
Quincy,4,4,741,10,159,910
Quincy,4,5,843,15,190,"1,048"
Quincy,5,1,863,15,197,"1,075"
Quincy,5,2,820,18,197,"1,035"
Quincy,5,3,"1,002",18,282,"1,302"
Quincy,5,4,941,15,273,"1,229"
Quincy,5,5,788,16,277,"1,081"
Quincy,6,1,784,20,182,986
Quincy,6,2,594,10,160,764
Quincy,6,3,"1,122",29,334,"1,485"
Quincy,6,4,708,12,213,933
Quincy,6,5,"1,293",28,455,"1,776"
Rockland,-,1,"1,008",17,376,"1,401"
Rockland,-,2,"1,074",25,392,"1,491"
Rockland,-,3,704,24,280,"1,008"
Rockland,-,4,922,17,272,"1,211"
Rockland,-,5,846,20,233,"1,099"
Rockland,-,6,"1,030",28,392,"1,450"
Scituate,-,1,"1,258",26,550,"1,834"
Scituate,-,2,"1,230",22,557,"1,809"
Scituate,-,3,"1,255",21,477,"1,753"
Scituate,-,4,"1,244",17,578,"1,839"
Scituate,-,5,"1,226",17,473,"1,716"
Scituate,-,6,"1,217",21,471,"1,709"
Weymouth,-,1,974,17,336,"1,327"
Weymouth,-,2,"1,064",25,459,"1,548"
Weymouth,-,3,"1,125",14,411,"1,550"
Weymouth,-,4,990,14,403,"1,407"
Weymouth,-,5,826,11,263,"1,100"
Weymouth,-,6,"1,145",10,367,"1,522"
Weymouth,-,7,942,12,320,"1,274"
Weymouth,-,8,"1,044",22,338,"1,404"
Weymouth,-,9,"1,083",23,432,"1,538"
Weymouth,-,10,746,9,236,991
Weymouth,-,11,969,12,363,"1,344"
Weymouth,-,12,"1,046",16,411,"1,473"
Weymouth,-,13,716,10,236,962
Weymouth,-,14,884,17,258,"1,159"
Weymouth,-,15,"1,083",15,420,"1,518"
Weymouth,-,16,"1,156",33,461,"1,650"
Weymouth,-,17,798,20,266,"1,084"
Weymouth,-,18,"1,385",33,612,"2,030"
Whitman,-,1,"1,392",15,473,"1,880"
Whitman,-,2,"1,102",20,472,"1,594"
Whitman,-,3,"1,206",18,473,"1,697"
Whitman,-,4,"1,172",6,428,"1,606"
TOTALS,,,"250,520","3,405","74,422","328,347"
