City/Town,Ward,Pct,"Mary E. Hurley","Mike Franco","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
"S. Hadley",-,C,"1,041",478,5,156,"1,680"
"S. Hadley",-,D,750,236,0,85,"1,071"
"S. Hadley",-,E,"1,108",498,2,152,"1,760"
Southampton,-,1,"1,868","1,074",0,322,"3,264"
Southwick,-,1,704,683,9,195,"1,591"
Southwick,-,2,648,495,7,126,"1,276"
Southwick,-,3,735,530,10,169,"1,444"
Springfield,1,A,268,31,1,39,339
Springfield,1,B,403,57,2,34,496
Springfield,1,C,215,55,3,27,300
Springfield,1,D,343,44,3,41,431
Springfield,1,E,390,64,0,31,485
Springfield,1,F,310,43,2,47,402
Springfield,1,G,349,57,1,31,438
Springfield,1,H,351,41,3,32,427
Springfield,2,A,321,72,4,18,415
Springfield,2,B,630,159,0,48,837
Springfield,2,C,369,77,2,19,467
Springfield,2,D,524,129,1,34,688
Springfield,2,E,526,145,1,33,705
Springfield,2,F,495,129,2,46,672
Springfield,2,G,598,194,3,42,837
Springfield,2,H,515,144,3,32,694
Springfield,3,A,276,52,2,21,351
Springfield,3,B,273,35,1,23,332
Springfield,3,C,198,32,2,25,257
Springfield,3,D,281,44,2,21,348
Springfield,3,E,237,33,1,24,295
Springfield,3,F,261,38,0,32,331
Springfield,3,G,201,37,0,20,258
Springfield,3,H,297,61,2,24,384
Springfield,4,A,483,66,5,28,582
Springfield,4,B,419,53,7,32,511
Springfield,4,C,334,27,1,23,385
Springfield,4,D,354,26,0,23,403
Springfield,4,E,304,33,1,11,349
Springfield,4,F,142,12,1,13,168
Springfield,4,G,481,60,2,35,578
Springfield,4,H,397,42,2,30,471
Springfield,5,A,458,43,4,33,538
Springfield,5,B,564,109,3,33,709
Springfield,5,C,424,119,4,29,576
Springfield,5,D,626,219,3,66,914
Springfield,5,E,653,115,2,38,808
Springfield,5,F,632,145,2,62,841
Springfield,5,G,678,269,5,61,"1,013"
Springfield,5,H,541,193,6,36,776
Springfield,6,A,401,72,4,29,506
Springfield,6,B,593,130,0,70,793
Springfield,6,C,452,131,10,43,636
Springfield,6,D,660,236,4,60,960
Springfield,6,E,334,60,2,33,429
Springfield,6,F,416,80,2,25,523
Springfield,6,G,472,106,0,29,607
Springfield,6,H,609,204,0,40,853
Springfield,7,A,602,194,2,55,853
Springfield,7,B,832,220,5,52,"1,109"
Springfield,7,C,739,229,2,77,"1,047"
Springfield,7,D,624,214,4,77,919
Springfield,7,E,445,123,3,36,607
Springfield,7,F,727,226,4,66,"1,023"
