City/Town,Ward,Pct,"Joseph C. Ferreira","Thomas F. Keyes","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Acushnet,-,1,688,503,0,78,"1,269"
Acushnet,-,2,768,663,1,92,"1,524"
Acushnet,-,3,780,622,0,102,"1,504"
Aquinnah,-,1,239,19,0,9,267
Barnstable,-,1,"1,166",910,0,93,"2,169"
Barnstable,-,2,914,915,1,78,"1,908"
Barnstable,-,3,761,527,0,61,"1,349"
Barnstable,-,4,861,842,2,73,"1,778"
Barnstable,-,5,876,"1,067",0,87,"2,030"
Barnstable,-,6,944,878,2,78,"1,902"
Barnstable,-,7,"1,102","1,003",1,79,"2,185"
Barnstable,-,8,726,444,1,48,"1,219"
Barnstable,-,9,468,280,1,31,780
Barnstable,-,10,775,834,0,69,"1,678"
Barnstable,-,11,986,"1,001",0,79,"2,066"
Barnstable,-,12,902,937,1,67,"1,907"
Barnstable,-,13,718,529,1,63,"1,311"
Berkley,-,1,796,689,0,132,"1,617"
Berkley,-,2,618,578,2,75,"1,273"
Bourne,-,1,594,670,0,63,"1,327"
Bourne,-,2,666,867,0,89,"1,622"
Bourne,-,3,394,436,0,49,879
Bourne,-,4,768,761,0,84,"1,613"
Bourne,-,5,741,690,0,80,"1,511"
Bourne,-,6,562,482,1,60,"1,105"
Bourne,-,7,600,640,0,75,"1,315"
Brewster,-,1,"1,207",768,1,77,"2,053"
Brewster,-,2,"1,189",707,1,102,"1,999"
Brewster,-,3,"1,106",757,0,88,"1,951"
Bridgewater,-,1,"1,055",884,0,233,"2,172"
Bridgewater,-,2,881,781,1,159,"1,822"
Bridgewater,-,3,"1,005",982,0,209,"2,196"
Bridgewater,-,4,495,368,0,81,944
Bridgewater,-,5,326,212,0,53,591
Bridgewater,-,6,748,426,0,101,"1,275"
Bridgewater,-,7,860,625,0,131,"1,616"
Carver,-,1,770,781,0,98,"1,649"
Carver,-,2,770,716,0,98,"1,584"
Carver,-,3,870,873,0,93,"1,836"
Chatham,-,1,"2,133","1,802",2,177,"4,114"
Chilmark,-,1,596,104,0,33,733
Dartmouth,-,1,828,699,0,85,"1,612"
Dartmouth,-,2,577,391,0,55,"1,023"
Dartmouth,-,3,146,13,0,9,168
Dartmouth,-,4,931,470,0,85,"1,486"
Dartmouth,-,5,"1,025",564,0,103,"1,692"
Dartmouth,-,6,748,391,0,66,"1,205"
Dartmouth,-,7,898,581,0,131,"1,610"
Dartmouth,-,8,"1,296",606,1,139,"2,042"
Dartmouth,-,9,"1,259",740,0,129,"2,128"
Dennis,-,1,935,842,0,76,"1,853"
Dennis,-,2,964,799,0,92,"1,855"
Dennis,-,3,810,555,0,66,"1,431"
Dennis,-,4,880,728,1,66,"1,675"
Dennis,-,5,903,583,0,75,"1,561"
Dighton,-,1,794,628,0,105,"1,527"
Dighton,-,2,940,698,0,105,"1,743"
Eastham,-,1,"2,096","1,072",3,136,"3,307"
Edgartown,-,1,"1,594",635,0,185,"2,414"
Fairhaven,-,1,787,431,1,71,"1,290"
Fairhaven,-,2,709,400,0,71,"1,180"
Fairhaven,-,3,543,328,2,56,929
Fairhaven,-,4,692,397,0,76,"1,165"
Fairhaven,-,5,690,534,1,94,"1,319"
Fairhaven,-,6,655,488,3,88,"1,234"
"Fall River",1,A,661,345,0,79,"1,085"
"Fall River",1,B,430,240,1,58,729
"Fall River",1,C,447,244,0,71,762
"Fall River",2,A,360,129,0,37,526
"Fall River",2,B,333,130,1,26,490
"Fall River",2,C,385,158,0,61,604
"Fall River",3,A,549,223,0,46,818
"Fall River",3,B,477,196,0,45,718
"Fall River",3,C,525,229,0,47,801
"Fall River",4,A,364,142,0,36,542
"Fall River",4,B,315,105,1,33,454
"Fall River",4,C,385,99,0,60,544
"Fall River",5,A,251,76,0,24,351
"Fall River",5,B,210,65,0,22,297
"Fall River",5,B1,45,17,0,6,68
"Fall River",5,C,314,115,0,46,475
"Fall River",6,A,553,289,0,81,923
"Fall River",6,B,432,136,0,49,617
"Fall River",6,C,493,202,0,52,747
"Fall River",6,C1,9,2,0,1,12
"Fall River",7,A,565,219,1,66,851
"Fall River",7,B,400,144,1,29,574
"Fall River",7,C,480,189,0,65,734
"Fall River",8,A,482,163,0,56,701
"Fall River",8,B,714,337,0,97,"1,148"
"Fall River",8,C,799,350,0,110,"1,259"
"Fall River",9,A,942,432,1,139,"1,514"
"Fall River",9,B,605,278,0,111,994
"Fall River",9,C,636,271,0,103,"1,010"
Falmouth,-,1,"1,597",509,0,122,"2,228"
Falmouth,-,2,"1,181",622,0,110,"1,913"
Falmouth,-,3,"1,043",712,0,68,"1,823"
Falmouth,-,4,"1,065",788,0,80,"1,933"
Falmouth,-,5,"1,258",869,2,115,"2,244"
Falmouth,-,6,"1,165",754,0,118,"2,037"
Falmouth,-,7,959,790,2,96,"1,847"
Falmouth,-,8,"1,021",793,0,87,"1,901"
Falmouth,-,9,974,682,1,63,"1,720"
Freetown,-,1,660,556,1,57,"1,274"
Freetown,-,2,714,560,2,87,"1,363"
Freetown,-,3,641,586,0,89,"1,316"
Gosnold,-,1,32,20,0,5,57
Harwich,-,1,"1,066",832,0,85,"1,983"
Harwich,-,2,"1,061",816,3,74,"1,954"
Harwich,-,3,"1,038",812,3,80,"1,933"
Harwich,-,4,968,651,1,76,"1,696"
Kingston,-,1,835,596,0,99,"1,530"
Kingston,-,2,872,797,0,99,"1,768"
Kingston,-,3,842,777,1,124,"1,744"
Kingston,-,4,766,605,0,97,"1,468"
Lakeville,-,1,787,833,2,105,"1,727"
Lakeville,-,2,758,892,0,115,"1,765"
Lakeville,-,3,904,925,1,124,"1,954"
Marion,-,1,"1,568","1,061",2,181,"2,812"
Mashpee,-,1,"1,021",785,0,83,"1,889"
Mashpee,-,2,729,660,0,64,"1,453"
Mashpee,-,3,621,566,2,31,"1,220"
Mashpee,-,4,773,558,0,53,"1,384"
Mashpee,-,5,840,912,0,100,"1,852"
Mattapoisett,-,1,"2,067","1,492",1,237,"3,797"
Middleborough,-,1,"1,069","1,174",1,173,"2,417"
Middleborough,-,2,771,629,1,119,"1,520"
Middleborough,-,3,810,901,0,106,"1,817"
Middleborough,-,4,645,581,0,88,"1,314"
Middleborough,-,5,781,933,0,140,"1,854"
Middleborough,-,6,646,781,0,100,"1,527"
Nantucket,-,1,"2,806","1,231",2,166,"4,205"
"New Bedford",1,A,610,321,1,55,987
"New Bedford",1,B,547,269,0,48,864
"New Bedford",1,C,532,285,1,56,874
"New Bedford",1,D,571,323,1,62,957
"New Bedford",1,E,548,239,0,36,823
"New Bedford",1,F,578,321,0,59,958
"New Bedford",2,A,144,39,0,4,187
"New Bedford",2,B,333,123,0,17,473
"New Bedford",2,C,258,99,0,22,379
"New Bedford",2,D,339,187,0,31,557
"New Bedford",2,E,500,211,1,46,758
"New Bedford",2,F,439,178,1,45,663
"New Bedford",3,A,241,66,1,22,330
"New Bedford",3,B,283,85,0,16,384
"New Bedford",3,C,280,96,1,21,398
"New Bedford",3,D,375,134,0,38,547
"New Bedford",3,E,614,243,1,40,898
"New Bedford",3,F,576,222,1,43,842
"New Bedford",4,A,341,36,0,24,401
"New Bedford",4,B,558,133,1,38,730
"New Bedford",4,C,570,108,1,56,735
"New Bedford",4,D,463,120,2,25,610
"New Bedford",4,E,404,154,2,37,597
"New Bedford",4,F,472,99,0,30,601
"New Bedford",5,A,345,102,0,31,478
"New Bedford",5,B,613,150,2,59,824
"New Bedford",5,C,463,186,1,49,699
"New Bedford",5,D,702,193,1,57,953
"New Bedford",5,E,723,314,1,86,"1,124"
"New Bedford",5,F,751,261,0,86,"1,098"
"New Bedford",6,A,523,239,0,54,816
"New Bedford",6,B,478,190,0,53,721
"New Bedford",6,C,227,59,0,15,301
"New Bedford",6,D,173,49,0,24,246
"New Bedford",6,E,283,93,0,26,402
"New Bedford",6,F,396,100,0,30,526
"Oak Bluffs",-,1,"1,863",571,0,136,"2,570"
Orleans,-,1,"2,400","1,505",2,198,"4,105"
Pembroke,-,1,947,818,0,124,"1,889"
Pembroke,-,2,831,734,4,104,"1,673"
Pembroke,-,3,909,761,0,102,"1,772"
Pembroke,-,4,883,803,2,114,"1,802"
Pembroke,-,5,816,782,0,98,"1,696"
Plymouth,-,1,808,497,0,81,"1,386"
Plymouth,-,2,"1,035",756,1,114,"1,906"
Plymouth,-,3,836,496,0,95,"1,427"
Plymouth,-,4,890,639,1,98,"1,628"
Plymouth,-,5,923,924,0,107,"1,954"
Plymouth,-,6,"1,039",743,4,112,"1,898"
Plymouth,-,7,896,773,0,98,"1,767"
Plymouth,-,8,915,968,0,91,"1,974"
Plymouth,-,9,740,677,1,64,"1,482"
Plymouth,-,10,643,519,1,61,"1,224"
Plymouth,-,11,991,935,0,112,"2,038"
Plymouth,-,12,923,890,0,99,"1,912"
Plymouth,-,13,942,779,1,102,"1,824"
Plymouth,-,14,801,974,3,80,"1,858"
Plymouth,-,15,"1,980","1,662",1,216,"3,859"
Provincetown,-,1,"1,909",161,0,70,"2,140"
Raynham,-,1,745,535,0,115,"1,395"
Raynham,-,1A,93,61,0,29,183
Raynham,-,2,615,551,0,118,"1,284"
Raynham,-,2A,112,130,0,26,268
Raynham,-,3,822,716,0,131,"1,669"
Raynham,-,4,726,580,0,112,"1,418"
Rochester,-,1,"1,242","1,400",0,178,"2,820"
Sandwich,-,1,"1,064",930,0,88,"2,082"
Sandwich,-,2,"1,006",967,0,80,"2,053"
Sandwich,-,3,809,881,0,74,"1,764"
Sandwich,-,4,814,956,0,58,"1,828"
Sandwich,-,5,724,881,0,70,"1,675"
Sandwich,-,6,628,930,0,71,"1,629"
Somerset,-,1,962,543,0,61,"1,566"
Somerset,-,2,997,556,0,76,"1,629"
Somerset,-,3,"1,027",524,0,71,"1,622"
Somerset,-,4,902,464,0,54,"1,420"
Somerset,-,5,794,465,0,62,"1,321"
Swansea,-,1,793,544,1,58,"1,396"
