City/Town,Ward,Pct,"Terrence W. Kennedy","Vincent Lawrence Dixon","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Boston,1,1,669,72,4,123,868
Boston,1,2,472,34,3,72,581
Boston,1,3,"1,086",107,7,149,"1,349"
Boston,1,4,417,38,3,76,534
Boston,1,5,527,56,2,101,686
Boston,1,6,437,51,6,88,582
Boston,1,7,451,54,4,82,591
Boston,1,8,615,57,7,100,779
Boston,1,9,479,43,6,66,594
Boston,1,10,293,24,2,51,370
Boston,1,11,595,94,6,156,851
Boston,1,12,573,86,9,158,826
Boston,1,13,716,88,9,183,996
Boston,1,14,301,54,6,89,450
Boston,2,1,"1,012",148,10,288,"1,458"
Boston,2,2,"1,240",131,9,245,"1,625"
Boston,2,3,761,95,7,184,"1,047"
Boston,2,4,689,73,5,134,901
Boston,2,5,820,100,8,188,"1,116"
Boston,2,6,934,108,5,235,"1,282"
Boston,2,7,806,92,4,177,"1,079"
Boston,3,1,"1,372",206,12,357,"1,947"
Boston,3,2,706,92,7,166,971
Boston,3,3,840,97,8,168,"1,113"
Boston,3,4,954,139,8,180,"1,281"
Boston,3,5,"1,509",194,9,260,"1,972"
Boston,3,6,"1,999",268,10,396,"2,673"
Boston,3,8,"2,192",220,9,589,"3,010"
Boston,5,1,"1,790",173,13,492,"2,468"
Boston,5,3,842,102,8,197,"1,149"
Boston,5,4,"1,133",106,6,165,"1,410"
Boston,5,5,352,36,4,99,491
Boston,5,11,577,68,5,146,796
Boston,21,4,512,32,0,57,601
Boston,21,6,543,42,1,73,659
Boston,21,7,655,43,4,80,782
Boston,22,1,863,70,5,125,"1,063"
Boston,22,2,"1,107",84,6,167,"1,364"
Boston,22,5,500,44,2,83,629
Cambridge,1,1,"1,369",111,3,149,"1,632"
Cambridge,1,2,"1,051",85,6,148,"1,290"
Cambridge,1,3,"1,206",85,3,199,"1,493"
Cambridge,2,1,"1,036",49,2,117,"1,204"
Cambridge,2,2,378,17,1,55,451
Cambridge,2,3,636,56,2,84,778
Cambridge,3,1,"1,144",75,3,139,"1,361"
Cambridge,3,2,801,32,0,73,906
Cambridge,3,2A,567,27,1,65,660
Cambridge,3,3,"1,126",50,1,121,"1,298"
Cambridge,4,1,"1,414",55,4,138,"1,611"
Cambridge,4,2,"1,498",80,2,152,"1,732"
Cambridge,4,3,471,26,0,48,545
Cambridge,5,1,"1,353",56,3,140,"1,552"
Cambridge,5,2,"1,407",65,1,165,"1,638"
Cambridge,5,3,"1,049",56,2,127,"1,234"
Cambridge,6,1,"1,524",60,2,150,"1,736"
Cambridge,6,2,"1,335",82,2,122,"1,541"
Cambridge,6,3,"1,473",90,5,148,"1,716"
Cambridge,7,1,"1,472",69,3,113,"1,657"
Cambridge,7,2,763,48,4,76,891
Cambridge,7,3,435,20,3,35,493
Cambridge,8,1,"1,006",62,0,85,"1,153"
Cambridge,8,2,"1,030",49,3,132,"1,214"
Cambridge,8,3,271,12,1,29,313
Cambridge,9,1,"1,687",114,1,215,"2,017"
Cambridge,9,2,"1,722",136,5,165,"2,028"
Cambridge,9,3,"1,413",100,2,142,"1,657"
Cambridge,10,1,"1,696",84,1,135,"1,916"
Cambridge,10,2,"1,642",92,2,186,"1,922"
Cambridge,10,3,"1,351",63,3,113,"1,530"
Cambridge,11,1,"1,276",56,0,102,"1,434"
Cambridge,11,2,"1,758",108,1,238,"2,105"
Cambridge,11,3,"1,444",94,1,143,"1,682"
Chelsea,1,1,297,25,0,52,374
Chelsea,1,2,173,13,0,28,214
Chelsea,1,3,239,23,0,41,303
Chelsea,1,4,258,8,0,25,291
Chelsea,2,1,670,93,0,190,953
Chelsea,2,2,419,34,0,75,528
Chelsea,2,3,167,17,0,21,205
Chelsea,2,4,257,19,0,64,340
Chelsea,3,1,258,21,0,47,326
Chelsea,3,2,391,30,0,64,485
Chelsea,3,3,302,29,0,56,387
Chelsea,3,4,324,34,0,68,426
Chelsea,4,1,329,41,0,69,439
Chelsea,4,2,373,58,0,112,543
Chelsea,4,3,376,62,0,98,536
Chelsea,4,4,271,34,0,72,377
Everett,1,1,570,76,6,124,776
Everett,1,2,471,69,6,89,635
Everett,2,1,657,76,9,102,844
Everett,2,2,556,63,9,100,728
Everett,3,1,762,93,5,146,"1,006"
Everett,3,2,695,70,5,121,891
Everett,4,1,780,106,10,131,"1,027"
Everett,4,2,661,69,6,98,834
Everett,5,1,677,83,7,102,869
Everett,5,2,695,68,6,98,867
Everett,6,1,738,95,5,114,952
Everett,6,2,748,73,2,111,934
Lynn,1,1,979,247,14,329,"1,569"
Lynn,1,2,"1,071",286,5,286,"1,648"
Lynn,1,3,944,194,8,183,"1,329"
Lynn,1,4,873,184,9,163,"1,229"
Lynn,2,1,"1,074",239,5,242,"1,560"
Lynn,2,2,660,95,2,81,838
Lynn,2,3,482,55,1,45,583
Lynn,2,4,474,52,0,27,553
Lynn,3,1,769,134,5,142,"1,050"
Lynn,3,2,664,106,4,78,852
Lynn,3,3,712,121,8,93,934
Lynn,3,4,820,125,102,5,"1,052"
Lynn,4,1,314,12,1,27,354
Lynn,4,2,407,35,2,27,471
Lynn,4,3,557,69,0,60,686
Lynn,4,4,698,104,6,110,918
Lynn,5,1,711,101,3,120,935
Lynn,5,2,320,25,0,26,371
Lynn,5,3,398,38,3,45,484
Lynn,5,4,771,105,5,119,"1,000"
Lynn,6,1,502,64,5,73,644
Lynn,6,2,333,37,6,37,413
Lynn,6,3,509,63,4,54,630
Lynn,6,4,405,51,6,59,521
Lynn,7,1,983,186,7,163,"1,339"
Lynn,7,2,863,127,3,151,"1,144"
Lynn,7,3,561,87,7,87,742
Lynn,7,4,640,100,3,113,856
Lynnfield,-,1,"1,042",317,0,273,"1,632"
Lynnfield,-,2,"1,091",303,0,248,"1,642"
Lynnfield,-,3,957,254,0,228,"1,439"
Lynnfield,-,4,"1,064",333,0,311,"1,708"
Malden,1,1,688,82,4,70,844
Malden,1,2,861,153,5,122,"1,141"
Malden,2,1,707,120,4,106,937
Malden,2,2,782,164,4,137,"1,087"
Malden,3,1,"1,014",166,7,146,"1,333"
Malden,3,2,"1,113",228,3,177,"1,521"
Malden,4,1,719,90,4,98,911
Malden,4,2,608,79,4,89,780
Malden,5,1,832,118,5,113,"1,068"
Malden,5,2,"1,113",247,2,202,"1,564"
Malden,6,1,946,192,8,131,"1,277"
Malden,6,2,858,190,2,124,"1,174"
Malden,7,1,720,96,3,78,897
Malden,7,2,734,135,3,98,970
Malden,8,1,863,187,5,122,"1,177"
Malden,8,2,829,149,3,110,"1,091"
Marblehead,-,1,"1,365",302,2,343,"2,012"
Marblehead,-,2,"1,452",242,3,308,"2,005"
Marblehead,-,3,"1,237",279,1,263,"1,780"
Marblehead,-,4,"1,341",282,1,339,"1,963"
Marblehead,-,5,"1,345",275,1,295,"1,916"
Marblehead,-,6,"1,321",299,1,324,"1,945"
Medford,1,1,"1,148",185,1,147,"1,481"
Medford,1,2,"1,170",238,10,142,"1,560"
Medford,2,1,"1,142",259,10,201,"1,612"
Medford,2,2,"1,257",325,10,238,"1,830"
Medford,3,1,"1,263",315,6,237,"1,821"
Medford,3,2,"1,285",384,2,287,"1,958"
Medford,4,1,811,91,5,70,977
Medford,4,2,"1,414",210,6,187,"1,817"
Medford,5,1,"1,381",161,7,156,"1,705"
Medford,5,2,"1,073",110,4,97,"1,284"
Medford,6,1,"1,587",231,6,209,"2,033"
Medford,6,2,"1,299",237,6,218,"1,760"
Medford,7,1,780,105,7,92,984
Medford,7,2,"1,168",174,3,140,"1,485"
Medford,8,1,"1,309",249,1,221,"1,780"
Medford,8,2,"1,139",208,6,151,"1,504"
Melrose,1,1,754,184,5,165,"1,108"
Melrose,1,2,767,153,3,139,"1,062"
Melrose,2,1,773,212,5,186,"1,176"
Melrose,2,2,702,163,2,155,"1,022"
Melrose,3,1,748,149,4,131,"1,032"
Melrose,3,2,690,140,3,135,968
Melrose,4,1,655,172,6,137,970
Melrose,4,2,708,262,6,210,"1,186"
Melrose,5,1,808,166,6,103,"1,083"
Melrose,5,2,702,139,2,119,962
Melrose,6,1,672,138,2,123,935
Melrose,6,2,735,170,2,193,"1,100"
Melrose,7,1,702,168,2,133,"1,005"
Melrose,7,2,747,177,6,158,"1,088"
Nahant,-,1,"1,446",348,2,305,"2,101"
Reading,-,1,"1,162",348,8,345,"1,863"
Reading,-,2,"1,027",297,6,232,"1,562"
Reading,-,3,"1,265",405,6,328,"2,004"
Reading,-,4,"1,065",313,3,306,"1,687"
Reading,-,5,"1,063",270,6,247,"1,586"
Reading,-,6,885,264,2,231,"1,382"
Reading,-,7,"1,107",305,4,334,"1,750"
Reading,-,8,941,311,4,354,"1,610"
Revere,1,1,608,102,5,142,857
Revere,1,2,549,100,3,118,770
Revere,1,3,524,60,0,134,718
Revere,2,1,426,68,0,72,566
Revere,2,2,507,66,2,80,655
Revere,2,3,212,19,1,25,257
Revere,2,3A,82,10,0,19,111
Revere,3,1,514,105,4,147,770
Revere,3,2,508,81,6,134,729
Revere,3,3,512,83,3,111,709
Revere,4,1,531,122,4,140,797
Revere,4,2,454,97,3,152,706
Revere,4,3,597,116,2,166,881
Revere,5,1,476,113,4,151,744
Revere,5,1A,379,76,0,100,555
Revere,5,2,274,73,2,81,430
Revere,5,2A,230,33,0,38,301
Revere,5,3,561,128,2,121,812
Revere,6,1,566,191,7,220,984
Revere,6,2,599,193,9,228,"1,029"
Revere,6,3,474,85,4,97,660
Saugus,-,1,671,202,0,203,"1,076"
Saugus,-,2,670,190,0,177,"1,037"
Saugus,-,3,694,229,0,210,"1,133"
Saugus,-,4,600,198,0,196,994
Saugus,-,5,773,294,0,250,"1,317"
Saugus,-,6,701,225,0,189,"1,115"
Saugus,-,7,673,292,0,293,"1,258"
Saugus,-,8,701,249,0,223,"1,173"
Saugus,-,9,728,258,0,279,"1,265"
Saugus,-,10,656,179,0,170,"1,005"
Somerville,1,1,891,70,9,106,"1,076"
Somerville,1,2,"1,359",141,7,166,"1,673"
Somerville,1,3,929,54,8,112,"1,103"
Somerville,2,1,"1,445",67,4,142,"1,658"
Somerville,2,2,"1,741",73,9,138,"1,961"
Somerville,2,3,"1,593",105,9,183,"1,890"
Somerville,3,1,"1,458",87,7,132,"1,684"
Somerville,3,2,"1,464",99,8,149,"1,720"
Somerville,3,3,"1,776",100,9,174,"2,059"
Somerville,4,1,819,92,7,139,"1,057"
Somerville,4,2,"1,095",68,12,122,"1,297"
Somerville,4,3,"1,310",90,4,151,"1,555"
Somerville,5,1,"1,522",105,9,171,"1,807"
Somerville,5,2,"1,750",112,4,190,"2,056"
Somerville,5,3,"1,848",110,9,178,"2,145"
Somerville,6,1,"1,979",108,3,197,"2,287"
Somerville,6,2,"1,807",122,5,185,"2,119"
Somerville,6,3,984,61,4,94,"1,143"
Somerville,7,1,"1,808",93,4,157,"2,062"
Somerville,7,2,"1,350",72,2,141,"1,565"
Somerville,7,3,"1,376",135,8,160,"1,679"
Stoneham,-,1,986,295,0,209,"1,490"
Stoneham,-,2,"1,120",311,0,236,"1,667"
Stoneham,-,3,"1,130",395,0,311,"1,836"
Stoneham,-,4,902,322,0,217,"1,441"
Stoneham,-,5,943,353,0,281,"1,577"
