City/Town,Ward,Pct,"Jeffrey Rosario Turco","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Revere,1,1,747,32,302,"1,081"
Revere,1,2,814,26,337,"1,177"
Revere,2,1,536,21,192,749
Revere,2,2,682,32,262,976
Revere,2,3A,61,0,33,94
Revere,5,1,617,17,316,950
Revere,5,1A,407,8,228,643
Revere,5,2,763,32,336,"1,131"
Revere,5,3,628,25,322,975
Winthrop,-,1,"1,188",39,420,"1,647"
Winthrop,-,2,"1,193",36,431,"1,660"
Winthrop,-,3,"1,168",37,383,"1,588"
Winthrop,-,4,822,29,359,"1,210"
Winthrop,-,5,"1,232",38,498,"1,768"
Winthrop,-,6,"1,061",40,477,"1,578"
TOTALS,,,"11,919",412,"4,896","17,227"
