City/Town,Ward,Pct,"Mike Connolly","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Cambridge,1,3,"1,235",14,286,"1,535"
Cambridge,2,1,"1,332",15,286,"1,633"
Cambridge,2,2,"1,239",16,293,"1,548"
Cambridge,2,3A,115,1,31,147
Cambridge,3,1,"1,128",3,240,"1,371"
Cambridge,3,2,"1,357",23,278,"1,658"
Cambridge,3,3,939,6,160,"1,105"
Cambridge,4,1,"1,576",7,368,"1,951"
Cambridge,5,1,"1,311",11,308,"1,630"
Cambridge,5,3,"1,291",10,259,"1,560"
Cambridge,6,1,"1,185",8,250,"1,443"
Cambridge,6,1A,358,0,53,411
Somerville,1,1,"1,040",20,208,"1,268"
Somerville,1,2,818,19,195,"1,032"
Somerville,1,3,"1,043",25,222,"1,290"
Somerville,1,4,613,12,95,720
Somerville,2,1A,483,7,73,563
TOTALS,,,"17,063",197,"3,605","20,865"
