City/Town,Ward,Pct,"Mindy Domb","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Amherst,-,1A,896,21,144,"1,061"
Amherst,-,1B,463,14,79,556
Amherst,-,2A,550,2,89,641
Amherst,-,2B,"1,494",21,229,"1,744"
Amherst,-,3A,501,7,98,606
Amherst,-,3B,"1,390",22,220,"1,632"
Amherst,-,4A,739,13,111,863
Amherst,-,4B,460,6,70,536
Amherst,-,5A,586,7,100,693
Amherst,-,5B,"2,129",19,263,"2,411"
Granby,-,1,"1,295",0,694,"1,989"
Granby,-,2A,33,0,12,45
TOTALS,,,"10,536",132,"2,109","12,777"
