City/Town,Ward,Pct,"Jessica Ann Giannino","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Revere,1,3,630,15,227,872
Revere,2,3,220,12,91,323
Revere,3,1,616,34,260,910
Revere,3,2,649,26,298,973
Revere,3,3,664,20,254,938
Revere,4,1,802,25,341,"1,168"
Revere,4,2,633,27,264,924
Revere,4,3,773,32,331,"1,136"
Revere,6,1,868,32,394,"1,294"
Revere,6,2,888,39,356,"1,283"
Revere,6,3,686,38,272,996
Saugus,-,3,910,1,573,"1,484"
Saugus,-,10,802,1,526,"1,329"
TOTALS,,,"9,141",302,"4,187","13,630"
