City/Town,Ward,Pct,"James Michael Murphy","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Weymouth,-,1,"1,358",24,399,"1,781"
Weymouth,-,2,"1,490",32,516,"2,038"
Weymouth,-,3,"1,535",31,463,"2,029"
Weymouth,-,4,"1,319",17,358,"1,694"
Weymouth,-,7,"1,169",28,343,"1,540"
Weymouth,-,8,"1,288",35,380,"1,703"
Weymouth,-,9A,379,9,119,507
Weymouth,-,10,"1,119",36,331,"1,486"
Weymouth,-,11,"1,121",29,324,"1,474"
Weymouth,-,13,964,13,236,"1,213"
Weymouth,-,14,"1,621",31,422,"2,074"
Weymouth,-,15,"1,462",35,470,"1,967"
Weymouth,-,17,"1,130",31,335,"1,496"
Weymouth,-,18,"1,210",16,339,"1,565"
TOTALS,,,"17,165",367,"5,035","22,567"
