City/Town,Ward,Pct,"Christopher Hendricks","All Others",Blanks,"Total Votes Cast"
,,,Democratic
"New Bedford",1,A1,87,2,34,123
"New Bedford",2,A,232,11,72,315
"New Bedford",2,B,363,21,118,502
"New Bedford",2,C,434,19,140,593
"New Bedford",2,D,756,27,229,"1,012"
"New Bedford",2,E,901,28,305,"1,234"
"New Bedford",2,F,709,11,188,908
"New Bedford",3,A,477,16,91,584
"New Bedford",3,B,481,9,126,616
"New Bedford",3,C,376,17,108,501
"New Bedford",3,D,552,24,199,775
"New Bedford",3,F1,321,10,115,446
"New Bedford",4,A1,270,61,8,339
"New Bedford",4,B,751,25,181,957
"New Bedford",4,C,752,13,211,976
"New Bedford",4,D,676,23,175,874
"New Bedford",4,F,802,17,196,"1,015"
TOTALS,,,"8,940",334,"2,496","11,770"
