City/Town,Ward,Pct,"John Francis Moran","Roy A. Owens","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Boston,3,7,887,137,0,131,"1,155"
Boston,3,16,"1,138",159,3,154,"1,454"
Boston,4,2,667,207,2,114,990
Boston,4,3,963,213,5,149,"1,330"
Boston,4,4,"1,087",195,1,130,"1,413"
Boston,4,5,804,193,3,156,"1,156"
Boston,7,8,682,194,4,90,970
Boston,7,9,517,151,2,83,753
Boston,8,1,"1,016",203,2,170,"1,391"
Boston,8,2,760,94,2,69,925
Boston,8,3,569,209,5,82,865
Boston,8,4,428,144,2,64,638
Boston,8,6,140,40,1,25,206
Boston,8,6A,0,0,0,0,0
Boston,9,1,871,158,6,191,"1,226"
Boston,9,2,912,108,1,101,"1,122"
Boston,9,3,598,187,10,131,926
Boston,9,6,813,142,2,120,"1,077"
TOTALS,,,"12,852","2,734",51,"1,960","17,597"
