City/Town,Ward,Pct,"Susannah M. Whipps","Jeffrey L. Raymond","All Others",Blanks,"Total Votes Cast"
,,,Unenrolled,Republican
Athol,-,1,"1,305",688,2,85,"2,080"
Athol,-,2,"1,079",692,0,95,"1,866"
Athol,-,3,"1,135",565,3,80,"1,783"
Erving,-,1,608,309,3,58,978
Gill,-,1,661,256,1,98,"1,016"
Greenfield,-,1,704,323,2,97,"1,126"
Greenfield,-,2,909,297,2,127,"1,335"
Greenfield,-,3,779,286,2,129,"1,196"
Greenfield,-,4,824,239,8,81,"1,152"
Greenfield,-,9,439,162,15,76,692
Northfield,-,1,"1,195",554,2,203,"1,954"
Orange,-,1,"1,164",690,3,102,"1,959"
Orange,-,2,"1,248",642,6,89,"1,985"
Phillipston,-,1,598,529,0,43,"1,170"
Royalston,-,1,508,271,0,35,814
Warwick,-,1,365,112,0,34,511
Winchendon,-,1,714,801,10,132,"1,657"
TOTALS,,,"14,235","7,416",59,"1,564","23,274"
