City/Town,Ward,Pct,"Paul J. Donato, Sr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Malden,1,1,583,11,178,772
Malden,1,2,648,21,222,891
Malden,1,3,657,28,244,929
Malden,3,1A,511,15,190,716
Malden,3,3,818,35,286,"1,139"
Malden,7,1,592,27,160,779
Malden,7,3A,265,12,85,362
Medford,1,1,"1,532",35,402,"1,969"
Medford,1,2,"1,613",38,359,"2,010"
Medford,2,1,"1,405",50,376,"1,831"
Medford,2,2,"1,928",71,468,"2,467"
Medford,3,1,"1,683",48,537,"2,268"
Medford,6,2A,111,5,37,153
Medford,7,2,"1,147",32,244,"1,423"
Medford,8,1,"1,502",66,388,"1,956"
TOTALS,,,"14,995",494,"4,176","19,665"
