City/Town,Ward,Pct,"Thomas P. Walsh","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Peabody,1,1,"1,346",33,398,"1,777"
Peabody,1,2,"1,347",35,431,"1,813"
Peabody,1,3,"1,484",40,470,"1,994"
Peabody,2,1,882,27,220,"1,129"
Peabody,2,2,928,25,198,"1,151"
Peabody,2,3,"1,184",31,287,"1,502"
Peabody,3,1,727,27,188,942
Peabody,3,2,994,34,261,"1,289"
Peabody,3,3,"1,116",28,293,"1,437"
Peabody,4,1,"1,201",35,333,"1,569"
Peabody,4,2,839,33,272,"1,144"
Peabody,4,3,440,11,181,632
Peabody,4,3A,"1,116",4,399,"1,519"
Peabody,5,1,"1,411",31,497,"1,939"
Peabody,5,2,"1,004",31,444,"1,479"
Peabody,5,3,"1,175",39,434,"1,648"
TOTALS,,,"17,194",464,"5,306","22,964"
