City/Town,Ward,Pct,"David Biele","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,1,15,0,0,0,0
Boston,6,1,"1,210",20,267,"1,497"
Boston,6,2,773,24,188,985
Boston,6,3,932,13,251,"1,196"
Boston,6,4,775,13,162,950
Boston,6,5,976,8,248,"1,232"
Boston,6,6,"1,062",20,224,"1,306"
Boston,6,7,959,34,227,"1,220"
Boston,6,8,"1,121",21,284,"1,426"
Boston,6,9,"1,019",24,316,"1,359"
Boston,6,10,816,21,224,"1,061"
Boston,6,11,905,13,262,"1,180"
Boston,6,12,"1,548",44,507,"2,099"
Boston,7,1,857,15,211,"1,083"
Boston,7,2,975,16,269,"1,260"
Boston,7,3,"1,086",31,282,"1,399"
Boston,7,4,790,14,222,"1,026"
Boston,7,5,945,20,220,"1,185"
Boston,7,6,724,22,215,961
Boston,7,7,443,20,126,589
TOTALS,,,"17,916",393,"4,705","23,014"
