City/Town,Ward,Pct,"Michael J. Soter","All Others",Blanks,"Total Votes Cast"
,,,Republican
Bellingham,-,1,"1,397",38,412,"1,847"
Bellingham,-,2,"1,593",50,477,"2,120"
Bellingham,-,3,"1,687",45,506,"2,238"
Bellingham,-,4,"1,510",28,360,"1,898"
Bellingham,-,5,"1,569",34,380,"1,983"
Blackstone,-,1,"1,270",9,295,"1,574"
Blackstone,-,2,"1,390",8,308,"1,706"
Blackstone,-,3,"1,520",5,349,"1,874"
Medway,-,1,"1,368",8,600,"1,976"
Millville,-,1,"1,517",5,286,"1,808"
Uxbridge,-,1A,96,1,27,124
Uxbridge,-,2,"1,504",27,430,"1,961"
Uxbridge,-,3,"1,812",30,458,"2,300"
Uxbridge,-,4,"1,821",40,504,"2,365"
TOTALS,,,"20,054",328,"5,392","25,774"
