City/Town,Ward,Pct,"Greg Schwartz","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Brookline,-,5,662,4,213,879
Brookline,-,13A,229,5,53,287
Brookline,-,14,"1,104",13,479,"1,596"
Brookline,-,15,"1,382",20,526,"1,928"
Newton,5,1,"1,081",23,357,"1,461"
Newton,5,2,"1,181",22,339,"1,542"
Newton,5,3,"1,344",11,404,"1,759"
Newton,5,4,"1,309",12,413,"1,734"
Newton,6,1,"1,089",23,410,"1,522"
Newton,6,2,"1,137",17,342,"1,496"
Newton,6,3,"1,297",20,378,"1,695"
Newton,6,4,"1,345",18,426,"1,789"
Newton,7,1,954,16,366,"1,336"
Newton,8,1,"1,066",26,396,"1,488"
Newton,8,2,"1,080",29,402,"1,511"
Newton,8,3,"1,141",25,428,"1,594"
Newton,8,4,"1,009",21,430,"1,460"
TOTALS,,,"18,410",305,"6,362","25,077"
