City/Town,Ward,Pct,"Kevin G. Honan","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,21,3,531,3,107,641
Boston,21,5,787,15,131,933
Boston,21,6,588,9,106,703
Boston,21,7,696,18,131,845
Boston,21,8,948,18,137,"1,103"
Boston,21,9,"1,155",26,176,"1,357"
Boston,21,10,784,15,146,945
Boston,21,11,936,14,153,"1,103"
Boston,21,12,752,15,198,965
Boston,21,15,717,11,110,838
Boston,22,2,"1,190",23,253,"1,466"
Boston,22,3,"1,063",19,219,"1,301"
Boston,22,6,610,15,119,744
Boston,22,9,690,21,216,927
Boston,22,10,891,10,189,"1,090"
Brookline,-,13,"1,219",9,362,"1,590"
Brookline,-,14A,276,4,138,418
TOTALS,,,"13,833",245,"2,891","16,969"
