City/Town,Ward,Pct,"David T. Vieira","Kathleen Fox Alfano","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Bourne,-,4,981,"1,000",3,136,"2,120"
Bourne,-,5,810,789,1,114,"1,714"
Bourne,-,6,679,712,1,72,"1,464"
Falmouth,-,3,"1,298",948,1,148,"2,395"
Falmouth,-,4,"1,448",964,0,136,"2,548"
Falmouth,-,5,"1,425","1,116",3,185,"2,729"
Falmouth,-,7,"1,376",910,1,129,"2,416"
Falmouth,-,8,"1,366",936,0,146,"2,448"
Falmouth,-,9,"1,248",772,2,119,"2,141"
Mashpee,-,1,"1,003",930,1,124,"2,058"
Mashpee,-,2,"1,005",747,0,115,"1,867"
Mashpee,-,3,"1,046",750,0,98,"1,894"
Mashpee,-,4,952,869,2,99,"1,922"
Mashpee,-,5,"1,422","1,157",1,177,"2,757"
TOTALS,,,"16,059","12,600",16,"1,798","30,473"
