City/Town,Ward,Pct,"Tram T. Nguyen","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Andover,-,1,"1,147",13,290,"1,450"
Andover,-,4A,519,4,177,700
Andover,-,5,"1,548",23,582,"2,153"
Andover,-,6,"1,485",15,531,"2,031"
Andover,-,7,"1,593",16,580,"2,189"
Andover,-,8,"1,705",24,566,"2,295"
Andover,-,9,"1,427",29,519,"1,975"
Andover,-,10,"1,613",23,566,"2,202"
Boxford,-,1,"1,199",50,579,"1,828"
"N. Andover",-,7,"1,660",17,639,"2,316"
"N. Andover",-,8,"1,614",31,718,"2,363"
Tewksbury,-,3,"1,513",72,732,"2,317"
Tewksbury,-,5A,255,13,75,343
Tewksbury,-,7,"1,720",64,807,"2,591"
TOTALS,,,"18,998",394,"7,361","26,753"
