City/Town,Ward,Pct,"Danillo A. Sena","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acton,-,3,"1,778",29,434,"2,241"
Acton,-,4,"1,664",28,365,"2,057"
Acton,-,5,"1,589",20,391,"2,000"
Acton,-,6A,473,11,100,584
Ayer,-,1,"1,087",0,432,"1,519"
Ayer,-,2,"1,234",0,524,"1,758"
Ayer,-,3,"1,047",0,380,"1,427"
Boxborough,-,1,"2,443",0,749,"3,192"
Groton,-,1,"1,888",13,697,"2,598"
Harvard,-,1,"3,037",65,952,"4,054"
Shirley,-,1,"2,549",85,"1,070","3,704"
TOTALS,,,"18,789",251,"6,094","25,134"
