City/Town,Ward,Pct,"Chynah Tyler","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,4,9,213,6,45,264
Boston,4,10,225,7,46,278
Boston,9,4,676,10,184,870
Boston,9,5,721,15,149,885
Boston,9,7,276,7,71,354
Boston,10,1,405,8,128,541
Boston,10,2,378,11,133,522
Boston,10,3,349,9,77,435
Boston,11,1,491,6,93,590
Boston,11,2,768,14,158,940
Boston,11,3,568,14,114,696
Boston,12,1,763,17,137,917
Boston,12,2,937,25,164,"1,126"
Boston,12,3,443,7,75,525
Boston,12,4,544,14,104,662
Boston,12,5,303,5,72,380
Boston,12,8,359,7,68,434
TOTALS,,,"8,419",182,"1,818","10,419"
