City/Town,Ward,Pct,"Michael J. Finn","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Agawam,-,1,"1,202",16,528,"1,746"
Chicopee,2,A,733,24,193,950
Chicopee,3,A,825,28,276,"1,129"
Chicopee,4,A,932,22,294,"1,248"
"W. Springfield",-,1,565,4,204,773
"W. Springfield",-,2,786,7,262,"1,055"
"W. Springfield",-,3,"1,055",4,390,"1,449"
"W. Springfield",-,4,"1,215",9,409,"1,633"
"W. Springfield",-,5,"1,549",16,651,"2,216"
"W. Springfield",-,6,"1,458",10,587,"2,055"
"W. Springfield",-,7,"1,425",10,683,"2,118"
"W. Springfield",-,8,"1,154",6,422,"1,582"
Westfield,2,A1,57,0,13,70
Westfield,6,B,988,25,495,"1,508"
TOTALS,,,"13,944",181,"5,407","19,532"
