City/Town,Ward,Pct,"Jennifer Wb Armini","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lynn,3,4,950,41,266,"1,257"
Lynn,4,3A,137,8,36,181
Lynn,4,4,806,30,267,"1,103"
Marblehead,-,1,"1,746",13,603,"2,362"
Marblehead,-,2,"1,735",7,596,"2,338"
Marblehead,-,3,"1,570",15,577,"2,162"
Marblehead,-,4,"1,637",7,687,"2,331"
Marblehead,-,5,"1,641",8,574,"2,223"
Marblehead,-,6,"1,705",18,621,"2,344"
Swampscott,-,1,"1,070",35,381,"1,486"
Swampscott,-,2,998,25,390,"1,413"
Swampscott,-,3,"1,153",11,331,"1,495"
Swampscott,-,4,"1,176",25,436,"1,637"
Swampscott,-,5,"1,194",25,439,"1,658"
Swampscott,-,6,"1,125",25,426,"1,576"
TOTALS,,,"18,643",293,"6,630","25,566"
