City/Town,Ward,Pct,"Steven Ultrino","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Malden,2,1,575,19,153,747
Malden,2,2,642,25,197,864
Malden,2,3,763,18,237,"1,018"
Malden,3,1,408,7,174,589
Malden,3,2,723,14,240,977
Malden,4,1,688,13,193,894
Malden,4,2,456,9,139,604
Malden,4,3,622,18,210,850
Malden,5,1,703,13,239,955
Malden,5,3,359,15,123,497
Malden,6,1,926,26,331,"1,283"
Malden,6,2,709,27,207,943
Malden,6,3,737,27,248,"1,012"
Malden,7,2,642,16,194,852
Malden,7,3,349,10,139,498
Malden,8,1,807,26,266,"1,099"
Malden,8,2,716,27,217,960
Malden,8,3,535,20,187,742
TOTALS,,,"11,360",330,"3,694","15,384"
