City/Town,Ward,Pct,"Simon Cataldo","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acton,-,1,"1,144",27,302,"1,473"
Acton,-,2,"1,561",25,418,"2,004"
Acton,-,6,"1,097",23,255,"1,375"
Acton,-,7,"1,224",20,353,"1,597"
Carlisle,-,1,"2,657",38,766,"3,461"
Chelmsford,-,7,"1,266",26,567,"1,859"
Chelmsford,-,8,"1,323",7,544,"1,874"
Chelmsford,-,9,"1,451",16,688,"2,155"
Chelmsford,-,10,"1,223",25,512,"1,760"
Chelmsford,-,11,"1,455",14,660,"2,129"
Concord,-,1,"1,709",10,367,"2,086"
Concord,-,2,"2,029",10,439,"2,478"
Concord,-,5,"1,945",8,381,"2,334"
TOTALS,,,"20,084",249,"6,252","26,585"
