City/Town,Ward,Pct,"Daniel H. Cahill","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lynn,1,2A,266,6,83,355
Lynn,1,3,"1,320",38,372,"1,730"
Lynn,1,4,"1,079",43,260,"1,382"
Lynn,2,1,"1,398",30,425,"1,853"
Lynn,2,2,862,27,215,"1,104"
Lynn,2,3,620,23,138,781
Lynn,2,4,589,19,126,734
Lynn,3,1,997,40,257,"1,294"
Lynn,3,2,714,41,133,888
Lynn,3,3,992,39,221,"1,252"
Lynn,4,1,456,19,109,584
Lynn,4,2,494,18,112,624
Lynn,5,3,465,14,116,595
TOTALS,,,"10,252",357,"2,567","13,176"
