City/Town,Ward,Pct,"Jeffrey N. Roy","Charles F. Bailey, III","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Franklin,-,1,"1,303",789,4,103,"2,199"
Franklin,-,2,"1,033",714,1,114,"1,862"
Franklin,-,3,"1,274",884,1,88,"2,247"
Franklin,-,4,"1,339",969,1,112,"2,421"
Franklin,-,5,"1,415",781,1,86,"2,283"
Franklin,-,6,"1,398",748,2,103,"2,251"
Franklin,-,7,"1,546",845,0,99,"2,490"
Franklin,-,8,"1,373",991,2,131,"2,497"
Franklin,-,9,"1,127",586,1,106,"1,820"
Medway,-,2,"1,292",785,5,156,"2,238"
Medway,-,3,"1,273",796,0,122,"2,191"
Medway,-,4,"1,224",765,1,140,"2,130"
TOTALS,,,"15,597","9,653",19,"1,360","26,629"
