City/Town,Ward,Pct,"Kate Lipper-Garabedian","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Malden,5,2,951,25,376,"1,352"
Malden,5,3A,406,7,138,551
Melrose,1,1,974,14,361,"1,349"
Melrose,1,2,826,17,323,"1,166"
Melrose,2,1,912,18,412,"1,342"
Melrose,2,2,879,21,342,"1,242"
Melrose,3,1,852,14,307,"1,173"
Melrose,3,2,890,14,349,"1,253"
Melrose,4,1,891,13,283,"1,187"
Melrose,4,2,915,27,482,"1,424"
Melrose,5,1,729,11,219,959
Melrose,5,2,700,13,204,917
Melrose,6,1,872,17,286,"1,175"
Melrose,6,2,952,24,451,"1,427"
Melrose,7,1,934,22,329,"1,285"
Melrose,7,2,942,27,433,"1,402"
Wakefield,-,4,"1,536",26,803,"2,365"
Wakefield,-,5,"1,586",31,851,"2,468"
Wakefield,-,6,"1,569",32,793,"2,394"
TOTALS,,,"18,316",373,"7,742","26,431"
