City/Town,Ward,Pct,"Michael P. Kushmerek","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Fitchburg,1,A,805,39,252,"1,096"
Fitchburg,1,B,"1,020",25,247,"1,292"
Fitchburg,2,A,772,24,227,"1,023"
Fitchburg,2,B,"1,059",30,283,"1,372"
Fitchburg,3,A,"1,511",64,516,"2,091"
Fitchburg,3,B,"1,061",40,388,"1,489"
Fitchburg,4,A,678,14,205,897
Fitchburg,4,B,784,36,208,"1,028"
Fitchburg,5,A,"1,423",66,487,"1,976"
Fitchburg,5,B,675,27,141,843
Fitchburg,6,A,"1,296",61,409,"1,766"
Fitchburg,6,B,767,28,229,"1,024"
Lunenburg,-,B,"1,236",21,487,"1,744"
Lunenburg,-,C1,11,0,2,13
TOTALS,,,"13,098",475,"4,081","17,654"
