City/Town,Ward,Pct,"James Arciero","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Chelmsford,-,3B,709,4,236,949
Chelmsford,-,4,"1,508",17,633,"2,158"
Chelmsford,-,5A,"1,167",13,540,"1,720"
Littleton,-,1,"1,653",0,582,"2,235"
Littleton,-,2,"1,557",0,602,"2,159"
Littleton,-,3,"1,654",0,538,"2,192"
Westford,-,1,"1,429",38,461,"1,928"
Westford,-,2,"1,524",58,427,"2,009"
Westford,-,3,"1,745",48,513,"2,306"
Westford,-,4,"1,559",42,420,"2,021"
Westford,-,5,"1,569",44,466,"2,079"
Westford,-,6,"1,697",47,526,"2,270"
Westford,-,7,"1,836",40,448,"2,324"
TOTALS,,,"19,607",351,"6,392","26,350"
