City/Town,Ward,Pct,"Mark J. Cusack","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Braintree,-,1A,"1,249",37,570,"1,856"
Braintree,-,1B,"1,045",38,579,"1,662"
Braintree,-,2A,"1,290",32,469,"1,791"
Braintree,-,2B,"1,133",45,534,"1,712"
Braintree,-,3A,"1,010",27,441,"1,478"
Braintree,-,3B,"1,095",29,471,"1,595"
Braintree,-,4A,"1,129",27,443,"1,599"
Braintree,-,4B,"1,086",18,387,"1,491"
Braintree,-,5A,"1,113",39,536,"1,688"
Braintree,-,5B,"1,235",29,530,"1,794"
Braintree,-,6A,"1,309",20,684,"2,013"
Braintree,-,6B,"1,333",25,546,"1,904"
Holbrook,-,1,"1,071",23,376,"1,470"
Holbrook,-,2,"1,041",27,492,"1,560"
TOTALS,,,"16,139",416,"7,058","23,613"
