City/Town,Ward,Pct,"Marc T. Lombardo","George John Simolaris, Jr","All Others",Blanks,"Total Votes Cast"
,,,Republican,Unenrolled
Billerica,-,1,773,650,26,123,"1,572"
Billerica,-,2,"1,157",754,45,151,"2,107"
Billerica,-,3,"1,197",716,22,160,"2,095"
Billerica,-,4,"1,056",606,26,131,"1,819"
Billerica,-,5,"1,377",827,36,176,"2,416"
Billerica,-,6,"1,020",602,30,130,"1,782"
Billerica,-,7,972,752,29,165,"1,918"
Billerica,-,8,"1,092",731,23,147,"1,993"
Billerica,-,9,"1,281",743,26,148,"2,198"
Billerica,-,10,"1,366",769,20,181,"2,336"
Billerica,-,11,946,605,21,163,"1,735"
Billerica,-,12,"1,066",706,24,114,"1,910"
TOTALS,,,"13,303","8,461",328,"1,789","23,881"
