City/Town,Ward,Pct,"Brian William Murray","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Hopedale,-,1,"2,620",61,935,"3,616"
Mendon,-,1,"1,234",29,653,"1,916"
Mendon,-,2,"1,332",11,749,"2,092"
Milford,-,1,752,17,293,"1,062"
Milford,-,2,"1,246",34,511,"1,791"
Milford,-,3,"1,153",35,436,"1,624"
Milford,-,4,815,29,295,"1,139"
Milford,-,5,"1,555",60,626,"2,241"
Milford,-,6,"1,334",40,449,"1,823"
Milford,-,7,"1,613",61,667,"2,341"
Milford,-,8,"1,454",48,510,"2,012"
TOTALS,,,"15,108",425,"6,124","21,657"
