City/Town,Ward,Pct,"James Arena-DeRosa","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Holliston,-,1,"1,904",52,521,"2,477"
Holliston,-,2,"1,789",36,507,"2,332"
Holliston,-,3,"1,616",42,475,"2,133"
Holliston,-,4,"1,918",26,511,"2,455"
Hopkinton,-,1,"1,355",12,371,"1,738"
Hopkinton,-,2,"1,572",21,538,"2,131"
Hopkinton,-,3,"1,524",24,542,"2,090"
Hopkinton,-,4,"1,709",27,517,"2,253"
Hopkinton,-,5,"1,679",26,543,"2,248"
Millis,-,2,"1,282",25,552,"1,859"
Millis,-,3,"1,687",49,676,"2,412"
Sherborn,-,1,"2,135",26,645,"2,806"
TOTALS,,,"20,170",366,"6,398","26,934"
