City/Town,Ward,Pct,"David M. Rogers","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Arlington,-,2,"1,083",3,297,"1,383"
Arlington,-,4,984,8,249,"1,241"
Arlington,-,6,971,1,287,"1,259"
Arlington,-,8,"1,107",9,313,"1,429"
Arlington,-,10,"1,153",2,278,"1,433"
Arlington,-,12,"1,228",4,300,"1,532"
Belmont,-,1,"1,340",4,449,"1,793"
Belmont,-,2,"1,497",10,633,"2,140"
Belmont,-,3,"1,345",11,422,"1,778"
Belmont,-,4,"1,192",10,348,"1,550"
Belmont,-,5,"1,363",7,420,"1,790"
Belmont,-,6,"1,639",7,493,"2,139"
Belmont,-,7,"1,409",8,398,"1,815"
Belmont,-,8,"1,169",5,475,"1,649"
Cambridge,11,1,664,1,111,776
Cambridge,11,3,"1,418",8,317,"1,743"
TOTALS,,,"19,562",98,"5,790","25,450"
