City/Town,Ward,Pct,"David F. Decoste","All Others",Blanks,"Total Votes Cast"
,,,Republican
Hanover,-,1,"1,877",28,762,"2,667"
Hanover,-,2,"1,750",31,620,"2,401"
Hanover,-,3,"1,570",30,635,"2,235"
Hanover,-,4,"1,808",40,667,"2,515"
Hanson,-,1,"1,697",9,561,"2,267"
Norwell,-,1,"1,652",25,556,"2,233"
Norwell,-,2,"1,834",63,644,"2,541"
Rockland,-,1,"1,279",43,445,"1,767"
Rockland,-,2,"1,328",29,476,"1,833"
Rockland,-,3,"1,010",38,326,"1,374"
Rockland,-,4,"1,083",41,315,"1,439"
Rockland,-,5,"1,202",29,400,"1,631"
Rockland,-,6,"1,320",43,370,"1,733"
TOTALS,,,"19,410",449,"6,777","26,636"
