City/Town,Ward,Pct,"Antonio d. F. Cabral","All Others",Blanks,"Total Votes Cast"
,,,Democratic
"New Bedford",3,E,849,27,226,"1,102"
"New Bedford",3,F,685,16,235,936
"New Bedford",4,A,270,6,36,312
"New Bedford",4,E,666,20,175,861
"New Bedford",5,A,900,16,209,"1,125"
"New Bedford",5,B,810,19,217,"1,046"
"New Bedford",5,C,790,31,213,"1,034"
"New Bedford",5,D,963,20,207,"1,190"
"New Bedford",5,E,"1,058",39,299,"1,396"
"New Bedford",5,F,"1,040",40,316,"1,396"
"New Bedford",6,A,909,38,266,"1,213"
"New Bedford",6,B,767,21,171,959
"New Bedford",6,C,426,15,132,573
"New Bedford",6,D,359,10,69,438
"New Bedford",6,E,436,15,104,555
"New Bedford",6,F,633,22,153,808
TOTALS,,,"11,561",355,"3,028","14,944"
