City/Town,Ward,Pct,"Alice Hanlon Peisch","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lincoln,-,2,"1,163",19,401,"1,583"
Wellesley,-,A,"1,561",13,510,"2,084"
Wellesley,-,B,"1,751",9,549,"2,309"
Wellesley,-,C,"1,545",23,720,"2,288"
Wellesley,-,D,"1,684",17,494,"2,195"
Wellesley,-,E,"1,601",10,501,"2,112"
Wellesley,-,F,"1,015",6,309,"1,330"
Wellesley,-,G,870,4,204,"1,078"
Wellesley,-,H,"1,549",16,569,"2,134"
Weston,-,1,"1,320",0,551,"1,871"
Weston,-,2,"1,150",26,472,"1,648"
Weston,-,3,"1,031",1,442,"1,474"
Weston,-,4,"1,124",1,515,"1,640"
TOTALS,,,"17,364",145,"6,237","23,746"
