City/Town,Ward,Pct,"Manny Cruz","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Salem,1,1,"1,567",5,414,"1,986"
Salem,1,2,734,3,159,896
Salem,2,1,"1,560",4,343,"1,907"
Salem,2,2,"1,684",6,383,"2,073"
Salem,3,1,"1,246",4,298,"1,548"
Salem,3,2,"1,279",13,367,"1,659"
Salem,4,1,"1,192",4,368,"1,564"
Salem,4,2,"1,330",19,460,"1,809"
Salem,5,1,"1,465",13,329,"1,807"
Salem,5,2,"1,251",11,257,"1,519"
Salem,6,1,"1,320",5,346,"1,671"
Salem,6,2,"1,561",35,301,"1,897"
Salem,7,1,"1,032",6,274,"1,312"
Salem,7,2,"1,327",2,427,"1,756"
TOTALS,,,"18,548",130,"4,726","23,404"
