City/Town,Ward,Pct,"Mary S. Keefe","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Worcester,3,1,548,29,100,677
Worcester,3,4,562,15,134,711
Worcester,4,1,418,22,92,532
Worcester,4,2,371,27,114,512
Worcester,4,2A,231,13,63,307
Worcester,4,2B,0,0,0,0
Worcester,4,3,544,10,93,647
Worcester,4,4,859,30,217,"1,106"
Worcester,4,5,910,33,280,"1,223"
Worcester,4,6,923,28,266,"1,217"
Worcester,6,1,373,15,83,471
Worcester,10,2,675,20,122,817
Worcester,10,3,582,24,148,754
Worcester,10,4,510,27,111,648
Worcester,10,4A,0,0,0,0
Worcester,10,5,513,28,124,665
TOTALS,,,"8,019",321,"1,947","10,287"
