City/Town,Ward,Pct,"Kimberly N. Ferguson","Anthony L. Ferrante","All Others",Blanks,"Total Votes Cast"
,,,Republican,Unenrolled
Holden,-,1,"1,298",590,0,193,"2,081"
Holden,-,2,"1,232",534,0,212,"1,978"
Holden,-,3,"1,345",602,0,203,"2,150"
Holden,-,4,"1,341",614,0,246,"2,201"
Holden,-,5,"1,302",560,0,244,"2,106"
Holden,-,6,"1,335",578,0,212,"2,125"
Paxton,-,1,"1,755",878,3,361,"2,997"
Princeton,-,1,"1,569",636,3,351,"2,559"
Rutland,-,1,"1,347",513,3,210,"2,073"
Rutland,-,2,"1,221",437,9,130,"1,797"
Rutland,-,3,"1,363",535,6,195,"2,099"
Westminster,-,1,"1,084",502,3,239,"1,828"
Westminster,-,2,880,355,0,167,"1,402"
Westminster,-,2A,311,118,0,53,482
Westminster,-,3,988,493,1,215,"1,697"
TOTALS,,,"18,371","7,945",28,"3,231","29,575"
